0:00:02.478592: {Acceleration: {Time: 2453, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2414, Status: 3, Value: (0.02734375,-0.02734375,0.01171875)},Magnetic: {Time: 2418, Status: 1, Value: (-30.0625,28.625,-14.375)},Gravity: {Time: 2411, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 2449, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:02.585152: {Acceleration: {Time: 2557, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2504, Status: 3, Value: (-0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 2507, Status: 1, Value: (-28.5,27.4375,-16.5)},Gravity: {Time: 2501, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 2550, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:02.693770: {Acceleration: {Time: 2665, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2645, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 2659, Status: 1, Value: (-30.625,29.0,-13.875)},Gravity: {Time: 2641, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 2639, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:02.780325: {Acceleration: {Time: 2751, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2744, Status: 3, Value: (0.02734375,-0.02734375,0.01171875)},Magnetic: {Time: 2748, Status: 1, Value: (-29.625,28.875,-15.125)},Gravity: {Time: 2741, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 2754, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:02.894169: {Acceleration: {Time: 2866, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2859, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 2862, Status: 1, Value: (-30.4375,29.25,-15.4375)},Gravity: {Time: 2856, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 2868, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:02.980613: {Acceleration: {Time: 2952, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2912, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 2916, Status: 1, Value: (-28.5625,27.75,-16.125)},Gravity: {Time: 2898, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2955, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:03.093529: {Acceleration: {Time: 3066, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3058, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 3061, Status: 1, Value: (-28.75,28.8125,-15.25)},Gravity: {Time: 3055, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3068, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:03.202962: {Acceleration: {Time: 3178, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3126, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 3140, Status: 1, Value: (-28.9375,29.5625,-14.4375)},Gravity: {Time: 3124, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3172, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:03.301761: {Acceleration: {Time: 3267, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3276, Status: 3, Value: (0.01953125,-0.01953125,0.04296875)},Magnetic: {Time: 3211, Status: 1, Value: (-29.75,29.625,-14.3125)},Gravity: {Time: 3273, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3270, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:03.401023: {Acceleration: {Time: 3367, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3376, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 3334, Status: 1, Value: (-28.5625,28.375,-16.4375)},Gravity: {Time: 3373, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3369, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:03.501908: {Acceleration: {Time: 3473, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3446, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 3460, Status: 1, Value: (-29.5625,28.1875,-15.1875)},Gravity: {Time: 3443, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3477, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:03.590402: {Acceleration: {Time: 3562, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3533, Status: 3, Value: (0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 3536, Status: 1, Value: (-29.5625,27.5625,-14.875)},Gravity: {Time: 3530, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3565, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:03.704163: {Acceleration: {Time: 3677, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3649, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 3663, Status: 1, Value: (-28.75,28.5,-14.875)},Gravity: {Time: 3647, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3679, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:03.788568: {Acceleration: {Time: 3764, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3726, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 3730, Status: 1, Value: (-29.6875,29.25,-14.75)},Gravity: {Time: 3723, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3761, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:03.901436: {Acceleration: {Time: 3865, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3871, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 3873, Status: 1, Value: (-29.75,29.25,-14.375)},Gravity: {Time: 3869, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3877, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:04.011718: {Acceleration: {Time: 3987, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3936, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 3950, Status: 1, Value: (-30.25,27.875,-15.9375)},Gravity: {Time: 3933, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3982, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:04.104801: {Acceleration: {Time: 4078, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4070, Status: 3, Value: (-0.01953125,0.01953125,0.04296875)},Magnetic: {Time: 4073, Status: 1, Value: (-29.9375,28.875,-15.5)},Gravity: {Time: 4067, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4080, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
