0:00:06.218558: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.4108657836914, Phase Shift: 6.488851795438677e-05, Phase: 9484.296875
0:00:06.312476: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.39278411865234, Phase Shift: 5.924062497797422e-05, Phase: 9484.296875
0:00:06.390434: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.37530517578125, Phase Shift: 5.4028692829888314e-05, Phase: 9484.296875
0:00:06.484183: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.3587875366211, Phase Shift: 4.9327118176734075e-05, Phase: 9484.296875
0:00:06.577926: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.34247589111328, Phase Shift: 4.489295315579511e-05, Phase: 9484.296875
0:00:06.671855: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.32707214355469, Phase Shift: 4.090062066097744e-05, Phase: 9484.296875
0:00:06.796684: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.30642700195312, Phase Shift: 3.584696605685167e-05, Phase: 9484.296875
0:00:06.890602: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.29279327392578, Phase Shift: 3.2693187677068636e-05, Phase: 9484.296875
0:00:06.968586: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.27976989746094, Phase Shift: 2.981700345117133e-05, Phase: 9484.296875
0:00:07.062305: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.2671890258789, Phase Shift: 2.716501876420807e-05, Phase: 9484.296875
0:00:07.156056: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.25517272949219, Phase Shift: 2.474917891959194e-05, Phase: 9484.296875
0:00:07.249792: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.24406433105469, Phase Shift: 2.2618944058194757e-05, Phase: 9484.296875
0:00:07.343764: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.23284149169922, Phase Shift: 2.056414814433083e-05, Phase: 9484.296875
0:00:07.421679: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.22259521484375, Phase Shift: 1.8774615455185995e-05, Phase: 9484.296875
0:00:07.515435: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.21269226074219, Phase Shift: 1.7122449207818136e-05, Phase: 9484.296875
0:00:07.609175: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.20333099365234, Phase Shift: 1.5632351278327405e-05, Phase: 9484.296875
0:00:07.734185: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.19029998779297, Phase Shift: 1.3672569366462994e-05, Phase: 9484.296875
0:00:07.827934: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.18183135986328, Phase Shift: 1.2469670764403418e-05, Phase: 9484.296875
0:00:07.921835: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.173828125, Phase Shift: 1.1384535355318803e-05, Phase: 9484.296875
0:00:07.999810: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.16643524169922, Phase Shift: 1.0426412700326182e-05, Phase: 9484.296875
0:00:08.093559: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.15902709960938, Phase Shift: 9.509055416856427e-06, Phase: 9484.296875
0:00:08.187516: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.15194702148438, Phase Shift: 8.672343938087579e-06, Phase: 9484.296875
0:00:08.265432: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.1454849243164, Phase Shift: 7.942340744193643e-06, Phase: 9484.296875
0:00:08.359185: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.13887023925781, Phase Shift: 7.2283801273442805e-06, Phase: 9484.296875
0:00:08.453092: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.1326904296875, Phase Shift: 6.592398221982876e-06, Phase: 9484.296875
0:00:08.577934: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.12425231933594, Phase Shift: 5.771833457401954e-06, Phase: 9484.296875
0:00:08.671829: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.11878204345703, Phase Shift: 5.2694990699819755e-06, Phase: 9484.296875
0:00:08.749920: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.11344146728516, Phase Shift: 4.800882379640825e-06, Phase: 9484.296875
0:00:08.843531: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.10833740234375, Phase Shift: 4.373910996946506e-06, Phase: 9484.296875
0:00:08.937302: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.10356903076172, Phase Shift: 3.9932406252773944e-06, Phase: 9484.296875
0:00:09.015499: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.0992202758789, Phase Shift: 3.66100289284077e-06, Phase: 9484.296875
0:00:09.109178: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.0949478149414, Phase Shift: 3.3493784030724782e-06, Phase: 9484.296875
0:00:09.187511: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.09076690673828, Phase Shift: 3.057848516618833e-06, Phase: 9484.296875
0:00:09.327934: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.08499145507812, Phase Shift: 2.67727500613546e-06, Phase: 9484.296875
0:00:09.421676: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.08121490478516, Phase Shift: 2.441717697365675e-06, Phase: 9484.296875
0:00:09.499800: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.07760620117188, Phase Shift: 2.226885499112541e-06, Phase: 9484.296875
0:00:09.593559: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.07411193847656, Phase Shift: 2.0288484847696964e-06, Phase: 9484.296875
0:00:09.687300: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.07081604003906, Phase Shift: 1.8503096725908108e-06, Phase: 9484.296875
0:00:09.781059: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.06774139404297, Phase Shift: 1.691057150310371e-06, Phase: 9484.296875
0:00:09.859382: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.06465911865234, Phase Shift: 1.5390564840345178e-06, Phase: 9484.296875
0:00:09.953023: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.06175231933594, Phase Shift: 1.4021788956597447e-06, Phase: 9484.296875
0:00:10.046684: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.05897521972656, Phase Shift: 1.2774802371495753e-06, Phase: 9484.296875
0:00:10.140457: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.0563735961914, Phase Shift: 1.1662986025839928e-06, Phase: 9484.296875
0:00:10.234345: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.05387115478516, Phase Shift: 1.0636829301802209e-06, Phase: 9484.296875
0:00:10.359182: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.05044555664062, Phase Shift: 9.31307283735805e-07, Phase: 9484.296875
0:00:10.453085: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.04817199707031, Phase Shift: 8.48480567583465e-07, Phase: 9484.296875
0:00:10.546845: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.04602813720703, Phase Shift: 7.7382190966091e-07, Phase: 9484.296875
0:00:10.624873: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.04395294189453, Phase Shift: 7.050059025459632e-07, Phase: 9484.296875
0:00:10.718558: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.04199981689453, Phase Shift: 6.429653467421304e-07, Phase: 9484.296875
0:00:10.812310: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.04009246826172, Phase Shift: 5.851724154126714e-07, Phase: 9484.296875
0:00:10.906060: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.038330078125, Phase Shift: 5.342471922631375e-07, Phase: 9484.296875
0:00:10.984157: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.03662109375, Phase Shift: 4.872334216088348e-07, Phase: 9484.296875
0:00:11.077934: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.03504943847656, Phase Shift: 4.457630495835474e-07, Phase: 9484.296875
0:00:11.171831: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.0334701538086, Phase Shift: 4.061204492700199e-07, Phase: 9484.296875
0:00:11.296654: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.03131103515625, Phase Shift: 3.548339861936256e-07, Phase: 9484.296875
0:00:11.390434: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.0299072265625, Phase Shift: 3.23278612768263e-07, Phase: 9484.296875
0:00:11.484177: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.02859497070312, Phase Shift: 2.951404383111367e-07, Phase: 9484.296875
