0:00:03.376957 {Acceleration: {Time: 3344, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3349, Status: 3, Value: (0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 3352, Status: 1, Value: (-29.75,28.75,-17.125)},Gravity: {Time: 3347, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3354, Status: 0, Value: (-0.015380859375,-0.00238037109375,-0.39984130859375, 0.91644287109375)}}
0:00:03.458999 {Acceleration: {Time: 3436, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 3398, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 3401, Status: 1, Value: (-30.1875,29.125,-17.0625)},Gravity: {Time: 3384, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3433, Status: 0, Value: (-0.015380859375,-0.00238037109375,-0.39984130859375, 0.91644287109375)}}
0:00:03.579760 {Acceleration: {Time: 3546, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 3552, Status: 3, Value: (0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 3554, Status: 1, Value: (-29.1875,28.6875,-18.3125)},Gravity: {Time: 3549, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3557, Status: 0, Value: (-0.01531982421875,-0.00244140625,-0.39984130859375, 0.91644287109375)}}
0:00:03.660246 {Acceleration: {Time: 3635, Status: 0, Value: (0.001953125,-0.00390625,0.001953125)},Gyroscope: {Time: 3615, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 3629, Status: 1, Value: (-31.0625,29.875,-16.5625)},Gravity: {Time: 3613, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3609, Status: 0, Value: (-0.01531982421875,-0.00238037109375,-0.39984130859375, 0.91644287109375)}}
0:00:03.771244 {Acceleration: {Time: 3746, Status: 0, Value: (-0.00390625,-0.001953125,-0.001953125)},Gyroscope: {Time: 3726, Status: 3, Value: (0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 3740, Status: 1, Value: (-31.4375,29.5,-16.875)},Gravity: {Time: 3724, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3719, Status: 0, Value: (-0.01531982421875,-0.00244140625,-0.39984130859375, 0.91644287109375)}}
0:00:03.883436 {Acceleration: {Time: 3859, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3825, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 3828, Status: 1, Value: (-30.125,29.0625,-17.8125)},Gravity: {Time: 3861, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3854, Status: 0, Value: (-0.015380859375,-0.00244140625,-0.39984130859375, 0.91644287109375)}}
0:00:03.969681 {Acceleration: {Time: 3947, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3920, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 3934, Status: 1, Value: (-29.6875,28.0625,-17.1875)},Gravity: {Time: 3918, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3944, Status: 0, Value: (-0.015380859375,-0.00244140625,-0.39984130859375, 0.91644287109375)}}
0:00:04.065133 {Acceleration: {Time: 4040, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4005, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 3982, Status: 1, Value: (-30.0625,27.75,-17.125)},Gravity: {Time: 4001, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4043, Status: 0, Value: (-0.015380859375,-0.00244140625,-0.39984130859375, 0.91644287109375)}}
0:00:04.179701 {Acceleration: {Time: 4155, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4148, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 4150, Status: 1, Value: (-29.8125,29.375,-17.0625)},Gravity: {Time: 4144, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4158, Status: 0, Value: (-0.015380859375,-0.00244140625,-0.39984130859375, 0.91644287109375)}}
0:00:04.268929 {Acceleration: {Time: 4245, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4207, Status: 3, Value: (0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 4209, Status: 1, Value: (-30.0625,27.75,-17.125)},Gravity: {Time: 4203, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4247, Status: 0, Value: (-0.015380859375,-0.00244140625,-0.39984130859375, 0.91644287109375)}}
0:00:04.382517 {Acceleration: {Time: 4358, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 4331, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4345, Status: 1, Value: (-30.6875,29.8125,-16.5625)},Gravity: {Time: 4329, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4361, Status: 0, Value: (-0.015380859375,-0.00244140625,-0.39984130859375, 0.91644287109375)}}
0:00:04.465697 {Acceleration: {Time: 4436, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 4441, Status: 3, Value: (-0.01953125,-0.01171875,-0.02734375)},Magnetic: {Time: 4444, Status: 1, Value: (-30.375,29.0625,-18.125)},Gravity: {Time: 4438, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 4431, Status: 0, Value: (-0.015380859375,-0.00244140625,-0.39984130859375, 0.91644287109375)}}
0:00:04.591315 {Acceleration: {Time: 4567, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 4540, Status: 3, Value: (-0.01953125,0.02734375,0.01171875)},Magnetic: {Time: 4554, Status: 1, Value: (-31.0,29.5,-17.0)},Gravity: {Time: 4538, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 4569, Status: 0, Value: (-0.01531982421875,-0.00244140625,-0.39990234375, 0.91644287109375)}}
0:00:04.672503 {Acceleration: {Time: 4644, Status: 0, Value: (0.00390625,-0.001953125,0.001953125)},Gyroscope: {Time: 4651, Status: 3, Value: (0.02734375,-0.01171875,0.01171875)},Magnetic: {Time: 4592, Status: 1, Value: (-30.875,27.8125,-17.0625)},Gravity: {Time: 4649, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 4646, Status: 0, Value: (-0.01531982421875,-0.00244140625,-0.39990234375, 0.91644287109375)}}
0:00:04.789122 {Acceleration: {Time: 4759, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 4768, Status: 3, Value: (-0.01171875,-0.046875,-0.02734375)},Magnetic: {Time: 4752, Status: 1, Value: (-28.75,27.625,-17.6875)},Gravity: {Time: 4765, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 4761, Status: 0, Value: (-0.01544189453125,-0.00238037109375,-0.39990234375, 0.91644287109375)}}
0:00:04.885095 {Acceleration: {Time: 4855, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 4864, Status: 3, Value: (-0.01171875,-0.046875,0.01171875)},Magnetic: {Time: 4800, Status: 1, Value: (-30.5625,29.4375,-17.0)},Gravity: {Time: 4860, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 4857, Status: 0, Value: (-0.0155029296875,-0.00244140625,-0.39990234375, 0.91644287109375)}}
0:00:04.973377 {Acceleration: {Time: 4952, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 4938, Status: 3, Value: (-0.01171875,0.02734375,0.01171875)},Magnetic: {Time: 4941, Status: 1, Value: (-30.0,28.0625,-17.875)},Gravity: {Time: 4924, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 4949, Status: 0, Value: (-0.01556396484375,-0.00238037109375,-0.39990234375, 0.91644287109375)}}
