0:00:02.313149: {Acceleration: {Time: 2269, Status: 0, Value: (-0.00390625,-0.01171875,0.001953125)},Gyroscope: {Time: 2274, Status: 3, Value: (0.1875,0.03125,0.09765625)},Magnetic: {Time: 2276, Status: 2, Value: (12.625,-4.25,-33.75)},Gravity: {Time: 2272, Status: 3, Value: (0.0546875,0.4296875,9.8671875)}, Rotation: {Time: 2264, Status: 0, Value: (0.0157470703125,0.01715087890625,0.79046630859375, 0.612060546875)}}
0:00:02.407877: {Acceleration: {Time: 2373, Status: 0, Value: (0.00390625,-0.005859375,0.0)},Gyroscope: {Time: 2335, Status: 3, Value: (-0.08203125,-0.0390625,0.0234375)},Magnetic: {Time: 2339, Status: 2, Value: (11.5625,-3.3125,-34.8125)},Gravity: {Time: 2332, Status: 3, Value: (0.0546875,0.421875,9.8671875)}, Rotation: {Time: 2369, Status: 0, Value: (0.01580810546875,0.01690673828125,0.79046630859375, 0.61212158203125)}}
0:00:02.501134: {Acceleration: {Time: 2458, Status: 0, Value: (0.00390625,0.001953125,0.0)},Gyroscope: {Time: 2452, Status: 3, Value: (0.01171875,0.03125,0.09765625)},Magnetic: {Time: 2455, Status: 2, Value: (12.125,-6.125,-32.625)},Gravity: {Time: 2448, Status: 3, Value: (0.0390625,0.4296875,9.8671875)}, Rotation: {Time: 2461, Status: 0, Value: (0.015869140625,0.01690673828125,0.79046630859375, 0.612060546875)}}
0:00:02.580724: {Acceleration: {Time: 2539, Status: 0, Value: (0.00390625,-0.00390625,0.0)},Gyroscope: {Time: 2519, Status: 3, Value: (-0.08984375,-0.28125,-0.0546875)},Magnetic: {Time: 2533, Status: 2, Value: (11.6875,-5.375,-33.6875)},Gravity: {Time: 2517, Status: 3, Value: (0.0234375,0.4375,9.8671875)}, Rotation: {Time: 2513, Status: 0, Value: (0.01580810546875,0.01690673828125,0.79046630859375, 0.612060546875)}}
0:00:02.681718: {Acceleration: {Time: 2654, Status: 0, Value: (-0.005859375,-0.001953125,0.0)},Gyroscope: {Time: 2617, Status: 3, Value: (0.1015625,0.03125,0.03125)},Magnetic: {Time: 2620, Status: 2, Value: (11.9375,-4.5625,-33.4375)},Gravity: {Time: 2614, Status: 3, Value: (0.0234375,0.4296875,9.859375)}, Rotation: {Time: 2650, Status: 0, Value: (0.01580810546875,0.0169677734375,0.79052734375, 0.61199951171875)}}
0:00:02.780366: {Acceleration: {Time: 2748, Status: 0, Value: (-0.005859375,0.0,-0.00390625)},Gyroscope: {Time: 2716, Status: 3, Value: (0.06640625,-0.046875,-0.046875)},Magnetic: {Time: 2718, Status: 2, Value: (11.5625,-5.875,-33.375)},Gravity: {Time: 2712, Status: 3, Value: (0.0234375,0.4296875,9.859375)}, Rotation: {Time: 2743, Status: 0, Value: (0.0157470703125,0.01690673828125,0.79052734375, 0.61199951171875)}}
0:00:02.875160: {Acceleration: {Time: 2843, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 2806, Status: 3, Value: (0.06640625,0.1015625,-0.015625)},Magnetic: {Time: 2781, Status: 2, Value: (12.5,-3.4375,-34.5)},Gravity: {Time: 2802, Status: 3, Value: (0.0234375,0.4375,9.8671875)}, Rotation: {Time: 2846, Status: 0, Value: (0.01568603515625,0.016845703125,0.79052734375, 0.61199951171875)}}
0:00:02.970951: {Acceleration: {Time: 2926, Status: 0, Value: (0.0078125,0.0,0.001953125)},Gyroscope: {Time: 2935, Status: 3, Value: (-0.08984375,0.0546875,-0.046875)},Magnetic: {Time: 2894, Status: 2, Value: (12.625,-4.1875,-34.4375)},Gravity: {Time: 2932, Status: 3, Value: (0.0234375,0.4453125,9.859375)}, Rotation: {Time: 2929, Status: 0, Value: (0.015625,0.016845703125,0.79052734375, 0.61199951171875)}}
0:00:03.073684: {Acceleration: {Time: 3027, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 3036, Status: 3, Value: (-0.01953125,-0.0546875,-0.0390625)},Magnetic: {Time: 2995, Status: 2, Value: (12.9375,-5.25,-34.625)},Gravity: {Time: 3032, Status: 3, Value: (0.03125,0.4375,9.8515625)}, Rotation: {Time: 3029, Status: 0, Value: (0.01556396484375,0.01678466796875,0.79046630859375, 0.61212158203125)}}
0:00:03.158605: {Acceleration: {Time: 3126, Status: 0, Value: (0.0,0.001953125,0.001953125)},Gyroscope: {Time: 3119, Status: 3, Value: (0.02734375,0.12890625,0.0390625)},Magnetic: {Time: 3122, Status: 2, Value: (9.9375,-7.125,-34.5625)},Gravity: {Time: 3115, Status: 3, Value: (0.0234375,0.4453125,9.8515625)}, Rotation: {Time: 3129, Status: 0, Value: (0.0155029296875,0.01690673828125,0.79046630859375, 0.612060546875)}}
