0:00:02.790746 {Acceleration: {Time: 2735, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2719, Status: 3, Value: (-0.00390625,0.00390625,0.03515625)},Magnetic: {Time: 2723, Status: 2, Value: (8.5625,-17.875,-49.0)},Gravity: {Time: 2705, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 2730, Status: 2, Value: (-0.0103759765625,0.004150390625,0.98150634765625, 0.19122314453125)}}
0:00:02.900256 {Acceleration: {Time: 2850, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2804, Status: 3, Value: (-0.0390625,-0.03125,-0.00390625)},Magnetic: {Time: 2818, Status: 2, Value: (7.8125,-18.25,-48.1875)},Gravity: {Time: 2855, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 2852, Status: 2, Value: (-0.0103759765625,0.004150390625,0.98150634765625, 0.1910400390625)}}
0:00:03.025056 {Acceleration: {Time: 2971, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2913, Status: 3, Value: (0.00390625,0.00390625,0.03515625)},Magnetic: {Time: 2928, Status: 2, Value: (8.1875,-18.5625,-49.0)},Gravity: {Time: 2910, Status: 3, Value: (-0.21875,0.046875,9.7578125)}, Rotation: {Time: 2968, Status: 2, Value: (-0.0103759765625,0.004150390625,0.98150634765625, 0.19097900390625)}}
0:00:03.134782 {Acceleration: {Time: 3085, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3075, Status: 3, Value: (-0.00390625,0.00390625,0.03515625)},Magnetic: {Time: 3078, Status: 2, Value: (8.9375,-19.25,-49.4375)},Gravity: {Time: 3071, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 3080, Status: 2, Value: (-0.0103759765625,0.00421142578125,0.98150634765625, 0.19097900390625)}}
0:00:03.246086 {Acceleration: {Time: 3191, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3199, Status: 3, Value: (-0.00390625,0.00390625,0.02734375)},Magnetic: {Time: 3135, Status: 2, Value: (8.5625,-18.875,-49.0)},Gravity: {Time: 3196, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 3194, Status: 2, Value: (-0.01031494140625,0.00421142578125,0.9815673828125, 0.19091796875)}}
0:00:03.369920 {Acceleration: {Time: 3313, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3247, Status: 3, Value: (-0.00390625,0.00390625,-0.01171875)},Magnetic: {Time: 3250, Status: 2, Value: (9.25,-18.1875,-48.1875)},Gravity: {Time: 3315, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 3310, Status: 2, Value: (-0.01031494140625,0.00421142578125,0.9815673828125, 0.19091796875)}}
0:00:03.480220 {Acceleration: {Time: 3429, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3400, Status: 3, Value: (-0.00390625,-0.03125,-0.01171875)},Magnetic: {Time: 3416, Status: 2, Value: (8.9375,-18.5,-48.1875)},Gravity: {Time: 3397, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 3431, Status: 2, Value: (-0.01031494140625,0.00421142578125,0.9815673828125, 0.1907958984375)}}
0:00:03.589605 {Acceleration: {Time: 3544, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3516, Status: 3, Value: (-0.00390625,0.01171875,0.02734375)},Magnetic: {Time: 3530, Status: 2, Value: (8.5625,-18.5,-48.1875)},Gravity: {Time: 3513, Status: 3, Value: (-0.2109375,0.0390625,9.765625)}, Rotation: {Time: 3546, Status: 2, Value: (-0.01031494140625,0.00421142578125,0.9815673828125, 0.19073486328125)}}
0:00:03.697518 {Acceleration: {Time: 3649, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3654, Status: 3, Value: (-0.00390625,-0.0234375,0.02734375)},Magnetic: {Time: 3656, Status: 2, Value: (8.1875,-19.25,-48.5625)},Gravity: {Time: 3652, Status: 3, Value: (-0.2109375,0.0390625,9.765625)}, Rotation: {Time: 3645, Status: 2, Value: (-0.01031494140625,0.00421142578125,0.9815673828125, 0.19073486328125)}}
0:00:03.822111 {Acceleration: {Time: 3763, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 3768, Status: 3, Value: (-0.00390625,0.00390625,-0.01171875)},Magnetic: {Time: 3770, Status: 2, Value: (8.5625,-18.875,-48.1875)},Gravity: {Time: 3765, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 3758, Status: 2, Value: (-0.01025390625,0.00421142578125,0.98162841796875, 0.19061279296875)}}
