0:00:02.995373 {Acceleration: {Time: 2950, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2943, Status: 3, Value: (-0.01171875,-0.01171875,-0.03125)},Magnetic: {Time: 2947, Status: 2, Value: (-3.75,-27.875,-36.0625)},Gravity: {Time: 2940, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 2953, Status: 0, Value: (-0.021484375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:03.094056 {Acceleration: {Time: 3050, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3013, Status: 3, Value: (0.02734375,-0.01171875,0.0078125)},Magnetic: {Time: 2987, Status: 2, Value: (-2.25,-27.0625,-34.75)},Gravity: {Time: 3010, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 3054, Status: 0, Value: (-0.021484375,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:03.198064 {Acceleration: {Time: 3149, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3155, Status: 3, Value: (0.03515625,-0.01171875,0.0)},Magnetic: {Time: 3157, Status: 2, Value: (-3.8125,-28.4375,-35.0625)},Gravity: {Time: 3153, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 3160, Status: 0, Value: (-0.021484375,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:03.301931 {Acceleration: {Time: 3248, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3219, Status: 3, Value: (-0.00390625,0.02734375,0.0)},Magnetic: {Time: 3233, Status: 2, Value: (-3.0,-26.4375,-35.1875)},Gravity: {Time: 3217, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 3251, Status: 0, Value: (-0.021484375,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:03.385019 {Acceleration: {Time: 3340, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3307, Status: 3, Value: (0.03515625,-0.01171875,-0.0390625)},Magnetic: {Time: 3309, Status: 2, Value: (-3.5,-28.3125,-35.0625)},Gravity: {Time: 3305, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 3343, Status: 0, Value: (-0.021484375,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:03.485407 {Acceleration: {Time: 3430, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3400, Status: 3, Value: (-0.01171875,-0.01171875,0.0078125)},Magnetic: {Time: 3403, Status: 2, Value: (-2.875,-26.0625,-35.5625)},Gravity: {Time: 3397, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 3432, Status: 0, Value: (-0.021484375,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:03.570248 {Acceleration: {Time: 3518, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3489, Status: 3, Value: (-0.01171875,-0.01171875,0.0078125)},Magnetic: {Time: 3491, Status: 2, Value: (-3.125,-26.9375,-35.1875)},Gravity: {Time: 3486, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 3521, Status: 0, Value: (-0.021484375,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:03.678702 {Acceleration: {Time: 3625, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3617, Status: 3, Value: (-0.01171875,-0.01171875,0.0078125)},Magnetic: {Time: 3620, Status: 2, Value: (-3.5,-27.125,-34.125)},Gravity: {Time: 3614, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 3627, Status: 0, Value: (-0.021484375,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:03.754685 {Acceleration: {Time: 3704, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3711, Status: 3, Value: (0.02734375,-0.01171875,0.0078125)},Magnetic: {Time: 3650, Status: 2, Value: (-2.875,-27.3125,-34.4375)},Gravity: {Time: 3709, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 3707, Status: 0, Value: (-0.021484375,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:03.846275 {Acceleration: {Time: 3798, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3761, Status: 3, Value: (0.01953125,-0.01171875,0.0078125)},Magnetic: {Time: 3765, Status: 2, Value: (-2.0,-26.125,-34.8125)},Gravity: {Time: 3758, Status: 3, Value: (0.453125,0.625,9.84375)}, Rotation: {Time: 3793, Status: 0, Value: (-0.02154541015625,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
