0:00:02.367223 {Acceleration: {Time: 2336, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 2300, Status: 3, Value: (-0.02734375,0.02734375,0.00390625)},Magnetic: {Time: 2303, Status: 1, Value: (-28.0,28.4375,-14.8125)},Gravity: {Time: 2297, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 2332, Status: 0, Value: (-0.01593017578125,-0.00335693359375,-0.38885498046875, 0.921142578125)}}
0:00:02.452590 {Acceleration: {Time: 2419, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 2393, Status: 3, Value: (-0.02734375,-0.01171875,-0.02734375)},Magnetic: {Time: 2407, Status: 1, Value: (-29.125,28.5,-15.4375)},Gravity: {Time: 2390, Status: 3, Value: (0.1796875,-0.2578125,9.640625)}, Rotation: {Time: 2421, Status: 0, Value: (-0.01593017578125,-0.00335693359375,-0.38885498046875, 0.921142578125)}}
0:00:02.568077 {Acceleration: {Time: 2534, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 2496, Status: 3, Value: (0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 2500, Status: 1, Value: (-28.0625,28.8125,-14.75)},Gravity: {Time: 2537, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2530, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38885498046875, 0.921142578125)}}
0:00:02.658752 {Acceleration: {Time: 2625, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 2618, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2622, Status: 1, Value: (-28.0,30.0,-15.8125)},Gravity: {Time: 2615, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2627, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.37933349609375, 0.92510986328125)}}
0:00:02.765684 {Acceleration: {Time: 2734, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2698, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 2701, Status: 1, Value: (-27.8125,28.0,-16.375)},Gravity: {Time: 2695, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2731, Status: 0, Value: (-0.01519775390625,-0.00299072265625,-0.37933349609375, 0.92510986328125)}}
0:00:02.853046 {Acceleration: {Time: 2819, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 2813, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 2815, Status: 1, Value: (-28.75,29.375,-15.75)},Gravity: {Time: 2809, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2822, Status: 0, Value: (-0.01519775390625,-0.0029296875,-0.37933349609375, 0.92510986328125)}}
0:00:02.967623 {Acceleration: {Time: 2934, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2908, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 2922, Status: 1, Value: (-28.875,29.1875,-14.625)},Gravity: {Time: 2905, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2936, Status: 0, Value: (-0.01519775390625,-0.0029296875,-0.37933349609375, 0.92510986328125)}}
0:00:03.052876 {Acceleration: {Time: 3019, Status: 0, Value: (0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 2994, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 3007, Status: 1, Value: (-27.5625,30.0,-15.9375)},Gravity: {Time: 2991, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3022, Status: 0, Value: (-0.0152587890625,-0.0029296875,-0.37933349609375, 0.92510986328125)}}
0:00:03.166304 {Acceleration: {Time: 3128, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3135, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 3073, Status: 1, Value: (-28.0,30.0,-16.1875)},Gravity: {Time: 3133, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3131, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.37933349609375, 0.92510986328125)}}
0:00:03.280906 {Acceleration: {Time: 3242, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3234, Status: 3, Value: (-0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 3237, Status: 1, Value: (-28.4375,29.375,-15.4375)},Gravity: {Time: 3250, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 3245, Status: 0, Value: (-0.0155029296875,-0.00372314453125,-0.37933349609375, 0.92510986328125)}}
