0:00:02.700672 {Acceleration: {Time: 2690, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2627, Status: 3, Value: (0.0234375,-0.0078125,0.0234375)},Magnetic: {Time: 2630, Status: 2, Value: (16.125,14.625,41.5625)},Gravity: {Time: 2623, Status: 3, Value: (0.3203125,-0.4140625,-10.0234375)}, Rotation: {Time: 2693, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.0252685546875)}}
0:00:02.812673 {Acceleration: {Time: 2792, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2801, Status: 3, Value: (-0.015625,-0.0078125,0.0234375)},Magnetic: {Time: 2786, Status: 2, Value: (16.9375,13.5625,41.1875)},Gravity: {Time: 2799, Status: 3, Value: (0.3203125,-0.4140625,-10.0234375)}, Rotation: {Time: 2795, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.02520751953125)}}
0:00:02.924672 {Acceleration: {Time: 2915, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2902, Status: 3, Value: (-0.015625,-0.0078125,-0.01171875)},Magnetic: {Time: 2905, Status: 2, Value: (16.125,13.9375,41.5)},Gravity: {Time: 2888, Status: 3, Value: (0.3203125,-0.4140625,-10.0234375)}, Rotation: {Time: 2912, Status: 2, Value: (-0.46759033203125,-0.883544921875,0.0106201171875, 0.02508544921875)}}
0:00:03.052671 {Acceleration: {Time: 3032, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3022, Status: 3, Value: (-0.0234375,-0.0078125,-0.01171875)},Magnetic: {Time: 3024, Status: 2, Value: (17.6875,14.9375,40.8125)},Gravity: {Time: 3018, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 3027, Status: 2, Value: (-0.46759033203125,-0.88348388671875,0.0106201171875, 0.02508544921875)}}
0:00:03.156674 {Acceleration: {Time: 3144, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3137, Status: 3, Value: (-0.0234375,0.03125,-0.01171875)},Magnetic: {Time: 3141, Status: 2, Value: (18.0625,13.9375,41.1875)},Gravity: {Time: 3134, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 3147, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.0250244140625)}}
0:00:03.268673 {Acceleration: {Time: 3257, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3217, Status: 3, Value: (0.015625,0.03125,-0.01171875)},Magnetic: {Time: 3220, Status: 2, Value: (17.3125,15.6875,41.625)},Gravity: {Time: 3213, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 3253, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.0250244140625)}}
0:00:03.372675 {Acceleration: {Time: 3365, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3287, Status: 3, Value: (-0.0234375,-0.0078125,-0.01171875)},Magnetic: {Time: 3301, Status: 2, Value: (17.3125,13.5625,41.1875)},Gravity: {Time: 3368, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 3361, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.02496337890625)}}
0:00:03.484673 {Acceleration: {Time: 3477, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3448, Status: 3, Value: (0.015625,-0.0078125,-0.01171875)},Magnetic: {Time: 3462, Status: 2, Value: (16.5,14.3125,40.8125)},Gravity: {Time: 3446, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 3473, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.02496337890625)}}
0:00:03.612676 {Acceleration: {Time: 3585, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3593, Status: 3, Value: (0.015625,-0.0078125,0.0234375)},Magnetic: {Time: 3523, Status: 2, Value: (18.8125,14.5625,41.1875)},Gravity: {Time: 3591, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 3588, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.02496337890625)}}
0:00:03.708675 {Acceleration: {Time: 3699, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3688, Status: 3, Value: (0.015625,-0.0078125,0.0234375)},Magnetic: {Time: 3691, Status: 2, Value: (16.125,13.9375,41.5625)},Gravity: {Time: 3673, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 3701, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.02490234375)}}
