0:00:02.730398: {Acceleration: {Time: 2693, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 2682, Status: 3, Value: (0.01171875,0.01953125,-0.0625)},Magnetic: {Time: 2685, Status: 1, Value: (-28.5,29.4375,-15.125)},Gravity: {Time: 2678, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 2687, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.384521484375, 0.9229736328125)}}
0:00:02.844073: {Acceleration: {Time: 2799, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 2807, Status: 3, Value: (0.01171875,0.01953125,0.01953125)},Magnetic: {Time: 2742, Status: 1, Value: (-29.5625,29.1875,-15.375)},Gravity: {Time: 2804, Status: 3, Value: (0.1796875,-0.25,9.6328125)}, Rotation: {Time: 2801, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38446044921875, 0.9229736328125)}}
0:00:02.939226: {Acceleration: {Time: 2902, Status: 0, Value: (-0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 2867, Status: 3, Value: (-0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 2869, Status: 1, Value: (-29.0625,29.6875,-16.5625)},Gravity: {Time: 2864, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 2898, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.38446044921875, 0.92303466796875)}}
0:00:03.039762: {Acceleration: {Time: 2993, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 3002, Status: 3, Value: (-0.01953125,0.01953125,0.05078125)},Magnetic: {Time: 2965, Status: 1, Value: (-29.9375,29.75,-16.4375)},Gravity: {Time: 2999, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2996, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38446044921875, 0.92303466796875)}}
0:00:03.139024: {Acceleration: {Time: 3098, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 3072, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 3086, Status: 1, Value: (-30.6875,29.25,-16.0)},Gravity: {Time: 3069, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3102, Status: 0, Value: (-0.01544189453125,-0.003173828125,-0.38446044921875, 0.9229736328125)}}
0:00:03.249743: {Acceleration: {Time: 3210, Status: 0, Value: (0.001953125,-0.00390625,0.0)},Gyroscope: {Time: 3204, Status: 3, Value: (-0.01953125,-0.01953125,0.12890625)},Magnetic: {Time: 3207, Status: 1, Value: (-29.25,29.5,-15.0)},Gravity: {Time: 3200, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3213, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.384521484375, 0.9229736328125)}}
0:00:03.337222: {Acceleration: {Time: 3298, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 3288, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 3291, Status: 1, Value: (-29.0,28.125,-15.875)},Gravity: {Time: 3274, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3300, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.384521484375, 0.9229736328125)}}
0:00:03.444239: {Acceleration: {Time: 3407, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3357, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 3371, Status: 1, Value: (-29.6875,29.5,-14.9375)},Gravity: {Time: 3355, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3404, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38458251953125, 0.9229736328125)}}
0:00:03.539711: {Acceleration: {Time: 3500, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 3461, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 3464, Status: 1, Value: (-28.125,28.625,-17.4375)},Gravity: {Time: 3447, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3503, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38458251953125, 0.9229736328125)}}
0:00:03.654520: {Acceleration: {Time: 3618, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 3551, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 3554, Status: 1, Value: (-29.125,28.8125,-15.4375)},Gravity: {Time: 3548, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3614, Status: 0, Value: (-0.01531982421875,-0.00323486328125,-0.38458251953125, 0.9229736328125)}}
