0:00:13.642418: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.3259177207946777, Phase: 49745.3046875
0:00:13.752671: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.342454195022583, Phase: 49745.9921875
0:00:13.846099: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.3550992012023926, Phase: 49746.578125
0:00:13.931348: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.365751028060913, Phase: 49747.1171875
0:00:14.031823: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.3770558834075928, Phase: 49747.74609375
0:00:14.152864: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.3893628120422363, Phase: 49748.51171875
0:00:14.250797: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.3981189727783203, Phase: 49749.12109375
0:00:14.336637: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4052555561065674, Phase: 49749.66796875
0:00:14.447376: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4134159088134766, Phase: 49750.35546875
0:00:14.560027: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4209063053131104, Phase: 49751.06640625
0:00:14.643198: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.425884485244751, Phase: 49751.5859375
0:00:14.740082: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4312100410461426, Phase: 49752.19140625
0:00:14.849182: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.436631441116333, Phase: 49752.8828125
0:00:14.959478: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4414803981781006, Phase: 49753.5703125
0:00:15.073214: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4459683895111084, Phase: 49754.28515625
0:00:15.154869: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4488894939422607, Phase: 49754.796875
0:00:15.270737: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.452630043029785, Phase: 49755.52734375
0:00:15.377751: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4557077884674072, Phase: 49756.1953125
0:00:15.473814: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4582064151763916, Phase: 49756.796875
0:00:15.571300: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4605183601379395, Phase: 49757.4140625
0:00:15.683040: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4628663063049316, Phase: 49758.109375
0:00:15.770325: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.464550018310547, Phase: 49758.66015625
0:00:15.877456: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.466402769088745, Phase: 49759.328125
0:00:15.971803: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4678916931152344, Phase: 49759.92578125
0:00:16.069471: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.469271183013916, Phase: 49760.5390625
0:00:16.176428: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4706385135650635, Phase: 49761.2109375
0:00:16.263810: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.471658229827881, Phase: 49761.76171875
0:00:16.376509: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4728403091430664, Phase: 49762.46875
0:00:16.475101: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4737637042999268, Phase: 49763.08203125
0:00:16.573238: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4746077060699463, Phase: 49763.70703125
0:00:16.673487: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4753782749176025, Phase: 49764.33984375
0:00:16.783583: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.476137638092041, Phase: 49765.03125
0:00:16.872899: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.476693630218506, Phase: 49765.5859375
0:00:16.984870: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.477330446243286, Phase: 49766.29296875
0:00:17.083296: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.477827548980713, Phase: 49766.90625
0:00:17.184458: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4782910346984863, Phase: 49767.54296875
0:00:17.273790: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4786648750305176, Phase: 49768.109375
0:00:17.384754: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4790806770324707, Phase: 49768.8046875
0:00:17.483295: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.479414939880371, Phase: 49769.42578125
0:00:17.591254: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4797422885894775, Phase: 49770.1015625
0:00:17.677635: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.479978561401367, Phase: 49770.64453125
0:00:17.790922: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.48026180267334, Phase: 49771.36328125
0:00:17.897944: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.480499267578125, Phase: 49772.03125
0:00:17.991138: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4806861877441406, Phase: 49772.61328125
0:00:18.103680: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4808902740478516, Phase: 49773.3203125
0:00:18.190106: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4810309410095215, Phase: 49773.86328125
0:00:18.306971: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.481203317642212, Phase: 49774.6015625
0:00:18.404751: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4813318252563477, Phase: 49775.2109375
0:00:18.496721: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4814436435699463, Phase: 49775.79296875
0:00:18.606433: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.481562852859497, Phase: 49776.484375
0:00:18.714815: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4816675186157227, Phase: 49777.1640625
0:00:18.810825: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4817514419555664, Phase: 49777.765625
0:00:18.897709: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.481820821762085, Phase: 49778.3125
0:00:19.007933: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.481900453567505, Phase: 49779.0078125
0:00:19.103697: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4819629192352295, Phase: 49779.61328125
0:00:19.205104: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.482022285461426, Phase: 49780.24609375
0:00:19.317968: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.482081651687622, Phase: 49780.95703125
0:00:19.413397: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4821271896362305, Phase: 49781.55859375
0:00:19.513807: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4821701049804688, Phase: 49782.1875
0:00:19.606564: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.482206344604492, Phase: 49782.76953125
0:00:19.715768: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4822447299957275, Phase: 49783.453125
0:00:19.813637: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4822757244110107, Phase: 49784.0703125
0:00:19.928351: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4823083877563477, Phase: 49784.79296875
0:00:20.024597: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.482332944869995, Phase: 49785.3984375
0:00:20.128950: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4823570251464844, Phase: 49786.0546875
0:00:20.225249: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.48237681388855, Phase: 49786.66015625
0:00:20.323910: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4823954105377197, Phase: 49787.28125
0:00:20.416312: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4824111461639404, Phase: 49787.859375
0:00:20.532423: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.482429027557373, Phase: 49788.59375
0:00:20.618689: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.482440948486328, Phase: 49789.1328125
0:00:20.725053: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.482454299926758, Phase: 49789.80859375
0:00:20.838755: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.48246693611145, Phase: 49790.51953125
0:00:20.926322: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.482475757598877, Phase: 49791.0703125
