0:00:02.423673: {Acceleration: {Time: 2385, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2378, Status: 3, Value: (0.05859375,0.05859375,-0.0703125)},Magnetic: {Time: 2380, Status: 1, Value: (-29.6875,29.25,-14.75)},Gravity: {Time: 2375, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2387, Status: 0, Value: (-0.01519775390625,-0.0032958984375,-0.38690185546875, 0.9219970703125)}}
0:00:02.510115: {Acceleration: {Time: 2465, Status: 0, Value: (-0.001953125,0.005859375,-0.001953125)},Gyroscope: {Time: 2474, Status: 3, Value: (0.01953125,-0.0546875,0.00390625)},Magnetic: {Time: 2434, Status: 1, Value: (-29.6875,27.75,-16.75)},Gravity: {Time: 2470, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2467, Status: 0, Value: (-0.01519775390625,-0.0032958984375,-0.3868408203125, 0.9219970703125)}}
0:00:02.631405: {Acceleration: {Time: 2589, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 2558, Status: 3, Value: (-0.01953125,-0.01171875,-0.02734375)},Magnetic: {Time: 2560, Status: 1, Value: (-29.0625,28.8125,-15.9375)},Gravity: {Time: 2595, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 2592, Status: 0, Value: (-0.0152587890625,-0.00323486328125,-0.38690185546875, 0.9219970703125)}}
0:00:02.729752: {Acceleration: {Time: 2685, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2694, Status: 3, Value: (0.01953125,0.02734375,0.01171875)},Magnetic: {Time: 2629, Status: 1, Value: (-29.6875,28.9375,-14.3125)},Gravity: {Time: 2690, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 2687, Status: 0, Value: (-0.0152587890625,-0.0032958984375,-0.386962890625, 0.9219970703125)}}
0:00:02.822553: {Acceleration: {Time: 2784, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2776, Status: 3, Value: (-0.05859375,-0.01953125,0.00390625)},Magnetic: {Time: 2780, Status: 1, Value: (-29.5625,28.5,-15.125)},Gravity: {Time: 2773, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2786, Status: 0, Value: (-0.0152587890625,-0.0032958984375,-0.386962890625, 0.9219970703125)}}
0:00:02.911145: {Acceleration: {Time: 2866, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 2875, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 2835, Status: 1, Value: (-30.625,29.6875,-14.1875)},Gravity: {Time: 2872, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2868, Status: 0, Value: (-0.0152587890625,-0.0032958984375,-0.386962890625, 0.9219970703125)}}
0:00:03.031297: {Acceleration: {Time: 2995, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 2959, Status: 3, Value: (0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 2962, Status: 1, Value: (-29.6875,29.8125,-15.125)},Gravity: {Time: 2957, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2989, Status: 0, Value: (-0.0152587890625,-0.00323486328125,-0.386962890625, 0.92193603515625)}}
0:00:03.130222: {Acceleration: {Time: 3091, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3065, Status: 3, Value: (0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 3079, Status: 1, Value: (-29.25,29.1875,-14.8125)},Gravity: {Time: 3062, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3094, Status: 0, Value: (-0.0152587890625,-0.00323486328125,-0.38702392578125, 0.92193603515625)}}
0:00:03.212008: {Acceleration: {Time: 3174, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 3154, Status: 3, Value: (-0.01171875,0.01953125,-0.0625)},Magnetic: {Time: 3168, Status: 1, Value: (-28.8125,29.1875,-14.8125)},Gravity: {Time: 3150, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3148, Status: 0, Value: (-0.01531982421875,-0.00323486328125,-0.386962890625, 0.92193603515625)}}
0:00:03.318346: {Acceleration: {Time: 3271, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3278, Status: 3, Value: (-0.01171875,0.01953125,-0.02734375)},Magnetic: {Time: 3280, Status: 1, Value: (-28.1875,27.4375,-15.75)},Gravity: {Time: 3275, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3283, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38702392578125, 0.92193603515625)}}
0:00:03.431347: {Acceleration: {Time: 3392, Status: 0, Value: (0.00390625,0.00390625,0.001953125)},Gyroscope: {Time: 3387, Status: 3, Value: (-0.05078125,0.01171875,-0.09375)},Magnetic: {Time: 3389, Status: 1, Value: (-30.5625,29.625,-14.625)},Gravity: {Time: 3383, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 3396, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38702392578125, 0.92193603515625)}}
0:00:03.517873: {Acceleration: {Time: 3480, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 3470, Status: 3, Value: (-0.01171875,0.01171875,-0.01953125)},Magnetic: {Time: 3473, Status: 1, Value: (-29.5625,27.875,-14.8125)},Gravity: {Time: 3456, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 3482, Status: 0, Value: (-0.01544189453125,-0.003173828125,-0.38702392578125, 0.92193603515625)}}
0:00:03.631822: {Acceleration: {Time: 3597, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 3558, Status: 3, Value: (-0.01171875,0.01171875,0.01953125)},Magnetic: {Time: 3560, Status: 1, Value: (-29.125,29.125,-15.5625)},Gravity: {Time: 3555, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 3591, Status: 0, Value: (-0.01544189453125,-0.00323486328125,-0.38702392578125, 0.92193603515625)}}
0:00:03.724991: {Acceleration: {Time: 3687, Status: 0, Value: (-0.001953125,0.00390625,-0.001953125)},Gyroscope: {Time: 3655, Status: 3, Value: (-0.01171875,0.01171875,0.01953125)},Magnetic: {Time: 3630, Status: 1, Value: (-29.0625,28.125,-15.625)},Gravity: {Time: 3652, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 3681, Status: 0, Value: (-0.01544189453125,-0.00323486328125,-0.38702392578125, 0.92193603515625)}}
0:00:03.820555: {Acceleration: {Time: 3782, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 3747, Status: 3, Value: (0.02734375,0.01171875,0.01171875)},Magnetic: {Time: 3724, Status: 1, Value: (-29.375,28.4375,-16.6875)},Gravity: {Time: 3744, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 3785, Status: 0, Value: (-0.0155029296875,-0.003173828125,-0.38702392578125, 0.92193603515625)}}
0:00:03.933554: {Acceleration: {Time: 3893, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 3898, Status: 3, Value: (-0.01953125,0.01953125,0.04296875)},Magnetic: {Time: 3830, Status: 1, Value: (-29.5625,28.8125,-15.5625)},Gravity: {Time: 3896, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3890, Status: 0, Value: (-0.01556396484375,-0.003173828125,-0.38702392578125, 0.92193603515625)}}
0:00:04.024720: {Acceleration: {Time: 3990, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 3957, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 3933, Status: 1, Value: (-30.5625,29.625,-14.625)},Gravity: {Time: 3953, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3987, Status: 0, Value: (-0.01556396484375,-0.003173828125,-0.3870849609375, 0.92193603515625)}}
0:00:04.147036: {Acceleration: {Time: 4107, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4112, Status: 3, Value: (0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 4024, Status: 1, Value: (-28.625,28.75,-16.4375)},Gravity: {Time: 4110, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 4103, Status: 0, Value: (-0.01519775390625,-0.002685546875,-0.3985595703125, 0.9169921875)}}
0:00:04.227766: {Acceleration: {Time: 4182, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 4188, Status: 3, Value: (0.05859375,-0.1015625,0.08984375)},Magnetic: {Time: 4191, Status: 1, Value: (-29.75,30.1875,-14.6875)},Gravity: {Time: 4185, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4193, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.3985595703125, 0.9169921875)}}
