0:00:02.588770: {Acceleration: {Time: 2552, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2510, Status: 3, Value: (0.01953125,-0.02734375,0.01953125)},Magnetic: {Time: 2513, Status: 1, Value: (-30.5,28.625,-14.3125)},Gravity: {Time: 2496, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 2547, Status: 0, Value: (-0.01507568359375,-0.00335693359375,-0.38897705078125, 0.92108154296875)}}
0:00:02.688477: {Acceleration: {Time: 2649, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2623, Status: 3, Value: (0.01953125,0.01171875,0.01953125)},Magnetic: {Time: 2637, Status: 1, Value: (-29.0625,28.125,-15.625)},Gravity: {Time: 2620, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 2652, Status: 0, Value: (-0.01507568359375,-0.00335693359375,-0.38897705078125, 0.92108154296875)}}
0:00:02.795817: {Acceleration: {Time: 2757, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2736, Status: 3, Value: (0.01953125,0.00390625,0.01171875)},Magnetic: {Time: 2750, Status: 1, Value: (-29.875,28.1875,-15.5625)},Gravity: {Time: 2734, Status: 3, Value: (0.171875,-0.234375,9.640625)}, Rotation: {Time: 2730, Status: 0, Value: (-0.01507568359375,-0.00335693359375,-0.38897705078125, 0.92108154296875)}}
0:00:02.880360: {Acceleration: {Time: 2841, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2835, Status: 3, Value: (0.01953125,-0.02734375,0.01953125)},Magnetic: {Time: 2838, Status: 1, Value: (-29.0625,29.4375,-16.3125)},Gravity: {Time: 2831, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 2844, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38897705078125, 0.92108154296875)}}
0:00:02.996377: {Acceleration: {Time: 2960, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2903, Status: 3, Value: (-0.01953125,0.01171875,0.01953125)},Magnetic: {Time: 2917, Status: 1, Value: (-29.4375,28.125,-15.9375)},Gravity: {Time: 2899, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 2956, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38897705078125, 0.92108154296875)}}
0:00:03.082933: {Acceleration: {Time: 3044, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3037, Status: 3, Value: (-0.01953125,-0.02734375,0.01953125)},Magnetic: {Time: 3040, Status: 1, Value: (-29.5625,28.1875,-15.25)},Gravity: {Time: 3034, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 3046, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38897705078125, 0.92108154296875)}}
0:00:03.197978: {Acceleration: {Time: 3161, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3090, Status: 3, Value: (0.01953125,0.01171875,-0.01953125)},Magnetic: {Time: 3093, Status: 1, Value: (-28.625,27.75,-15.6875)},Gravity: {Time: 3076, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 3158, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38897705078125, 0.92108154296875)}}
0:00:03.287555: {Acceleration: {Time: 3251, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3181, Status: 3, Value: (0.01953125,0.01171875,0.01953125)},Magnetic: {Time: 3185, Status: 1, Value: (-28.6875,27.5,-14.9375)},Gravity: {Time: 3178, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 3248, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38897705078125, 0.92108154296875)}}
0:00:03.400422: {Acceleration: {Time: 3361, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3355, Status: 3, Value: (0.02734375,0.01171875,0.01953125)},Magnetic: {Time: 3357, Status: 1, Value: (-29.5625,29.1875,-15.5)},Gravity: {Time: 3352, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 3364, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:03.488934: {Acceleration: {Time: 3449, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3438, Status: 3, Value: (-0.01171875,-0.02734375,0.01953125)},Magnetic: {Time: 3442, Status: 1, Value: (-28.5625,28.0625,-16.5)},Gravity: {Time: 3424, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 3453, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
