0:00:02.686435 {Acceleration: {Time: 2635, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2629, Status: 3, Value: (-0.01171875,-0.03515625,0.00390625)},Magnetic: {Time: 2631, Status: 1, Value: (-30.8125,29.3125,-14.9375)},Gravity: {Time: 2626, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 2638, Status: 0, Value: (-0.0145263671875,-0.00311279296875,-0.38800048828125, 0.92156982421875)}}
0:00:02.802474 {Acceleration: {Time: 2754, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2712, Status: 3, Value: (-0.01171875,-0.03515625,-0.03515625)},Magnetic: {Time: 2715, Status: 1, Value: (-29.6875,29.25,-14.75)},Gravity: {Time: 2698, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 2749, Status: 0, Value: (-0.0145263671875,-0.00311279296875,-0.38800048828125, 0.92156982421875)}}
0:00:02.902347 {Acceleration: {Time: 2850, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2824, Status: 3, Value: (-0.01171875,0.00390625,-0.03515625)},Magnetic: {Time: 2838, Status: 1, Value: (-29.875,28.1875,-15.5625)},Gravity: {Time: 2821, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 2854, Status: 0, Value: (-0.0145263671875,-0.00311279296875,-0.38800048828125, 0.92156982421875)}}
0:00:03.016059 {Acceleration: {Time: 2965, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2938, Status: 3, Value: (-0.01171875,0.00390625,0.00390625)},Magnetic: {Time: 2952, Status: 1, Value: (-29.0,28.75,-16.375)},Gravity: {Time: 2936, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 2968, Status: 0, Value: (-0.0145263671875,-0.00311279296875,-0.38800048828125, 0.92156982421875)}}
0:00:03.133004 {Acceleration: {Time: 3075, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3085, Status: 3, Value: (-0.01171875,0.00390625,-0.03515625)},Magnetic: {Time: 3040, Status: 1, Value: (-29.125,28.125,-15.1875)},Gravity: {Time: 3081, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 3077, Status: 0, Value: (-0.0145263671875,-0.00311279296875,-0.38800048828125, 0.92156982421875)}}
0:00:03.232427 {Acceleration: {Time: 3181, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3155, Status: 3, Value: (-0.01171875,0.00390625,0.00390625)},Magnetic: {Time: 3169, Status: 1, Value: (-28.6875,28.4375,-15.6875)},Gravity: {Time: 3152, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 3184, Status: 0, Value: (-0.0145263671875,-0.00311279296875,-0.38800048828125, 0.92156982421875)}}
0:00:03.346634 {Acceleration: {Time: 3288, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3298, Status: 3, Value: (-0.01171875,0.04296875,-0.0703125)},Magnetic: {Time: 3282, Status: 1, Value: (-30.125,28.3125,-14.0625)},Gravity: {Time: 3296, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 3291, Status: 0, Value: (-0.0145263671875,-0.00311279296875,-0.38800048828125, 0.92156982421875)}}
0:00:03.464294 {Acceleration: {Time: 3405, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 3410, Status: 3, Value: (-0.05078125,-0.02734375,-0.0625)},Magnetic: {Time: 3414, Status: 1, Value: (-30.0,28.875,-15.0625)},Gravity: {Time: 3408, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 3416, Status: 0, Value: (-0.01458740234375,-0.00311279296875,-0.38800048828125, 0.9215087890625)}}
0:00:03.577379 {Acceleration: {Time: 3529, Status: 0, Value: (-0.001953125,-0.00390625,0.001953125)},Gyroscope: {Time: 3473, Status: 3, Value: (0.06640625,-0.02734375,-0.09375)},Magnetic: {Time: 3487, Status: 1, Value: (-30.125,29.25,-14.6875)},Gravity: {Time: 3470, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 3526, Status: 0, Value: (-0.0146484375,-0.003173828125,-0.38800048828125, 0.9215087890625)}}
0:00:03.674039 {Acceleration: {Time: 3626, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 3588, Status: 3, Value: (0.01953125,-0.02734375,-0.09375)},Magnetic: {Time: 3590, Status: 1, Value: (-29.625,29.5,-15.5)},Gravity: {Time: 3584, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 3621, Status: 0, Value: (-0.0146484375,-0.003173828125,-0.38800048828125, 0.9215087890625)}}
