0:00:02.539061: {Acceleration: {Time: 2500, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2490, Status: 3, Value: (0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 2493, Status: 1, Value: (-25.4375,-21.25,-7.0625)},Gravity: {Time: 2475, Status: 3, Value: (0.109375,-0.1953125,9.6328125)}, Rotation: {Time: 2502, Status: 0, Value: (-0.00994873046875,-0.00482177734375,0.00018310546875, 0.99993896484375)}}
0:00:02.627515: {Acceleration: {Time: 2590, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2575, Status: 3, Value: (0.00390625,0.00390625,0.01953125)},Magnetic: {Time: 2578, Status: 1, Value: (-25.5,-20.25,-7.0)},Gravity: {Time: 2561, Status: 3, Value: (0.109375,-0.1953125,9.6328125)}, Rotation: {Time: 2585, Status: 0, Value: (-0.00994873046875,-0.00482177734375,0.00018310546875, 0.99993896484375)}}
0:00:02.725688: {Acceleration: {Time: 2680, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2689, Status: 3, Value: (0.00390625,-0.03515625,-0.01953125)},Magnetic: {Time: 2622, Status: 1, Value: (-25.4375,-22.1875,-6.375)},Gravity: {Time: 2685, Status: 3, Value: (0.109375,-0.1953125,9.6328125)}, Rotation: {Time: 2682, Status: 0, Value: (-0.00994873046875,-0.00482177734375,0.00018310546875, 0.99993896484375)}}
0:00:02.841371: {Acceleration: {Time: 2804, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2790, Status: 3, Value: (0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 2793, Status: 1, Value: (-25.3125,-21.6875,-7.875)},Gravity: {Time: 2776, Status: 3, Value: (0.109375,-0.1953125,9.6328125)}, Rotation: {Time: 2801, Status: 0, Value: (-0.00994873046875,-0.0048828125,0.00018310546875, 0.99993896484375)}}
0:00:02.926749: {Acceleration: {Time: 2890, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2850, Status: 3, Value: (0.00390625,-0.03515625,0.06640625)},Magnetic: {Time: 2854, Status: 1, Value: (-25.5,-21.25,-6.6875)},Gravity: {Time: 2836, Status: 3, Value: (0.109375,-0.1953125,9.625)}, Rotation: {Time: 2887, Status: 0, Value: (-0.00994873046875,-0.0048828125,0.00018310546875, 0.99993896484375)}}
0:00:03.049928: {Acceleration: {Time: 3001, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3008, Status: 3, Value: (0.00390625,-0.03515625,0.02734375)},Magnetic: {Time: 3010, Status: 1, Value: (-25.375,-20.625,-7.8125)},Gravity: {Time: 3005, Status: 3, Value: (0.109375,-0.1953125,9.625)}, Rotation: {Time: 3013, Status: 0, Value: (-0.00994873046875,-0.00494384765625,0.00018310546875, 0.99993896484375)}}
0:00:03.136184: {Acceleration: {Time: 3097, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3090, Status: 3, Value: (-0.00390625,0.00390625,0.02734375)},Magnetic: {Time: 3094, Status: 1, Value: (-25.5,-20.3125,-7.0)},Gravity: {Time: 3087, Status: 3, Value: (0.1171875,-0.1953125,9.625)}, Rotation: {Time: 3099, Status: 0, Value: (-0.00994873046875,-0.00494384765625,0.00018310546875, 0.99993896484375)}}
0:00:03.255189: {Acceleration: {Time: 3216, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3209, Status: 3, Value: (-0.00390625,0.00390625,0.02734375)},Magnetic: {Time: 3212, Status: 1, Value: (-25.375,-21.625,-7.0625)},Gravity: {Time: 3206, Status: 3, Value: (0.1171875,-0.1953125,9.625)}, Rotation: {Time: 3218, Status: 0, Value: (-0.00994873046875,-0.00494384765625,0.00018310546875, 0.99993896484375)}}
0:00:03.340442: {Acceleration: {Time: 3295, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3304, Status: 3, Value: (0.00390625,0.00390625,-0.0546875)},Magnetic: {Time: 3241, Status: 1, Value: (-25.125,-20.3125,-7.0625)},Gravity: {Time: 3301, Status: 3, Value: (0.109375,-0.1953125,9.6328125)}, Rotation: {Time: 3298, Status: 0, Value: (-0.00994873046875,-0.0050048828125,0.00018310546875, 0.99993896484375)}}
0:00:03.454138: {Acceleration: {Time: 3417, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3403, Status: 3, Value: (0.00390625,0.00390625,-0.01171875)},Magnetic: {Time: 3406, Status: 1, Value: (-25.5625,-19.625,-6.9375)},Gravity: {Time: 3389, Status: 3, Value: (0.109375,-0.1953125,9.625)}, Rotation: {Time: 3413, Status: 0, Value: (-0.010009765625,-0.0050048828125,0.00018310546875, 0.99993896484375)}}
