0:00:02.433581 {Acceleration: {Time: 2395, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2369, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2383, Status: 1, Value: (-29.0,28.0625,-16.3125)},Gravity: {Time: 2367, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2399, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38336181640625, 0.9234619140625)}}
0:00:02.544767 {Acceleration: {Time: 2502, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2510, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2468, Status: 1, Value: (-28.8125,29.125,-15.0625)},Gravity: {Time: 2508, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2504, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38336181640625, 0.9234619140625)}}
0:00:02.641972 {Acceleration: {Time: 2599, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 2568, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2571, Status: 1, Value: (-27.5,28.6875,-15.6875)},Gravity: {Time: 2607, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2602, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3834228515625, 0.9234619140625)}}
0:00:02.737195 {Acceleration: {Time: 2700, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 2692, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 2695, Status: 1, Value: (-28.6875,29.375,-16.25)},Gravity: {Time: 2689, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2702, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3834228515625, 0.9234619140625)}}
0:00:02.848793 {Acceleration: {Time: 2812, Status: 0, Value: (0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 2776, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 2779, Status: 1, Value: (-27.8125,28.0,-16.0)},Gravity: {Time: 2772, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2814, Status: 0, Value: (-0.01544189453125,-0.0032958984375,-0.3834228515625, 0.9234619140625)}}
0:00:02.935050 {Acceleration: {Time: 2891, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 2900, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2871, Status: 1, Value: (-29.5625,29.1875,-15.75)},Gravity: {Time: 2898, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2894, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38336181640625, 0.9234619140625)}}
0:00:03.030199 {Acceleration: {Time: 2988, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 2996, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 2933, Status: 1, Value: (-29.4375,27.1875,-15.5)},Gravity: {Time: 2993, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2990, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.3927001953125, 0.91949462890625)}}
0:00:03.147780 {Acceleration: {Time: 3104, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 3113, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 3097, Status: 1, Value: (-29.0,28.0625,-16.3125)},Gravity: {Time: 3111, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3107, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.39276123046875, 0.91949462890625)}}
0:00:03.243639 {Acceleration: {Time: 3200, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 3209, Status: 3, Value: (0.01953125,-0.01171875,-0.02734375)},Magnetic: {Time: 3172, Status: 1, Value: (-29.375,27.1875,-15.875)},Gravity: {Time: 3206, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 3203, Status: 0, Value: (-0.01580810546875,-0.0029296875,-0.39276123046875, 0.91949462890625)}}
0:00:03.352661 {Acceleration: {Time: 3315, Status: 0, Value: (0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 3288, Status: 3, Value: (0.01953125,0.02734375,0.01171875)},Magnetic: {Time: 3302, Status: 1, Value: (-28.6875,29.125,-15.875)},Gravity: {Time: 3285, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 3318, Status: 0, Value: (-0.01580810546875,-0.0029296875,-0.3927001953125, 0.91949462890625)}}
0:00:03.438123 {Acceleration: {Time: 3401, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3375, Status: 3, Value: (-0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 3389, Status: 1, Value: (-27.3125,27.0,-16.1875)},Gravity: {Time: 3373, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 3404, Status: 0, Value: (-0.01580810546875,-0.0029296875,-0.39276123046875, 0.91949462890625)}}
0:00:03.551677 {Acceleration: {Time: 3514, Status: 0, Value: (0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 3508, Status: 3, Value: (-0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 3511, Status: 1, Value: (-29.375,28.125,-16.25)},Gravity: {Time: 3504, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 3518, Status: 0, Value: (-0.0157470703125,-0.0029296875,-0.39276123046875, 0.91949462890625)}}
0:00:03.643074 {Acceleration: {Time: 3606, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3568, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 3571, Status: 1, Value: (-29.0,27.1875,-15.5625)},Gravity: {Time: 3564, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3609, Status: 0, Value: (-0.0157470703125,-0.00299072265625,-0.39276123046875, 0.91949462890625)}}
0:00:03.753783 {Acceleration: {Time: 3715, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3720, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 3666, Status: 1, Value: (-28.3125,28.4375,-15.5625)},Gravity: {Time: 3717, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3712, Status: 0, Value: (-0.01544189453125,-0.00311279296875,-0.39276123046875, 0.91949462890625)}}
0:00:03.864762 {Acceleration: {Time: 3831, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3779, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 3793, Status: 1, Value: (-29.375,28.125,-16.25)},Gravity: {Time: 3776, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3826, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3885498046875, 0.9212646484375)}}
0:00:03.944367 {Acceleration: {Time: 3911, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3882, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 3896, Status: 1, Value: (-27.9375,28.375,-15.625)},Gravity: {Time: 3880, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3907, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3885498046875, 0.9212646484375)}}
0:00:04.043872 {Acceleration: {Time: 4000, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4010, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 3945, Status: 1, Value: (-28.0625,27.625,-17.125)},Gravity: {Time: 4007, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4002, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38739013671875, 0.9217529296875)}}
0:00:04.146040 {Acceleration: {Time: 4110, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4082, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 4096, Status: 1, Value: (-27.6875,27.625,-16.8125)},Gravity: {Time: 4080, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4112, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.387451171875, 0.9217529296875)}}
0:00:04.257647 {Acceleration: {Time: 4216, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4224, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4163, Status: 1, Value: (-28.9375,28.6875,-17.0625)},Gravity: {Time: 4222, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4219, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.387451171875, 0.9217529296875)}}
0:00:04.368169 {Acceleration: {Time: 4327, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4335, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4274, Status: 1, Value: (-29.375,28.125,-16.25)},Gravity: {Time: 4332, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4330, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.387451171875, 0.9217529296875)}}
