0:00:02.380222: {Acceleration: {Time: 2291, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2265, Status: 3, Value: (-0.02734375,-0.02734375,0.0078125)},Magnetic: {Time: 2279, Status: 2, Value: (-1.9375,-24.875,-35.8125)},Gravity: {Time: 2262, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 2293, Status: 0, Value: (0.0301513671875,0.02728271484375,0.976806640625, 0.21026611328125)}}
0:00:02.488284: {Acceleration: {Time: 2398, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2377, Status: 3, Value: (-0.02734375,-0.02734375,0.0078125)},Magnetic: {Time: 2391, Status: 2, Value: (-3.375,-27.75,-36.3125)},Gravity: {Time: 2375, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 2372, Status: 0, Value: (0.0301513671875,0.02728271484375,0.976806640625, 0.21026611328125)}}
0:00:02.558674: {Acceleration: {Time: 2479, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2444, Status: 3, Value: (0.01171875,0.01171875,0.046875)},Magnetic: {Time: 2448, Status: 2, Value: (-2.3125,-25.0,-35.4375)},Gravity: {Time: 2430, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 2473, Status: 0, Value: (0.0301513671875,0.02728271484375,0.976806640625, 0.21026611328125)}}
0:00:02.660748: {Acceleration: {Time: 2561, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2570, Status: 3, Value: (0.01171875,-0.1015625,0.12109375)},Magnetic: {Time: 2533, Status: 2, Value: (-2.3125,-25.0,-35.75)},Gravity: {Time: 2567, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 2563, Status: 0, Value: (0.0301513671875,0.02728271484375,0.976806640625, 0.21026611328125)}}
0:00:02.779902: {Acceleration: {Time: 2687, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2691, Status: 3, Value: (0.01171875,-0.1015625,0.0390625)},Magnetic: {Time: 2602, Status: 2, Value: (-1.0625,-25.0625,-35.0625)},Gravity: {Time: 2689, Status: 3, Value: (0.4609375,0.640625,9.8515625)}, Rotation: {Time: 2682, Status: 0, Value: (0.03009033203125,0.02728271484375,0.976806640625, 0.21026611328125)}}
0:00:02.870613: {Acceleration: {Time: 2788, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 2758, Status: 3, Value: (-0.02734375,0.05078125,-0.0390625)},Magnetic: {Time: 2772, Status: 2, Value: (-2.3125,-24.9375,-36.125)},Gravity: {Time: 2756, Status: 3, Value: (0.4609375,0.640625,9.8515625)}, Rotation: {Time: 2783, Status: 0, Value: (0.0301513671875,0.02716064453125,0.976806640625, 0.21026611328125)}}
0:00:02.963348: {Acceleration: {Time: 2878, Status: 0, Value: (-0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 2887, Status: 3, Value: (0.01171875,0.01953125,0.0)},Magnetic: {Time: 2820, Status: 2, Value: (-2.875,-27.25,-35.3125)},Gravity: {Time: 2884, Status: 3, Value: (0.4609375,0.6328125,9.8515625)}, Rotation: {Time: 2880, Status: 0, Value: (0.0301513671875,0.02716064453125,0.976806640625, 0.21026611328125)}}
0:00:03.036049: {Acceleration: {Time: 2957, Status: 0, Value: (0.005859375,0.00390625,0.0)},Gyroscope: {Time: 2946, Status: 3, Value: (0.01171875,-0.01953125,0.0078125)},Magnetic: {Time: 2949, Status: 2, Value: (-2.5625,-27.125,-35.3125)},Gravity: {Time: 2943, Status: 3, Value: (0.4609375,0.6328125,9.84375)}, Rotation: {Time: 2952, Status: 0, Value: (0.03021240234375,0.02703857421875,0.976806640625, 0.21026611328125)}}
0:00:03.180080: {Acceleration: {Time: 3074, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3067, Status: 3, Value: (0.01171875,-0.02734375,0.0078125)},Magnetic: {Time: 3070, Status: 2, Value: (-2.125,-26.5,-36.375)},Gravity: {Time: 3064, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 3077, Status: 0, Value: (0.03021240234375,0.02703857421875,0.976806640625, 0.21026611328125)}}
0:00:03.263323: {Acceleration: {Time: 3174, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3137, Status: 3, Value: (-0.02734375,0.00390625,-0.03125)},Magnetic: {Time: 3111, Status: 2, Value: (-1.625,-24.8125,-35.125)},Gravity: {Time: 3134, Status: 3, Value: (0.4609375,0.6484375,9.84375)}, Rotation: {Time: 3177, Status: 0, Value: (0.03021240234375,0.02703857421875,0.976806640625, 0.21026611328125)}}
