0:00:02.290290: {Acceleration: {Time: 2236, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2171, Status: 3, Value: (-0.01953125,0.0390625,0.0390625)},Magnetic: {Time: 2174, Status: 2, Value: (-3.25,-25.875,-38.8125)},Gravity: {Time: 2238, Status: 3, Value: (0.421875,-0.0390625,9.859375)}, Rotation: {Time: 2231, Status: 0, Value: (-0.021240234375,0.00042724609375,-0.998291015625, 0.0546875)}}
0:00:02.414275: {Acceleration: {Time: 2360, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2334, Status: 3, Value: (-0.01953125,-0.07421875,-0.0078125)},Magnetic: {Time: 2348, Status: 2, Value: (-3.625,-26.0625,-37.875)},Gravity: {Time: 2331, Status: 3, Value: (0.4140625,-0.0390625,9.859375)}, Rotation: {Time: 2363, Status: 0, Value: (-0.021240234375,0.00042724609375,-0.998291015625, 0.0546875)}}
0:00:02.516078: {Acceleration: {Time: 2452, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2459, Status: 3, Value: (0.01953125,0.00390625,-0.046875)},Magnetic: {Time: 2461, Status: 2, Value: (-3.5,-26.75,-38.125)},Gravity: {Time: 2456, Status: 3, Value: (0.4140625,-0.0390625,9.859375)}, Rotation: {Time: 2464, Status: 0, Value: (-0.02117919921875,0.00042724609375,-0.998291015625, 0.0546875)}}
0:00:02.614625: {Acceleration: {Time: 2551, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2525, Status: 3, Value: (-0.01953125,-0.03515625,-0.0078125)},Magnetic: {Time: 2539, Status: 2, Value: (-3.5,-24.75,-38.25)},Gravity: {Time: 2521, Status: 3, Value: (0.4140625,-0.0390625,9.859375)}, Rotation: {Time: 2553, Status: 0, Value: (-0.02117919921875,0.00042724609375,-0.998291015625, 0.0546875)}}
0:00:02.698448: {Acceleration: {Time: 2637, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2611, Status: 3, Value: (0.01953125,0.00390625,0.03125)},Magnetic: {Time: 2625, Status: 2, Value: (-3.375,-26.375,-37.5)},Gravity: {Time: 2608, Status: 3, Value: (0.4140625,-0.0390625,9.859375)}, Rotation: {Time: 2639, Status: 0, Value: (-0.02117919921875,0.00042724609375,-0.998291015625, 0.0546875)}}
0:00:02.816507: {Acceleration: {Time: 2748, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 2753, Status: 3, Value: (-0.01953125,0.00390625,-0.015625)},Magnetic: {Time: 2663, Status: 2, Value: (-3.625,-26.125,-37.1875)},Gravity: {Time: 2751, Status: 3, Value: (0.4140625,-0.0390625,9.8671875)}, Rotation: {Time: 2743, Status: 0, Value: (-0.0211181640625,0.00048828125,-0.998291015625, 0.05462646484375)}}
0:00:02.887302: {Acceleration: {Time: 2825, Status: 0, Value: (0.0,0.001953125,0.001953125)},Gyroscope: {Time: 2811, Status: 3, Value: (0.01953125,0.00390625,-0.0078125)},Magnetic: {Time: 2814, Status: 2, Value: (-3.6875,-26.4375,-37.8125)},Gravity: {Time: 2797, Status: 3, Value: (0.4140625,-0.0390625,9.859375)}, Rotation: {Time: 2821, Status: 0, Value: (-0.02117919921875,0.00054931640625,-0.998291015625, 0.0546875)}}
0:00:03.009313: {Acceleration: {Time: 2952, Status: 0, Value: (0.001953125,0.00390625,0.0)},Gyroscope: {Time: 2926, Status: 3, Value: (0.01953125,0.00390625,-0.0078125)},Magnetic: {Time: 2940, Status: 2, Value: (-2.6875,-23.6875,-38.625)},Gravity: {Time: 2923, Status: 3, Value: (0.4140625,-0.0390625,9.859375)}, Rotation: {Time: 2956, Status: 0, Value: (-0.02117919921875,0.00054931640625,-0.998291015625, 0.0546875)}}
0:00:03.114853: {Acceleration: {Time: 3047, Status: 0, Value: (-0.00390625,-0.00390625,-0.001953125)},Gyroscope: {Time: 3057, Status: 3, Value: (0.01953125,0.00390625,0.0234375)},Magnetic: {Time: 3019, Status: 2, Value: (-3.875,-24.8125,-39.1875)},Gravity: {Time: 3054, Status: 3, Value: (0.4140625,-0.0390625,9.8671875)}, Rotation: {Time: 3049, Status: 0, Value: (-0.02117919921875,0.00054931640625,-0.998291015625, 0.0548095703125)}}
0:00:03.191737: {Acceleration: {Time: 3117, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 3126, Status: 3, Value: (-0.01953125,0.00390625,0.0234375)},Magnetic: {Time: 3087, Status: 2, Value: (-3.75,-25.6875,-38.1875)},Gravity: {Time: 3123, Status: 3, Value: (0.4140625,-0.0390625,9.8671875)}, Rotation: {Time: 3120, Status: 0, Value: (-0.02117919921875,0.00054931640625,-0.998291015625, 0.0548095703125)}}
