0:00:02.383097: {Acceleration: {Time: 2359, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2317, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 2320, Status: 1, Value: (-29.0625,27.5625,-15.125)},Gravity: {Time: 2363, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2355, Status: 0, Value: (-0.01519775390625,-0.0029296875,-0.382080078125, 0.92401123046875)}}
0:00:02.484620: {Acceleration: {Time: 2455, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2464, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 2426, Status: 1, Value: (-28.6875,28.75,-15.875)},Gravity: {Time: 2462, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2457, Status: 0, Value: (-0.01519775390625,-0.0029296875,-0.382080078125, 0.92401123046875)}}
0:00:02.583680: {Acceleration: {Time: 2555, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2563, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 2498, Status: 1, Value: (-26.4375,27.25,-16.9375)},Gravity: {Time: 2561, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2558, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38848876953125, 0.92132568359375)}}
0:00:02.685894: {Acceleration: {Time: 2663, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2656, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 2658, Status: 1, Value: (-29.6875,28.875,-14.5625)},Gravity: {Time: 2652, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2666, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38848876953125, 0.92132568359375)}}
0:00:02.773255: {Acceleration: {Time: 2744, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2753, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 2713, Status: 1, Value: (-27.9375,28.4375,-15.1875)},Gravity: {Time: 2750, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2746, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38848876953125, 0.92132568359375)}}
0:00:02.883156: {Acceleration: {Time: 2860, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2835, Status: 3, Value: (0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 2849, Status: 1, Value: (-29.4375,27.8125,-15.8125)},Gravity: {Time: 2832, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2863, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38848876953125, 0.92132568359375)}}
0:00:02.970352: {Acceleration: {Time: 2948, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2919, Status: 3, Value: (0.02734375,0.01953125,-0.03515625)},Magnetic: {Time: 2921, Status: 1, Value: (-27.0,28.3125,-16.0)},Gravity: {Time: 2916, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2950, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38848876953125, 0.92132568359375)}}
0:00:03.080929: {Acceleration: {Time: 3059, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3019, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 3023, Status: 1, Value: (-28.1875,27.4375,-16.0)},Gravity: {Time: 3005, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3061, Status: 0, Value: (-0.01519775390625,-0.0029296875,-0.3792724609375, 0.9251708984375)}}
0:00:03.195297: {Acceleration: {Time: 3173, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3145, Status: 3, Value: (-0.01171875,-0.01171875,-0.02734375)},Magnetic: {Time: 3159, Status: 1, Value: (-27.4375,28.0,-15.625)},Gravity: {Time: 3176, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 3168, Status: 0, Value: (-0.015625,-0.0028076171875,-0.3792724609375, 0.9251708984375)}}
0:00:03.287728: {Acceleration: {Time: 3266, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3233, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 3207, Status: 1, Value: (-29.4375,28.75,-16.5)},Gravity: {Time: 3230, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3259, Status: 0, Value: (-0.01519775390625,-0.0029296875,-0.3792724609375, 0.9251708984375)}}
0:00:03.386047: {Acceleration: {Time: 3364, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3327, Status: 3, Value: (-0.01171875,-0.01953125,0.05078125)},Magnetic: {Time: 3301, Status: 1, Value: (-27.4375,26.75,-14.9375)},Gravity: {Time: 3366, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3359, Status: 0, Value: (-0.01519775390625,-0.0029296875,-0.3792724609375, 0.9251708984375)}}
0:00:03.482452: {Acceleration: {Time: 3454, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3463, Status: 3, Value: (0.02734375,-0.01953125,-0.03515625)},Magnetic: {Time: 3401, Status: 1, Value: (-27.9375,27.75,-15.1875)},Gravity: {Time: 3460, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3456, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39093017578125, 0.9202880859375)}}
0:00:03.582719: {Acceleration: {Time: 3554, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3563, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 3523, Status: 1, Value: (-28.0625,29.375,-15.125)},Gravity: {Time: 3560, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3557, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.3907470703125, 0.92034912109375)}}
0:00:03.698276: {Acceleration: {Time: 3677, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3650, Status: 3, Value: (0.02734375,0.01953125,-0.03515625)},Magnetic: {Time: 3664, Status: 1, Value: (-28.3125,28.4375,-15.5)},Gravity: {Time: 3647, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3679, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.3907470703125, 0.92034912109375)}}
0:00:03.784454: {Acceleration: {Time: 3758, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3749, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 3752, Status: 1, Value: (-26.8125,26.9375,-16.875)},Gravity: {Time: 3765, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3760, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.3907470703125, 0.92034912109375)}}
0:00:03.883689: {Acceleration: {Time: 3861, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3851, Status: 3, Value: (-0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 3855, Status: 1, Value: (-26.875,27.3125,-16.5)},Gravity: {Time: 3837, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 3865, Status: 0, Value: (-0.015625,-0.00262451171875,-0.3907470703125, 0.92034912109375)}}
0:00:03.990653: {Acceleration: {Time: 3969, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3963, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 3966, Status: 1, Value: (-28.25,27.4375,-15.5625)},Gravity: {Time: 3959, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3972, Status: 0, Value: (-0.01519775390625,-0.00299072265625,-0.3758544921875, 0.92657470703125)}}
0:00:04.077854: {Acceleration: {Time: 4057, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4030, Status: 3, Value: (-0.01171875,0.01953125,-0.03515625)},Magnetic: {Time: 4044, Status: 1, Value: (-28.375,27.8125,-14.8125)},Gravity: {Time: 4027, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4059, Status: 0, Value: (-0.01519775390625,-0.00299072265625,-0.37591552734375, 0.926513671875)}}
0:00:04.193334: {Acceleration: {Time: 4171, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4144, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 4158, Status: 1, Value: (-27.0625,27.375,-15.375)},Gravity: {Time: 4141, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4175, Status: 0, Value: (-0.01519775390625,-0.00299072265625,-0.37591552734375, 0.926513671875)}}
0:00:04.276645: {Acceleration: {Time: 4250, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4258, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 4200, Status: 1, Value: (-28.125,28.0,-17.125)},Gravity: {Time: 4256, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4252, Status: 0, Value: (-0.01519775390625,-0.00299072265625,-0.37591552734375, 0.926513671875)}}
0:00:04.401008: {Acceleration: {Time: 4382, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4369, Status: 3, Value: (0.02734375,-0.01171875,0.00390625)},Magnetic: {Time: 4372, Status: 1, Value: (-26.9375,27.625,-16.125)},Gravity: {Time: 4355, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 4379, Status: 0, Value: (-0.015625,-0.00274658203125,-0.3836669921875, 0.92333984375)}}
0:00:04.478461: {Acceleration: {Time: 4460, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4428, Status: 3, Value: (-0.01171875,0.02734375,-0.03515625)},Magnetic: {Time: 4430, Status: 1, Value: (-29.1875,28.5,-15.0625)},Gravity: {Time: 4425, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 4457, Status: 0, Value: (-0.015625,-0.00274658203125,-0.3836669921875, 0.92333984375)}}
0:00:04.595114: {Acceleration: {Time: 4569, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4560, Status: 3, Value: (0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 4564, Status: 1, Value: (-28.3125,28.75,-15.9375)},Gravity: {Time: 4577, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 4571, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.3836669921875, 0.92333984375)}}
0:00:04.687638: {Acceleration: {Time: 4669, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4631, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4634, Status: 1, Value: (-28.125,28.0,-17.0625)},Gravity: {Time: 4617, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4666, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3836669921875, 0.92333984375)}}
0:00:04.783033: {Acceleration: {Time: 4761, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4726, Status: 3, Value: (0.01953125,-0.01953125,0.04296875)},Magnetic: {Time: 4702, Status: 1, Value: (-29.0,27.5,-15.9375)},Gravity: {Time: 4723, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4765, Status: 0, Value: (-0.01531982421875,-0.00335693359375,-0.3759765625, 0.926513671875)}}
0:00:04.900601: {Acceleration: {Time: 4880, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4852, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 4867, Status: 1, Value: (-28.25,28.6875,-16.3125)},Gravity: {Time: 4850, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4882, Status: 0, Value: (-0.01531982421875,-0.00335693359375,-0.3759765625, 0.926513671875)}}
0:00:05.010164: {Acceleration: {Time: 4990, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4963, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 4977, Status: 1, Value: (-28.3125,28.0625,-15.5625)},Gravity: {Time: 4961, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4992, Status: 0, Value: (-0.01519775390625,-0.00299072265625,-0.3759765625, 0.926513671875)}}
0:00:05.088825: {Acceleration: {Time: 5068, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5012, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 5014, Status: 1, Value: (-28.375,27.0625,-17.125)},Gravity: {Time: 5009, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 5062, Status: 0, Value: (-0.01519775390625,-0.00299072265625,-0.3759765625, 0.926513671875)}}
