0:00:05.015854 {Acceleration: {Time: 4985, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4994, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 4935, Status: 1, Value: (-28.25,28.0625,-15.9375)},Gravity: {Time: 4991, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4988, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.3824462890625, 0.923828125)}}
0:00:05.104269 {Acceleration: {Time: 5082, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5045, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 5047, Status: 1, Value: (-29.625,29.1875,-15.0625)},Gravity: {Time: 5041, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5078, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.3824462890625, 0.923828125)}}
0:00:05.201470 {Acceleration: {Time: 5176, Status: 0, Value: (-0.005859375,0.0,0.001953125)},Gyroscope: {Time: 5140, Status: 3, Value: (-0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 5116, Status: 1, Value: (-28.25,29.3125,-16.6875)},Gravity: {Time: 5137, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5179, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38238525390625, 0.92388916015625)}}
0:00:05.314123 {Acceleration: {Time: 5290, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 5280, Status: 3, Value: (0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 5283, Status: 1, Value: (-28.0,30.3125,-16.25)},Gravity: {Time: 5265, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 5292, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38238525390625, 0.92388916015625)}}
0:00:05.401289 {Acceleration: {Time: 5380, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 5365, Status: 3, Value: (0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 5369, Status: 1, Value: (-28.5,29.75,-15.0625)},Gravity: {Time: 5351, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5375, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38238525390625, 0.92388916015625)}}
0:00:05.521561 {Acceleration: {Time: 5500, Status: 0, Value: (-0.00390625,-0.001953125,0.0)},Gyroscope: {Time: 5460, Status: 3, Value: (0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 5464, Status: 1, Value: (-28.625,28.125,-15.5625)},Gravity: {Time: 5457, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5494, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.387939453125, 0.92156982421875)}}
0:00:05.614375 {Acceleration: {Time: 5590, Status: 0, Value: (-0.00390625,-0.001953125,-0.001953125)},Gyroscope: {Time: 5570, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 5584, Status: 1, Value: (-30.375,27.625,-15.0)},Gravity: {Time: 5567, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5563, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38800048828125, 0.9215087890625)}}
0:00:05.700616 {Acceleration: {Time: 5670, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 5679, Status: 3, Value: (0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 5640, Status: 1, Value: (-29.0625,28.8125,-15.8125)},Gravity: {Time: 5676, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 5672, Status: 0, Value: (-0.015869140625,-0.0030517578125,-0.38800048828125, 0.9215087890625)}}
0:00:05.827952 {Acceleration: {Time: 5807, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 5750, Status: 3, Value: (0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 5764, Status: 1, Value: (-28.9375,27.75,-16.25)},Gravity: {Time: 5747, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 5803, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38800048828125, 0.9215087890625)}}
0:00:05.913312 {Acceleration: {Time: 5889, Status: 0, Value: (0.001953125,-0.005859375,0.001953125)},Gyroscope: {Time: 5882, Status: 3, Value: (-0.1328125,0.02734375,-0.02734375)},Magnetic: {Time: 5884, Status: 1, Value: (-28.3125,28.75,-15.9375)},Gravity: {Time: 5879, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 5892, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.3883056640625, 0.92138671875)}}
