0:00:02.415547: {Acceleration: {Time: 2397, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2338, Status: 3, Value: (-0.01171875,0.02734375,0.00390625)},Magnetic: {Time: 2352, Status: 1, Value: (-31.5,28.9375,-15.8125)},Gravity: {Time: 2334, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 2393, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:02.515584: {Acceleration: {Time: 2494, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2452, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 2455, Status: 1, Value: (-30.4375,29.25,-15.125)},Gravity: {Time: 2497, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 2490, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:02.612799: {Acceleration: {Time: 2587, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2595, Status: 3, Value: (-0.01171875,-0.01171875,0.01171875)},Magnetic: {Time: 2556, Status: 1, Value: (-31.4375,29.25,-16.5625)},Gravity: {Time: 2593, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 2589, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:02.701069: {Acceleration: {Time: 2675, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2683, Status: 3, Value: (0.02734375,-0.01171875,-0.02734375)},Magnetic: {Time: 2611, Status: 1, Value: (-30.9375,28.875,-17.0)},Gravity: {Time: 2681, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 2679, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:02.797138: {Acceleration: {Time: 2779, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2741, Status: 3, Value: (-0.01171875,-0.01171875,-0.02734375)},Magnetic: {Time: 2743, Status: 1, Value: (-32.125,30.0,-14.875)},Gravity: {Time: 2738, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 2774, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:02.919828: {Acceleration: {Time: 2891, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2897, Status: 3, Value: (-0.01171875,-0.01171875,0.01171875)},Magnetic: {Time: 2900, Status: 1, Value: (-31.5,28.9375,-15.8125)},Gravity: {Time: 2894, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 2902, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:03.000355: {Acceleration: {Time: 2980, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2960, Status: 3, Value: (-0.01171875,-0.01171875,0.01171875)},Magnetic: {Time: 2974, Status: 1, Value: (-29.4375,29.75,-16.75)},Gravity: {Time: 2958, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 2955, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:03.114885: {Acceleration: {Time: 3095, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3055, Status: 3, Value: (-0.01171875,0.02734375,0.01171875)},Magnetic: {Time: 3058, Status: 1, Value: (-31.5625,30.25,-16.4375)},Gravity: {Time: 3041, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 3098, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:03.227440: {Acceleration: {Time: 3208, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3183, Status: 3, Value: (-0.01171875,-0.01171875,-0.03515625)},Magnetic: {Time: 3197, Status: 1, Value: (-31.125,28.9375,-15.8125)},Gravity: {Time: 3180, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 3210, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:03.311694: {Acceleration: {Time: 3292, Status: 0, Value: (0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 3230, Status: 3, Value: (0.02734375,0.10546875,0.04296875)},Magnetic: {Time: 3233, Status: 1, Value: (-32.1875,30.375,-14.875)},Gravity: {Time: 3226, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 3295, Status: 0, Value: (-0.01556396484375,-0.00250244140625,-0.39691162109375, 0.917724609375)}}
