0:00:03.333478 {Acceleration: {Time: 3305, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3255, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 3269, Status: 1, Value: (-30.125,28.4375,-17.0625)},Gravity: {Time: 3252, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3301, Status: 0, Value: (-0.01556396484375,-0.00286865234375,-0.39617919921875, 0.91802978515625)}}
0:00:03.435457 {Acceleration: {Time: 3404, Status: 0, Value: (0.009765625,0.0,0.001953125)},Gyroscope: {Time: 3366, Status: 3, Value: (-0.05859375,-0.01953125,-0.03515625)},Magnetic: {Time: 3369, Status: 1, Value: (-29.1875,28.0,-17.9375)},Gravity: {Time: 3407, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3398, Status: 0, Value: (-0.01556396484375,-0.00286865234375,-0.39617919921875, 0.91802978515625)}}
0:00:03.533409 {Acceleration: {Time: 3497, Status: 0, Value: (0.005859375,0.0,0.0)},Gyroscope: {Time: 3505, Status: 3, Value: (0.02734375,0.05859375,-0.02734375)},Magnetic: {Time: 3439, Status: 1, Value: (-30.5625,28.875,-16.625)},Gravity: {Time: 3502, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3500, Status: 0, Value: (-0.015625,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:03.631616 {Acceleration: {Time: 3601, Status: 0, Value: (-0.00390625,-0.001953125,0.001953125)},Gyroscope: {Time: 3575, Status: 3, Value: (-0.00390625,-0.0546875,0.01953125)},Magnetic: {Time: 3589, Status: 1, Value: (-29.5625,27.0625,-17.5625)},Gravity: {Time: 3572, Status: 3, Value: (0.15625,-0.25,9.6328125)}, Rotation: {Time: 3603, Status: 0, Value: (-0.015625,-0.00274658203125,-0.39617919921875, 0.91802978515625)}}
0:00:03.745448 {Acceleration: {Time: 3715, Status: 0, Value: (0.005859375,-0.001953125,0.0)},Gyroscope: {Time: 3690, Status: 3, Value: (-0.01171875,-0.01953125,0.02734375)},Magnetic: {Time: 3704, Status: 1, Value: (-29.25,28.6875,-17.5)},Gravity: {Time: 3687, Status: 3, Value: (0.1640625,-0.25,9.625)}, Rotation: {Time: 3717, Status: 0, Value: (-0.01568603515625,-0.00274658203125,-0.39617919921875, 0.91802978515625)}}
0:00:03.858705 {Acceleration: {Time: 3828, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 3789, Status: 3, Value: (-0.01171875,-0.01953125,0.06640625)},Magnetic: {Time: 3792, Status: 1, Value: (-29.5,28.5,-15.625)},Gravity: {Time: 3831, Status: 3, Value: (0.1640625,-0.25,9.6328125)}, Rotation: {Time: 3824, Status: 0, Value: (-0.01568603515625,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:03.950280 {Acceleration: {Time: 3922, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 3890, Status: 3, Value: (0.02734375,-0.02734375,0.01953125)},Magnetic: {Time: 3893, Status: 1, Value: (-30.1875,28.125,-16.6875)},Gravity: {Time: 3888, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 3919, Status: 0, Value: (-0.015625,-0.00274658203125,-0.3961181640625, 0.91802978515625)}}
0:00:04.037469 {Acceleration: {Time: 4010, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3969, Status: 3, Value: (0.01953125,-0.01953125,-0.01953125)},Magnetic: {Time: 3972, Status: 1, Value: (-29.4375,29.125,-16.375)},Gravity: {Time: 3955, Status: 3, Value: (0.171875,-0.25,9.6328125)}, Rotation: {Time: 4006, Status: 0, Value: (-0.015625,-0.00274658203125,-0.3961181640625, 0.9180908203125)}}
0:00:04.133046 {Acceleration: {Time: 4096, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4105, Status: 3, Value: (-0.01953125,0.01953125,-0.01953125)},Magnetic: {Time: 4043, Status: 1, Value: (-30.0625,28.75,-17.8125)},Gravity: {Time: 4102, Status: 3, Value: (0.171875,-0.25,9.6328125)}, Rotation: {Time: 4099, Status: 0, Value: (-0.01556396484375,-0.0028076171875,-0.39605712890625, 0.9180908203125)}}
0:00:04.230218 {Acceleration: {Time: 4203, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4189, Status: 3, Value: (0.01953125,-0.01953125,-0.01953125)},Magnetic: {Time: 4193, Status: 1, Value: (-30.1875,29.125,-17.0625)},Gravity: {Time: 4175, Status: 3, Value: (0.171875,-0.25,9.6328125)}, Rotation: {Time: 4199, Status: 0, Value: (-0.01556396484375,-0.0028076171875,-0.39605712890625, 0.9180908203125)}}
