0:00:02.298257 {Acceleration: {Time: 2238, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2247, Status: 3, Value: (-0.0390625,-0.01171875,-0.0078125)},Magnetic: {Time: 2185, Status: 2, Value: (0.375,-23.1875,-36.375)},Gravity: {Time: 2245, Status: 3, Value: (0.203125,0.5859375,9.859375)}, Rotation: {Time: 2242, Status: 0, Value: (-0.01031494140625,-0.0302734375,-0.99951171875, 0.00286865234375)}}
0:00:02.381502 {Acceleration: {Time: 2321, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2328, Status: 3, Value: (0.0,-0.01171875,-0.0078125)},Magnetic: {Time: 2264, Status: 2, Value: (0.75,-23.8125,-36.625)},Gravity: {Time: 2325, Status: 3, Value: (0.203125,0.5859375,9.859375)}, Rotation: {Time: 2323, Status: 0, Value: (-0.01031494140625,-0.03021240234375,-0.99951171875, 0.00286865234375)}}
0:00:02.475471 {Acceleration: {Time: 2419, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2413, Status: 3, Value: (-0.0390625,0.01953125,-0.046875)},Magnetic: {Time: 2415, Status: 2, Value: (0.25,-23.75,-35.375)},Gravity: {Time: 2410, Status: 3, Value: (0.203125,0.59375,9.859375)}, Rotation: {Time: 2422, Status: 0, Value: (-0.01031494140625,-0.03021240234375,-0.99951171875, 0.00286865234375)}}
0:00:02.582276 {Acceleration: {Time: 2533, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2528, Status: 3, Value: (-0.0390625,-0.01953125,-0.0078125)},Magnetic: {Time: 2530, Status: 2, Value: (0.125,-22.875,-36.6875)},Gravity: {Time: 2524, Status: 3, Value: (0.203125,0.59375,9.859375)}, Rotation: {Time: 2536, Status: 0, Value: (-0.01031494140625,-0.03021240234375,-0.99951171875, 0.00286865234375)}}
0:00:02.681496 {Acceleration: {Time: 2623, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2615, Status: 3, Value: (0.0390625,-0.01953125,0.03125)},Magnetic: {Time: 2617, Status: 2, Value: (-0.125,-23.75,-36.3125)},Gravity: {Time: 2612, Status: 3, Value: (0.203125,0.59375,9.859375)}, Rotation: {Time: 2625, Status: 0, Value: (-0.01031494140625,-0.03021240234375,-0.99951171875, 0.00286865234375)}}
0:00:02.781620 {Acceleration: {Time: 2722, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2684, Status: 3, Value: (0.0078125,0.01171875,0.0)},Magnetic: {Time: 2686, Status: 2, Value: (0.4375,-22.8125,-36.375)},Gravity: {Time: 2681, Status: 3, Value: (0.1953125,0.6015625,9.8515625)}, Rotation: {Time: 2717, Status: 0, Value: (-0.01031494140625,-0.03021240234375,-0.99951171875, 0.00286865234375)}}
0:00:02.847066 {Acceleration: {Time: 2795, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2783, Status: 3, Value: (0.0078125,0.01171875,-0.0390625)},Magnetic: {Time: 2786, Status: 2, Value: (0.125,-24.0625,-36.625)},Gravity: {Time: 2780, Status: 3, Value: (0.1953125,0.6015625,9.8515625)}, Rotation: {Time: 2789, Status: 0, Value: (-0.01025390625,-0.03021240234375,-0.99951171875, 0.00286865234375)}}
0:00:02.937639 {Acceleration: {Time: 2883, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2892, Status: 3, Value: (0.0078125,0.01171875,0.0390625)},Magnetic: {Time: 2828, Status: 2, Value: (-0.125,-23.75,-36.3125)},Gravity: {Time: 2889, Status: 3, Value: (0.1953125,0.6015625,9.8515625)}, Rotation: {Time: 2885, Status: 0, Value: (-0.01025390625,-0.03021240234375,-0.99951171875, 0.00286865234375)}}
0:00:03.048881 {Acceleration: {Time: 2983, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2975, Status: 3, Value: (0.0078125,0.01171875,-0.0390625)},Magnetic: {Time: 2978, Status: 2, Value: (1.0,-24.1875,-36.25)},Gravity: {Time: 2971, Status: 3, Value: (0.1953125,0.6015625,9.8515625)}, Rotation: {Time: 2986, Status: 0, Value: (-0.01025390625,-0.0302734375,-0.99951171875, 0.00286865234375)}}
0:00:03.129841 {Acceleration: {Time: 3069, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3030, Status: 3, Value: (0.0,-0.02734375,0.0)},Magnetic: {Time: 3034, Status: 2, Value: (-0.625,-24.25,-37.0)},Gravity: {Time: 3016, Status: 3, Value: (0.203125,0.6015625,9.8515625)}, Rotation: {Time: 3072, Status: 0, Value: (-0.01025390625,-0.0302734375,-0.99951171875, 0.00286865234375)}}
0:00:03.231839 {Acceleration: {Time: 3180, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 3173, Status: 3, Value: (0.0,0.01171875,-0.0390625)},Magnetic: {Time: 3176, Status: 2, Value: (-0.375,-24.625,-36.625)},Gravity: {Time: 3170, Status: 3, Value: (0.203125,0.6015625,9.8515625)}, Rotation: {Time: 3182, Status: 0, Value: (-0.01019287109375,-0.0302734375,-0.99951171875, 0.00286865234375)}}
0:00:03.315077 {Acceleration: {Time: 3263, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 3242, Status: 3, Value: (0.0,-0.02734375,0.0)},Magnetic: {Time: 3256, Status: 2, Value: (0.0,-22.0625,-37.0625)},Gravity: {Time: 3239, Status: 3, Value: (0.203125,0.6015625,9.8515625)}, Rotation: {Time: 3237, Status: 0, Value: (-0.01025390625,-0.03021240234375,-0.99951171875, 0.0028076171875)}}
0:00:03.413406 {Acceleration: {Time: 3359, Status: 0, Value: (-0.001953125,-0.00390625,0.001953125)},Gyroscope: {Time: 3322, Status: 3, Value: (-0.0390625,-0.02734375,0.0)},Magnetic: {Time: 3298, Status: 2, Value: (0.875,-23.4375,-36.0)},Gravity: {Time: 3319, Status: 3, Value: (0.203125,0.6015625,9.8515625)}, Rotation: {Time: 3363, Status: 0, Value: (-0.01019287109375,-0.03021240234375,-0.99951171875, 0.00274658203125)}}
0:00:03.514934 {Acceleration: {Time: 3453, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 3462, Status: 3, Value: (0.0,0.01953125,0.0)},Magnetic: {Time: 3397, Status: 2, Value: (-0.25,-23.0,-37.0)},Gravity: {Time: 3459, Status: 3, Value: (0.203125,0.59375,9.8515625)}, Rotation: {Time: 3456, Status: 0, Value: (-0.01019287109375,-0.03021240234375,-0.99951171875, 0.00274658203125)}}
0:00:03.637960 {Acceleration: {Time: 3588, Status: 0, Value: (0.001953125,-0.00390625,0.001953125)},Gyroscope: {Time: 3561, Status: 3, Value: (0.0,0.01171875,0.0)},Magnetic: {Time: 3575, Status: 2, Value: (1.0,-22.9375,-36.375)},Gravity: {Time: 3558, Status: 3, Value: (0.203125,0.6015625,9.8515625)}, Rotation: {Time: 3590, Status: 0, Value: (-0.01019287109375,-0.0302734375,-0.99951171875, 0.00274658203125)}}
0:00:03.694208 {Acceleration: {Time: 3648, Status: 0, Value: (0.00390625,0.00390625,0.001953125)},Gyroscope: {Time: 3610, Status: 3, Value: (0.0,0.01171875,-0.0390625)},Magnetic: {Time: 3614, Status: 2, Value: (-0.375,-23.4375,-36.375)},Gravity: {Time: 3607, Status: 3, Value: (0.203125,0.6015625,9.8515625)}, Rotation: {Time: 3644, Status: 0, Value: (-0.01019287109375,-0.0302734375,-0.99951171875, 0.002685546875)}}
0:00:03.785326 {Acceleration: {Time: 3734, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 3743, Status: 3, Value: (0.0390625,-0.01171875,0.0)},Magnetic: {Time: 3681, Status: 2, Value: (-1.3125,-24.5625,-36.3125)},Gravity: {Time: 3740, Status: 3, Value: (0.203125,0.5859375,9.8515625)}, Rotation: {Time: 3736, Status: 0, Value: (-0.01019287109375,-0.0302734375,-0.99951171875, 0.00274658203125)}}
0:00:03.892183 {Acceleration: {Time: 3833, Status: 0, Value: (-0.005859375,0.0,-0.001953125)},Gyroscope: {Time: 3825, Status: 3, Value: (-0.0390625,0.02734375,-0.0390625)},Magnetic: {Time: 3828, Status: 2, Value: (-0.25,-24.25,-36.3125)},Gravity: {Time: 3822, Status: 3, Value: (0.203125,0.5859375,9.8515625)}, Rotation: {Time: 3835, Status: 0, Value: (-0.0101318359375,-0.03021240234375,-0.99951171875, 0.00274658203125)}}
0:00:03.972612 {Acceleration: {Time: 3915, Status: 0, Value: (0.00390625,0.001953125,-0.001953125)},Gyroscope: {Time: 3924, Status: 3, Value: (0.0,-0.01171875,0.0390625)},Magnetic: {Time: 3859, Status: 2, Value: (0.0,-23.375,-35.375)},Gravity: {Time: 3920, Status: 3, Value: (0.203125,0.5859375,9.8515625)}, Rotation: {Time: 3917, Status: 0, Value: (-0.01019287109375,-0.0301513671875,-0.99951171875, 0.002685546875)}}
0:00:04.114542 {Acceleration: {Time: 4048, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 4037, Status: 3, Value: (0.0,-0.01953125,0.0)},Magnetic: {Time: 4040, Status: 2, Value: (0.875,-23.4375,-36.3125)},Gravity: {Time: 4023, Status: 3, Value: (0.203125,0.59375,9.8515625)}, Rotation: {Time: 4051, Status: 0, Value: (-0.01019287109375,-0.0301513671875,-0.99951171875, 0.00274658203125)}}
0:00:04.165575 {Acceleration: {Time: 4126, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 4110, Status: 3, Value: (0.0,-0.01953125,0.0)},Magnetic: {Time: 4113, Status: 2, Value: (0.25,-23.625,-36.6875)},Gravity: {Time: 4096, Status: 3, Value: (0.203125,0.59375,9.8515625)}, Rotation: {Time: 4120, Status: 0, Value: (-0.01025390625,-0.0301513671875,-0.99951171875, 0.002685546875)}}
0:00:04.281593 {Acceleration: {Time: 4214, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4223, Status: 3, Value: (-0.0390625,0.01953125,0.0)},Magnetic: {Time: 4160, Status: 2, Value: (-0.9375,-24.5,-35.9375)},Gravity: {Time: 4220, Status: 3, Value: (0.203125,0.59375,9.8515625)}, Rotation: {Time: 4217, Status: 0, Value: (-0.01025390625,-0.03009033203125,-0.99951171875, 0.002685546875)}}
0:00:04.365001 {Acceleration: {Time: 4317, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4307, Status: 3, Value: (0.0,0.05859375,0.0)},Magnetic: {Time: 4310, Status: 2, Value: (0.25,-23.625,-36.3125)},Gravity: {Time: 4293, Status: 3, Value: (0.203125,0.59375,9.8515625)}, Rotation: {Time: 4319, Status: 0, Value: (-0.01025390625,-0.03009033203125,-0.99951171875, 0.002685546875)}}
0:00:04.462777 {Acceleration: {Time: 4405, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4398, Status: 3, Value: (0.0,0.01953125,0.0390625)},Magnetic: {Time: 4400, Status: 2, Value: (-0.125,-23.625,-38.0)},Gravity: {Time: 4395, Status: 3, Value: (0.203125,0.59375,9.8515625)}, Rotation: {Time: 4407, Status: 0, Value: (-0.01025390625,-0.03009033203125,-0.99951171875, 0.002685546875)}}
0:00:04.581720 {Acceleration: {Time: 4530, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4504, Status: 3, Value: (0.0,-0.0546875,0.0)},Magnetic: {Time: 4518, Status: 2, Value: (-0.5,-23.875,-36.3125)},Gravity: {Time: 4500, Status: 3, Value: (0.203125,0.59375,9.8515625)}, Rotation: {Time: 4532, Status: 0, Value: (-0.01025390625,-0.03009033203125,-0.99951171875, 0.002685546875)}}
0:00:04.698278 {Acceleration: {Time: 4645, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4617, Status: 3, Value: (0.0,0.01953125,-0.0390625)},Magnetic: {Time: 4631, Status: 2, Value: (0.25,-23.5625,-37.3125)},Gravity: {Time: 4614, Status: 3, Value: (0.203125,0.59375,9.8515625)}, Rotation: {Time: 4647, Status: 0, Value: (-0.01025390625,-0.03009033203125,-0.99951171875, 0.002685546875)}}
