0:00:03.616288: {Acceleration: {Time: 3593, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3562, Status: 3, Value: (-0.04296875,0.00390625,-0.02734375)},Magnetic: {Time: 3565, Status: 1, Value: (-25.5,-21.0,-6.8125)},Gravity: {Time: 3601, Status: 3, Value: (0.1484375,-0.1875,9.640625)}, Rotation: {Time: 3596, Status: 0, Value: (-0.01019287109375,-0.0072021484375,0.0032958984375, 0.99993896484375)}}
0:00:03.715505: {Acceleration: {Time: 3691, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3700, Status: 3, Value: (-0.03515625,-0.00390625,-0.02734375)},Magnetic: {Time: 3660, Status: 1, Value: (-25.875,-20.3125,-7.0625)},Gravity: {Time: 3697, Status: 3, Value: (0.1484375,-0.1875,9.640625)}, Rotation: {Time: 3694, Status: 0, Value: (-0.01019287109375,-0.0072021484375,0.0032958984375, 0.99993896484375)}}
0:00:03.813906: {Acceleration: {Time: 3796, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3770, Status: 3, Value: (-0.03515625,-0.00390625,0.01953125)},Magnetic: {Time: 3784, Status: 1, Value: (-25.3125,-20.4375,-8.6875)},Gravity: {Time: 3767, Status: 3, Value: (0.1484375,-0.1875,9.6328125)}, Rotation: {Time: 3799, Status: 0, Value: (-0.0101318359375,-0.0072021484375,0.0032958984375, 0.99993896484375)}}
0:00:03.926514: {Acceleration: {Time: 3909, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3903, Status: 3, Value: (-0.03515625,0.00390625,0.01171875)},Magnetic: {Time: 3906, Status: 1, Value: (-25.625,-22.0625,-8.0)},Gravity: {Time: 3899, Status: 3, Value: (0.1484375,-0.1953125,9.640625)}, Rotation: {Time: 3912, Status: 0, Value: (-0.0101318359375,-0.0072021484375,0.0032958984375, 0.99993896484375)}}
0:00:04.008273: {Acceleration: {Time: 3991, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3971, Status: 3, Value: (0.01171875,0.04296875,-0.02734375)},Magnetic: {Time: 3985, Status: 1, Value: (-27.3125,-20.5,-5.375)},Gravity: {Time: 3967, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 3965, Status: 0, Value: (-0.0101318359375,-0.0072021484375,0.0032958984375, 0.99993896484375)}}
0:00:04.124921: {Acceleration: {Time: 4107, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4096, Status: 3, Value: (0.01171875,0.04296875,-0.02734375)},Magnetic: {Time: 4099, Status: 1, Value: (-25.4375,-20.75,-7.5)},Gravity: {Time: 4082, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 4110, Status: 0, Value: (-0.0101318359375,-0.0072021484375,0.0032958984375, 0.99993896484375)}}
0:00:04.232884: {Acceleration: {Time: 4218, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4183, Status: 3, Value: (-0.02734375,-0.00390625,0.01953125)},Magnetic: {Time: 4185, Status: 1, Value: (-26.5625,-21.9375,-6.75)},Gravity: {Time: 4179, Status: 3, Value: (0.140625,-0.1875,9.6328125)}, Rotation: {Time: 4215, Status: 0, Value: (-0.0101318359375,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:04.318173: {Acceleration: {Time: 4304, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4269, Status: 3, Value: (0.01171875,-0.00390625,0.01953125)},Magnetic: {Time: 4272, Status: 1, Value: (-25.9375,-20.625,-6.3125)},Gravity: {Time: 4266, Status: 3, Value: (0.140625,-0.1875,9.6328125)}, Rotation: {Time: 4298, Status: 0, Value: (-0.0101318359375,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:04.416749: {Acceleration: {Time: 4399, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4361, Status: 3, Value: (0.01171875,0.03515625,0.01953125)},Magnetic: {Time: 4337, Status: 1, Value: (-26.0625,-20.75,-8.1875)},Gravity: {Time: 4358, Status: 3, Value: (0.140625,-0.1875,9.6328125)}, Rotation: {Time: 4402, Status: 0, Value: (-0.0101318359375,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:04.532307: {Acceleration: {Time: 4516, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4506, Status: 3, Value: (-0.03515625,0.03515625,0.01171875)},Magnetic: {Time: 4509, Status: 1, Value: (-26.375,-20.0,-6.625)},Gravity: {Time: 4492, Status: 3, Value: (0.1484375,-0.1875,9.640625)}, Rotation: {Time: 4518, Status: 0, Value: (-0.0101318359375,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:04.618713: {Acceleration: {Time: 4602, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4576, Status: 3, Value: (-0.03515625,-0.00390625,-0.02734375)},Magnetic: {Time: 4590, Status: 1, Value: (-25.6875,-20.75,-8.25)},Gravity: {Time: 4574, Status: 3, Value: (0.1484375,-0.1875,9.640625)}, Rotation: {Time: 4604, Status: 0, Value: (-0.01007080078125,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:04.719911: {Acceleration: {Time: 4703, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4697, Status: 3, Value: (0.01171875,0.00390625,0.01171875)},Magnetic: {Time: 4699, Status: 1, Value: (-26.1875,-21.0,-7.4375)},Gravity: {Time: 4693, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 4706, Status: 0, Value: (-0.01007080078125,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:04.835507: {Acceleration: {Time: 4822, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4751, Status: 3, Value: (-0.02734375,0.00390625,0.01171875)},Magnetic: {Time: 4754, Status: 1, Value: (-26.0625,-21.6875,-7.5625)},Gravity: {Time: 4737, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 4817, Status: 0, Value: (-0.01007080078125,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:04.933056: {Acceleration: {Time: 4917, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4751, Status: 3, Value: (-0.02734375,0.00390625,0.01171875)},Magnetic: {Time: 4856, Status: 1, Value: (-26.0,-21.4375,-8.25)},Gravity: {Time: 4919, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 4914, Status: 0, Value: (-0.01007080078125,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:05.019385: {Acceleration: {Time: 5003, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4936, Status: 3, Value: (0.01171875,0.00390625,0.01171875)},Magnetic: {Time: 4939, Status: 1, Value: (-25.5625,-20.6875,-6.375)},Gravity: {Time: 5006, Status: 3, Value: (0.140625,-0.1953125,9.6328125)}, Rotation: {Time: 4998, Status: 0, Value: (-0.01007080078125,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:05.143728: {Acceleration: {Time: 5128, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5102, Status: 3, Value: (-0.02734375,0.00390625,-0.01953125)},Magnetic: {Time: 5116, Status: 1, Value: (-26.25,-21.3125,-6.75)},Gravity: {Time: 5099, Status: 3, Value: (0.140625,-0.1953125,9.6328125)}, Rotation: {Time: 5130, Status: 0, Value: (-0.01007080078125,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:05.237055: {Acceleration: {Time: 5223, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5206, Status: 3, Value: (-0.02734375,-0.00390625,-0.01953125)},Magnetic: {Time: 5209, Status: 1, Value: (-25.4375,-21.375,-6.8125)},Gravity: {Time: 5192, Status: 3, Value: (0.140625,-0.1875,9.6328125)}, Rotation: {Time: 5217, Status: 0, Value: (-0.01007080078125,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:05.335527: {Acceleration: {Time: 5313, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5322, Status: 3, Value: (-0.02734375,-0.00390625,-0.01953125)},Magnetic: {Time: 5282, Status: 1, Value: (-25.8125,-20.375,-7.4375)},Gravity: {Time: 5319, Status: 3, Value: (0.140625,-0.1875,9.6328125)}, Rotation: {Time: 5316, Status: 0, Value: (-0.01007080078125,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:05.442477: {Acceleration: {Time: 5427, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5400, Status: 3, Value: (-0.02734375,0.00390625,0.01953125)},Magnetic: {Time: 5414, Status: 1, Value: (-26.6875,-20.9375,-6.625)},Gravity: {Time: 5398, Status: 3, Value: (0.140625,-0.1953125,9.6328125)}, Rotation: {Time: 5429, Status: 0, Value: (-0.01007080078125,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:05.526741: {Acceleration: {Time: 5506, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5514, Status: 3, Value: (-0.02734375,0.00390625,0.01171875)},Magnetic: {Time: 5452, Status: 1, Value: (-25.5,-21.0,-6.75)},Gravity: {Time: 5510, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 5508, Status: 0, Value: (-0.01007080078125,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:05.647525: {Acceleration: {Time: 5627, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5595, Status: 3, Value: (-0.02734375,0.00390625,0.01171875)},Magnetic: {Time: 5598, Status: 1, Value: (-25.375,-22.0,-7.25)},Gravity: {Time: 5634, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 5629, Status: 0, Value: (-0.01007080078125,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:05.746781: {Acceleration: {Time: 5731, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5721, Status: 3, Value: (-0.02734375,0.00390625,-0.02734375)},Magnetic: {Time: 5724, Status: 1, Value: (-26.625,-21.3125,-6.6875)},Gravity: {Time: 5707, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 5734, Status: 0, Value: (-0.01007080078125,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:05.838124: {Acceleration: {Time: 5815, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5825, Status: 3, Value: (-0.02734375,0.00390625,-0.02734375)},Magnetic: {Time: 5808, Status: 1, Value: (-25.5625,-20.0,-6.6875)},Gravity: {Time: 5823, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 5818, Status: 0, Value: (-0.01007080078125,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
0:00:05.936061: {Acceleration: {Time: 5914, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5923, Status: 3, Value: (0.01953125,0.00390625,-0.02734375)},Magnetic: {Time: 5857, Status: 1, Value: (-25.375,-21.0625,-7.5)},Gravity: {Time: 5920, Status: 3, Value: (0.1328125,-0.1953125,9.640625)}, Rotation: {Time: 5917, Status: 0, Value: (-0.01007080078125,-0.00726318359375,0.0032958984375, 0.99993896484375)}}
