0:00:02.969092: {Acceleration: {Time: 2342, Status: 0, Value: (0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 2300, Status: 3, Value: (0.015625,0.015625,-0.01171875)},Magnetic: {Time: 2303, Status: 2, Value: (0.1875,-17.0625,37.4375)},Gravity: {Time: 2345, Status: 3, Value: (0.0234375,-0.4765625,-10.0234375)}, Rotation: {Time: 2338, Status: 2, Value: (-0.99969482421875,-0.0059814453125,-6.103515625e-05, 0.0245361328125)}}
0:00:03.095085: {Acceleration: {Time: 2477, Status: 0, Value: (-0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 2416, Status: 3, Value: (0.015625,0.015625,-0.01171875)},Magnetic: {Time: 2430, Status: 2, Value: (-0.9375,-17.0625,38.875)},Gravity: {Time: 2412, Status: 3, Value: (0.0234375,-0.4765625,-10.0234375)}, Rotation: {Time: 2471, Status: 2, Value: (-0.99969482421875,-0.0059814453125,-0.0001220703125, 0.0245361328125)}}
0:00:03.192071: {Acceleration: {Time: 2566, Status: 0, Value: (0.0,-0.001953125,0.001953125)},Gyroscope: {Time: 2575, Status: 3, Value: (-0.015625,-0.01171875,-0.01171875)},Magnetic: {Time: 2510, Status: 2, Value: (-0.875,-17.75,38.0)},Gravity: {Time: 2572, Status: 3, Value: (0.015625,-0.484375,-10.0234375)}, Rotation: {Time: 2569, Status: 2, Value: (-0.99969482421875,-0.0059814453125,-0.0001220703125, 0.0245361328125)}}
0:00:03.286494: {Acceleration: {Time: 2666, Status: 0, Value: (0.001953125,-0.00390625,-0.001953125)},Gyroscope: {Time: 2676, Status: 3, Value: (0.0234375,0.0234375,0.0234375)},Magnetic: {Time: 2645, Status: 2, Value: (0.125,-18.125,38.75)},Gravity: {Time: 2673, Status: 3, Value: (0.015625,-0.484375,-10.0234375)}, Rotation: {Time: 2669, Status: 2, Value: (-0.99969482421875,-0.0059814453125,-0.0001220703125, 0.0245361328125)}}
0:00:03.398049: {Acceleration: {Time: 2767, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 2776, Status: 3, Value: (0.0234375,-0.01171875,0.0234375)},Magnetic: {Time: 2708, Status: 2, Value: (-0.875,-17.0625,38.0)},Gravity: {Time: 2773, Status: 3, Value: (0.015625,-0.484375,-10.0234375)}, Rotation: {Time: 2769, Status: 2, Value: (-0.99969482421875,-0.0059814453125,-0.0001220703125, 0.0244140625)}}
0:00:03.454064: {Acceleration: {Time: 2847, Status: 0, Value: (0.0,0.005859375,-0.001953125)},Gyroscope: {Time: 2832, Status: 3, Value: (0.0234375,0.0234375,0.0234375)},Magnetic: {Time: 2835, Status: 2, Value: (1.25,-17.75,38.25)},Gravity: {Time: 2817, Status: 3, Value: (0.015625,-0.484375,-10.0234375)}, Rotation: {Time: 2842, Status: 2, Value: (-0.99969482421875,-0.0059814453125,-0.000244140625, 0.02447509765625)}}
0:00:03.599128: {Acceleration: {Time: 2972, Status: 0, Value: (-0.00390625,-0.001953125,-0.001953125)},Gyroscope: {Time: 2945, Status: 3, Value: (0.0078125,0.0234375,-0.01171875)},Magnetic: {Time: 2960, Status: 2, Value: (1.3125,-17.75,37.375)},Gravity: {Time: 2942, Status: 3, Value: (0.03125,-0.484375,-10.0234375)}, Rotation: {Time: 2974, Status: 2, Value: (-0.99969482421875,-0.006103515625,-0.0003662109375, 0.0244140625)}}
0:00:03.687230: {Acceleration: {Time: 3067, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3076, Status: 3, Value: (0.0078125,0.0234375,0.0234375)},Magnetic: {Time: 3039, Status: 2, Value: (-1.25,-19.0625,38.4375)},Gravity: {Time: 3073, Status: 3, Value: (0.03125,-0.484375,-10.0234375)}, Rotation: {Time: 3069, Status: 2, Value: (-0.99969482421875,-0.006103515625,-0.0003662109375, 0.0244140625)}}
0:00:03.791801: {Acceleration: {Time: 3167, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3176, Status: 3, Value: (0.0078125,-0.01171875,0.0234375)},Magnetic: {Time: 3135, Status: 2, Value: (0.5,-17.0625,38.3125)},Gravity: {Time: 3173, Status: 3, Value: (0.03125,-0.484375,-10.0234375)}, Rotation: {Time: 3169, Status: 2, Value: (-0.99969482421875,-0.006103515625,-0.0003662109375, 0.0244140625)}}
0:00:03.899046: {Acceleration: {Time: 3270, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3278, Status: 3, Value: (0.015625,0.03125,0.0234375)},Magnetic: {Time: 3236, Status: 2, Value: (-0.0625,-18.8125,37.0625)},Gravity: {Time: 3276, Status: 3, Value: (0.0234375,-0.4921875,-10.0234375)}, Rotation: {Time: 3273, Status: 2, Value: (-0.99969482421875,-0.00616455078125,-0.00042724609375, 0.0244140625)}}
