0:00:02.417211: {Acceleration: {Time: 2374, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2366, Status: 3, Value: (-0.01953125,-0.00390625,0.01171875)},Magnetic: {Time: 2370, Status: 1, Value: (-28.4375,28.0,-17.0625)},Gravity: {Time: 2363, Status: 3, Value: (0.171875,-0.265625,9.640625)}, Rotation: {Time: 2376, Status: 0, Value: (-0.01611328125,-0.00299072265625,-0.38018798828125, 0.92474365234375)}}
0:00:02.528025: {Acceleration: {Time: 2488, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2436, Status: 3, Value: (-0.01953125,0.03515625,0.01171875)},Magnetic: {Time: 2450, Status: 1, Value: (-28.375,28.4375,-15.125)},Gravity: {Time: 2432, Status: 3, Value: (0.171875,-0.265625,9.640625)}, Rotation: {Time: 2482, Status: 0, Value: (-0.01617431640625,-0.00286865234375,-0.38800048828125, 0.9215087890625)}}
0:00:02.641595: {Acceleration: {Time: 2592, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2601, Status: 3, Value: (0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 2539, Status: 1, Value: (-28.5625,29.8125,-14.625)},Gravity: {Time: 2599, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2596, Status: 0, Value: (-0.01617431640625,-0.00286865234375,-0.38800048828125, 0.9215087890625)}}
0:00:02.728899: {Acceleration: {Time: 2689, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2650, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 2653, Status: 1, Value: (-27.875,27.6875,-15.625)},Gravity: {Time: 2647, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2683, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38800048828125, 0.9215087890625)}}
0:00:02.825442: {Acceleration: {Time: 2782, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2747, Status: 3, Value: (0.01953125,-0.01171875,-0.00390625)},Magnetic: {Time: 2722, Status: 1, Value: (-29.1875,28.5,-15.0)},Gravity: {Time: 2743, Status: 3, Value: (0.171875,-0.2578125,9.65625)}, Rotation: {Time: 2785, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38287353515625, 0.92364501953125)}}
0:00:02.938951: {Acceleration: {Time: 2896, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2889, Status: 3, Value: (0.02734375,-0.01953125,0.05078125)},Magnetic: {Time: 2891, Status: 1, Value: (-28.625,29.0625,-16.25)},Gravity: {Time: 2885, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2899, Status: 0, Value: (-0.0152587890625,-0.00286865234375,-0.38287353515625, 0.92364501953125)}}
0:00:03.021045: {Acceleration: {Time: 2981, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2942, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 2946, Status: 1, Value: (-28.625,29.0625,-16.25)},Gravity: {Time: 2929, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2977, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38287353515625, 0.92364501953125)}}
0:00:03.141623: {Acceleration: {Time: 3099, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3040, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 3043, Status: 1, Value: (-28.4375,27.4375,-16.6875)},Gravity: {Time: 3038, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3102, Status: 0, Value: (-0.0152587890625,-0.00286865234375,-0.38287353515625, 0.92364501953125)}}
0:00:03.226822: {Acceleration: {Time: 3187, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3177, Status: 3, Value: (0.02734375,-0.01171875,0.01171875)},Magnetic: {Time: 3180, Status: 1, Value: (-27.5,29.3125,-16.0)},Gravity: {Time: 3174, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 3183, Status: 0, Value: (-0.01519775390625,-0.0029296875,-0.38092041015625, 0.92449951171875)}}
0:00:03.340355: {Acceleration: {Time: 3301, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 3264, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 3268, Status: 1, Value: (-28.625,29.375,-16.5625)},Gravity: {Time: 3261, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3297, Status: 0, Value: (-0.01519775390625,-0.0029296875,-0.38079833984375, 0.924560546875)}}
