0:00:02.790447 {Acceleration: {Time: 2750, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2722, Status: 3, Value: (-0.01171875,-0.01171875,0.01953125)},Magnetic: {Time: 2736, Status: 1, Value: (-28.625,28.75,-16.0)},Gravity: {Time: 2718, Status: 3, Value: (0.1640625,-0.2578125,9.6328125)}, Rotation: {Time: 2752, Status: 0, Value: (-0.01519775390625,-0.00274658203125,-0.38934326171875, 0.92095947265625)}}
0:00:02.875696 {Acceleration: {Time: 2835, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2806, Status: 3, Value: (-0.01171875,0.02734375,0.05859375)},Magnetic: {Time: 2808, Status: 1, Value: (-29.0,28.125,-16.0)},Gravity: {Time: 2804, Status: 3, Value: (0.1640625,-0.2578125,9.6328125)}, Rotation: {Time: 2838, Status: 0, Value: (-0.01519775390625,-0.00274658203125,-0.38934326171875, 0.92095947265625)}}
0:00:02.987113 {Acceleration: {Time: 2946, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2920, Status: 3, Value: (0.02734375,-0.01171875,0.01953125)},Magnetic: {Time: 2934, Status: 1, Value: (-29.125,28.5,-15.1875)},Gravity: {Time: 2918, Status: 3, Value: (0.1640625,-0.2578125,9.6328125)}, Rotation: {Time: 2949, Status: 0, Value: (-0.01519775390625,-0.00274658203125,-0.38934326171875, 0.92095947265625)}}
0:00:03.100025 {Acceleration: {Time: 3059, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3033, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 3047, Status: 1, Value: (-29.9375,28.875,-15.5)},Gravity: {Time: 3030, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3062, Status: 0, Value: (-0.01519775390625,-0.00274658203125,-0.38934326171875, 0.92095947265625)}}
0:00:03.181770 {Acceleration: {Time: 3142, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 3121, Status: 3, Value: (-0.01171875,0.01953125,-0.02734375)},Magnetic: {Time: 3135, Status: 1, Value: (-29.125,28.8125,-15.5625)},Gravity: {Time: 3118, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3116, Status: 0, Value: (-0.01519775390625,-0.00274658203125,-0.3892822265625, 0.92095947265625)}}
0:00:03.295877 {Acceleration: {Time: 3256, Status: 0, Value: (0.00390625,0.0,0.00390625)},Gyroscope: {Time: 3249, Status: 3, Value: (-0.01171875,0.01171875,0.01953125)},Magnetic: {Time: 3252, Status: 1, Value: (-29.625,28.5625,-14.8125)},Gravity: {Time: 3246, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 3258, Status: 0, Value: (-0.01519775390625,-0.00274658203125,-0.3892822265625, 0.92095947265625)}}
0:00:03.381447 {Acceleration: {Time: 3341, Status: 0, Value: (0.00390625,-0.005859375,0.00390625)},Gyroscope: {Time: 3315, Status: 3, Value: (-0.01171875,-0.09375,-0.0625)},Magnetic: {Time: 3329, Status: 1, Value: (-30.125,28.9375,-14.375)},Gravity: {Time: 3313, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3344, Status: 0, Value: (-0.01507568359375,-0.00274658203125,-0.3892822265625, 0.9210205078125)}}
0:00:03.492040 {Acceleration: {Time: 3448, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 3425, Status: 3, Value: (-0.01171875,-0.0625,0.05859375)},Magnetic: {Time: 3439, Status: 1, Value: (-30.0,28.875,-15.0625)},Gravity: {Time: 3455, Status: 3, Value: (0.1640625,-0.25,9.6328125)}, Rotation: {Time: 3450, Status: 0, Value: (-0.01513671875,-0.00274658203125,-0.3892822265625, 0.9210205078125)}}
0:00:03.588952 {Acceleration: {Time: 3542, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 3551, Status: 3, Value: (-0.01171875,-0.02734375,0.01953125)},Magnetic: {Time: 3488, Status: 1, Value: (-29.5,28.1875,-15.5)},Gravity: {Time: 3548, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 3544, Status: 0, Value: (-0.01513671875,-0.00274658203125,-0.3892822265625, 0.92095947265625)}}
0:00:03.710083 {Acceleration: {Time: 3667, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 3636, Status: 3, Value: (-0.01171875,-0.1015625,0.01953125)},Magnetic: {Time: 3638, Status: 1, Value: (-29.375,29.5625,-14.3125)},Gravity: {Time: 3673, Status: 3, Value: (0.1640625,-0.2578125,9.6328125)}, Rotation: {Time: 3670, Status: 0, Value: (-0.01507568359375,-0.00274658203125,-0.3892822265625, 0.92095947265625)}}
