0:00:04.515679: {Acceleration: {Time: 4473, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4481, Status: 3, Value: (0.0078125,-0.0390625,-0.01171875)},Magnetic: {Time: 4418, Status: 0, Value: (-23.8125,-9.5,-39.0)},Gravity: {Time: 4479, Status: 3, Value: (1.5625,0.0390625,9.625)}, Rotation: {Time: 4475, Status: 0, Value: (-0.0343017578125,-0.07275390625,-0.44464111328125, 0.89208984375)}}
0:00:04.593801: {Acceleration: {Time: 4553, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4537, Status: 3, Value: (0.0078125,0.0,-0.01953125)},Magnetic: {Time: 4540, Status: 0, Value: (-23.125,-9.875,-38.25)},Gravity: {Time: 4523, Status: 3, Value: (1.5625,0.0390625,9.6328125)}, Rotation: {Time: 4548, Status: 0, Value: (-0.0343017578125,-0.07275390625,-0.44464111328125, 0.89208984375)}}
0:00:04.687550: {Acceleration: {Time: 4642, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4651, Status: 3, Value: (-0.03125,0.0078125,-0.01953125)},Magnetic: {Time: 4586, Status: 0, Value: (-23.125,-10.25,-38.25)},Gravity: {Time: 4648, Status: 3, Value: (1.5625,0.03125,9.6328125)}, Rotation: {Time: 4645, Status: 0, Value: (-0.03424072265625,-0.07275390625,-0.44464111328125, 0.89208984375)}}
0:00:04.781184: {Acceleration: {Time: 4748, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4707, Status: 3, Value: (0.015625,0.0078125,-0.01953125)},Magnetic: {Time: 4710, Status: 0, Value: (-23.8125,-10.25,-37.4375)},Gravity: {Time: 4752, Status: 3, Value: (1.5546875,0.03125,9.6328125)}, Rotation: {Time: 4744, Status: 0, Value: (-0.0343017578125,-0.07275390625,-0.44464111328125, 0.89208984375)}}
0:00:04.890667: {Acceleration: {Time: 4842, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4851, Status: 3, Value: (0.015625,0.0,0.01953125)},Magnetic: {Time: 4810, Status: 0, Value: (-23.125,-11.0,-37.8125)},Gravity: {Time: 4848, Status: 3, Value: (1.5546875,0.0390625,9.6328125)}, Rotation: {Time: 4844, Status: 0, Value: (-0.03424072265625,-0.07269287109375,-0.44464111328125, 0.89208984375)}}
0:00:04.984424: {Acceleration: {Time: 4941, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4934, Status: 3, Value: (0.015625,0.0,0.01953125)},Magnetic: {Time: 4936, Status: 0, Value: (-23.125,-9.5,-37.4375)},Gravity: {Time: 4931, Status: 3, Value: (1.5546875,0.0390625,9.6328125)}, Rotation: {Time: 4943, Status: 0, Value: (-0.03424072265625,-0.07269287109375,-0.44464111328125, 0.89208984375)}}
0:00:05.078167: {Acceleration: {Time: 5033, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5042, Status: 3, Value: (0.015625,0.0,-0.01953125)},Magnetic: {Time: 4978, Status: 0, Value: (-24.1875,-9.125,-38.1875)},Gravity: {Time: 5039, Status: 3, Value: (1.5546875,0.0390625,9.6328125)}, Rotation: {Time: 5035, Status: 0, Value: (-0.03424072265625,-0.07269287109375,-0.44464111328125, 0.89208984375)}}
0:00:05.156297: {Acceleration: {Time: 5113, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5102, Status: 3, Value: (0.046875,-0.078125,0.01953125)},Magnetic: {Time: 5105, Status: 0, Value: (-22.75,-8.4375,-37.8125)},Gravity: {Time: 5099, Status: 3, Value: (1.5625,0.0390625,9.6328125)}, Rotation: {Time: 5108, Status: 0, Value: (-0.03424072265625,-0.07269287109375,-0.44464111328125, 0.89208984375)}}
0:00:05.234273: {Acceleration: {Time: 5203, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5172, Status: 3, Value: (0.046875,0.0390625,0.01953125)},Magnetic: {Time: 5147, Status: 0, Value: (-23.5,-9.875,-39.0)},Gravity: {Time: 5169, Status: 3, Value: (1.5625,0.0390625,9.6328125)}, Rotation: {Time: 5197, Status: 0, Value: (-0.03424072265625,-0.07269287109375,-0.44464111328125, 0.89208984375)}}
0:00:05.343803: {Acceleration: {Time: 5303, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5264, Status: 3, Value: (0.0,0.046875,-0.01953125)},Magnetic: {Time: 5241, Status: 0, Value: (-23.8125,-9.5,-39.0)},Gravity: {Time: 5260, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 5305, Status: 0, Value: (-0.03424072265625,-0.07269287109375,-0.44464111328125, 0.89208984375)}}
0:00:05.437548: {Acceleration: {Time: 5392, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5401, Status: 3, Value: (0.0,0.0078125,-0.0546875)},Magnetic: {Time: 5340, Status: 0, Value: (-23.5,-10.25,-39.4375)},Gravity: {Time: 5398, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 5394, Status: 0, Value: (-0.03424072265625,-0.07269287109375,-0.44464111328125, 0.89208984375)}}
0:00:05.531296: {Acceleration: {Time: 5489, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5484, Status: 3, Value: (0.0,0.0078125,0.01953125)},Magnetic: {Time: 5486, Status: 0, Value: (-23.125,-10.25,-37.8125)},Gravity: {Time: 5480, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 5492, Status: 0, Value: (-0.03424072265625,-0.07275390625,-0.44464111328125, 0.89208984375)}}
