0:00:08.665675: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -5.0362666807833926e-42, Phase: 51178.1796875
0:00:08.753213: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -4.610271947628648e-42, Phase: 51178.7265625
0:00:08.877579: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -4.059561651148995e-42, Phase: 51179.51171875
0:00:08.965007: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -3.71764482585374e-42, Phase: 51180.05859375
0:00:09.080014: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -3.308465674270893e-42, Phase: 51180.77734375
0:00:09.178111: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.994574818262134e-42, Phase: 51181.390625
0:00:09.275466: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.7101112300041962e-42, Phase: 51182.0078125
0:00:09.371446: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.459278804890054e-42, Phase: 51182.609375
0:00:09.464373: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.237873647526733e-42, Phase: 51183.19140625
0:00:09.567014: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.015067191699087e-42, Phase: 51183.8359375
0:00:09.679693: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.7950633328000907e-42, Phase: 51184.54296875
0:00:09.767979: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.6409205017243608e-42, Phase: 51185.09375
0:00:09.883768: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.4587517013621346e-42, Phase: 51185.8203125
0:00:09.982024: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.3200231533939777e-42, Phase: 51186.4375
0:00:10.068352: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.2079192762479923e-42, Phase: 51186.984375
0:00:10.169720: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.0888089067803829e-42, Phase: 51187.6171875
