0:00:04.468943 {Acceleration: {Time: 4403, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 4392, Status: 3, Value: (-0.00390625,-0.03515625,0.01171875)},Magnetic: {Time: 4395, Status: 2, Value: (23.5625,13.375,-31.875)},Gravity: {Time: 4378, Status: 3, Value: (0.5390625,-0.1953125,9.71875)}, Rotation: {Time: 4405, Status: 2, Value: (0.0057373046875,-0.02923583984375,0.51275634765625, 0.8580322265625)}}
0:00:04.562692 {Acceleration: {Time: 4504, Status: 0, Value: (0.00390625,0.001953125,0.001953125)},Gyroscope: {Time: 4494, Status: 3, Value: (-0.00390625,0.00390625,0.01171875)},Magnetic: {Time: 4497, Status: 2, Value: (23.4375,14.75,-31.8125)},Gravity: {Time: 4491, Status: 3, Value: (0.5390625,-0.1953125,9.71875)}, Rotation: {Time: 4500, Status: 2, Value: (0.00567626953125,-0.02923583984375,0.51275634765625, 0.8580322265625)}}
0:00:04.656450 {Acceleration: {Time: 4597, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 4558, Status: 3, Value: (-0.00390625,0.00390625,0.08203125)},Magnetic: {Time: 4562, Status: 2, Value: (23.375,14.375,-31.8125)},Gravity: {Time: 4544, Status: 3, Value: (0.5390625,-0.1953125,9.7265625)}, Rotation: {Time: 4600, Status: 2, Value: (0.0057373046875,-0.02911376953125,0.5128173828125, 0.85797119140625)}}
0:00:04.750193 {Acceleration: {Time: 4690, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4659, Status: 3, Value: (-0.00390625,0.03515625,0.08203125)},Magnetic: {Time: 4635, Status: 2, Value: (22.5625,14.25,-32.75)},Gravity: {Time: 4656, Status: 3, Value: (0.5390625,-0.1875,9.7265625)}, Rotation: {Time: 4683, Status: 2, Value: (0.005859375,-0.029052734375,0.5128173828125, 0.85797119140625)}}
0:00:04.843947 {Acceleration: {Time: 4787, Status: 0, Value: (0.001953125,-0.001953125,0.00390625)},Gyroscope: {Time: 4751, Status: 3, Value: (0.03515625,0.00390625,0.00390625)},Magnetic: {Time: 4727, Status: 2, Value: (21.4375,13.6875,-33.25)},Gravity: {Time: 4747, Status: 3, Value: (0.5390625,-0.1953125,9.7265625)}, Rotation: {Time: 4790, Status: 2, Value: (0.005859375,-0.02911376953125,0.5128173828125, 0.85797119140625)}}
0:00:04.937707 {Acceleration: {Time: 4888, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 4875, Status: 3, Value: (0.03515625,0.00390625,0.04296875)},Magnetic: {Time: 4878, Status: 2, Value: (23.0,13.9375,-31.875)},Gravity: {Time: 4861, Status: 3, Value: (0.5390625,-0.1953125,9.7265625)}, Rotation: {Time: 4885, Status: 2, Value: (0.005859375,-0.029052734375,0.5128173828125, 0.85797119140625)}}
0:00:05.015738 {Acceleration: {Time: 4960, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 4946, Status: 3, Value: (-0.00390625,-0.03515625,0.00390625)},Magnetic: {Time: 4949, Status: 2, Value: (24.0,14.4375,-32.1875)},Gravity: {Time: 4932, Status: 3, Value: (0.5390625,-0.1953125,9.7265625)}, Rotation: {Time: 4956, Status: 2, Value: (0.00579833984375,-0.02911376953125,0.5128173828125, 0.85797119140625)}}
0:00:05.187657 {Acceleration: {Time: 5148, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 5111, Status: 3, Value: (-0.00390625,0.00390625,0.00390625)},Magnetic: {Time: 5114, Status: 2, Value: (23.9375,14.375,-33.0625)},Gravity: {Time: 5108, Status: 3, Value: (0.5390625,-0.1953125,9.7265625)}, Rotation: {Time: 5145, Status: 2, Value: (0.00579833984375,-0.029052734375,0.512939453125, 0.85791015625)}}
0:00:05.281396 {Acceleration: {Time: 5238, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 5232, Status: 3, Value: (-0.01171875,0.00390625,0.00390625)},Magnetic: {Time: 5234, Status: 2, Value: (22.875,13.25,-32.4375)},Gravity: {Time: 5228, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 5241, Status: 2, Value: (0.00579833984375,-0.029052734375,0.51287841796875, 0.85791015625)}}
0:00:05.390776 {Acceleration: {Time: 5335, Status: 0, Value: (0.0,-0.001953125,-0.00390625)},Gyroscope: {Time: 5297, Status: 3, Value: (0.02734375,-0.03515625,-0.03515625)},Magnetic: {Time: 5300, Status: 2, Value: (23.3125,12.5,-33.6875)},Gravity: {Time: 5283, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 5332, Status: 2, Value: (0.0057373046875,-0.029052734375,0.51287841796875, 0.85791015625)}}
0:00:05.484552 {Acceleration: {Time: 5424, Status: 0, Value: (-0.00390625,0.0,0.00390625)},Gyroscope: {Time: 5433, Status: 3, Value: (-0.01171875,0.01171875,0.04296875)},Magnetic: {Time: 5368, Status: 2, Value: (23.75,16.125,-33.375)},Gravity: {Time: 5429, Status: 3, Value: (0.546875,-0.203125,9.7265625)}, Rotation: {Time: 5426, Status: 2, Value: (0.00567626953125,-0.02911376953125,0.512939453125, 0.85791015625)}}
0:00:05.578237 {Acceleration: {Time: 5522, Status: 0, Value: (0.001953125,-0.001953125,0.005859375)},Gyroscope: {Time: 5530, Status: 3, Value: (0.02734375,0.01171875,0.04296875)},Magnetic: {Time: 5491, Status: 2, Value: (23.125,12.875,-33.1875)},Gravity: {Time: 5528, Status: 3, Value: (0.546875,-0.203125,9.7265625)}, Rotation: {Time: 5524, Status: 2, Value: (0.00567626953125,-0.0291748046875,0.512939453125, 0.85791015625)}}
