0:00:03.409814 {Acceleration: {Time: 3383, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 3389, Status: 3, Value: (0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 3391, Status: 1, Value: (-29.0,28.125,-16.0625)},Gravity: {Time: 3387, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3395, Status: 0, Value: (-0.0152587890625,-0.00347900390625,-0.38909912109375, 0.92108154296875)}}
0:00:03.527861 {Acceleration: {Time: 3513, Status: 0, Value: (-0.00390625,0.0,0.001953125)},Gyroscope: {Time: 3455, Status: 3, Value: (-0.02734375,-0.03515625,-0.0703125)},Magnetic: {Time: 3469, Status: 1, Value: (-29.4375,28.5,-16.0)},Gravity: {Time: 3452, Status: 3, Value: (0.1796875,-0.234375,9.6484375)}, Rotation: {Time: 3509, Status: 0, Value: (-0.0152587890625,-0.00347900390625,-0.38909912109375, 0.92108154296875)}}
0:00:03.611560 {Acceleration: {Time: 3591, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 3557, Status: 3, Value: (0.01953125,0.00390625,0.00390625)},Magnetic: {Time: 3560, Status: 1, Value: (-28.6875,28.125,-15.3125)},Gravity: {Time: 3596, Status: 3, Value: (0.171875,-0.234375,9.6484375)}, Rotation: {Time: 3593, Status: 0, Value: (-0.0152587890625,-0.0035400390625,-0.38916015625, 0.9210205078125)}}
0:00:03.706949 {Acceleration: {Time: 3690, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 3682, Status: 3, Value: (-0.01171875,-0.02734375,0.05078125)},Magnetic: {Time: 3685, Status: 1, Value: (-29.625,28.5625,-14.8125)},Gravity: {Time: 3679, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 3692, Status: 0, Value: (-0.01531982421875,-0.00341796875,-0.38922119140625, 0.9210205078125)}}
0:00:03.821372 {Acceleration: {Time: 3804, Status: 0, Value: (0.013671875,0.001953125,-0.001953125)},Gyroscope: {Time: 3779, Status: 3, Value: (-0.05078125,0.12109375,-0.1484375)},Magnetic: {Time: 3793, Status: 1, Value: (-29.625,29.1875,-15.1875)},Gravity: {Time: 3776, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 3806, Status: 0, Value: (-0.01519775390625,-0.0032958984375,-0.3892822265625, 0.9210205078125)}}
0:00:03.934078 {Acceleration: {Time: 3917, Status: 0, Value: (-0.0078125,0.00390625,0.0)},Gyroscope: {Time: 3879, Status: 3, Value: (-0.05078125,-0.0625,-0.4921875)},Magnetic: {Time: 3882, Status: 1, Value: (-29.3125,29.25,-14.375)},Gravity: {Time: 3865, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 3919, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.38934326171875, 0.92095947265625)}}
0:00:04.017719 {Acceleration: {Time: 3996, Status: 0, Value: (-0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 4003, Status: 3, Value: (0.06640625,-0.02734375,0.08203125)},Magnetic: {Time: 3943, Status: 1, Value: (-29.0,27.8125,-15.6875)},Gravity: {Time: 4001, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 3998, Status: 0, Value: (-0.01531982421875,-0.00311279296875,-0.3892822265625, 0.9210205078125)}}
0:00:04.129064 {Acceleration: {Time: 4111, Status: 0, Value: (0.001953125,0.0,-0.00390625)},Gyroscope: {Time: 4085, Status: 3, Value: (-0.01171875,0.01171875,0.00390625)},Magnetic: {Time: 4099, Status: 1, Value: (-28.6875,29.125,-16.0)},Gravity: {Time: 4082, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 4115, Status: 0, Value: (-0.01531982421875,-0.0030517578125,-0.38934326171875, 0.92095947265625)}}
0:00:04.212508 {Acceleration: {Time: 4191, Status: 0, Value: (-0.00390625,0.001953125,0.0)},Gyroscope: {Time: 4198, Status: 3, Value: (-0.01171875,0.01171875,-0.02734375)},Magnetic: {Time: 4138, Status: 1, Value: (-29.4375,27.8125,-15.625)},Gravity: {Time: 4196, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 4193, Status: 0, Value: (-0.01531982421875,-0.0030517578125,-0.38934326171875, 0.92095947265625)}}
0:00:04.334283 {Acceleration: {Time: 4312, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 4320, Status: 3, Value: (0.02734375,0.01171875,0.01171875)},Magnetic: {Time: 4258, Status: 1, Value: (-27.875,27.4375,-15.375)},Gravity: {Time: 4318, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 4314, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.3892822265625, 0.9210205078125)}}
0:00:04.429670 {Acceleration: {Time: 4406, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 4415, Status: 3, Value: (0.02734375,0.01171875,0.05078125)},Magnetic: {Time: 4353, Status: 1, Value: (-27.4375,27.6875,-15.4375)},Gravity: {Time: 4412, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 4409, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.3892822265625, 0.9210205078125)}}
0:00:04.530503 {Acceleration: {Time: 4507, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4516, Status: 3, Value: (-0.01953125,-0.03515625,-0.03515625)},Magnetic: {Time: 4479, Status: 1, Value: (-29.0,28.75,-16.3125)},Gravity: {Time: 4513, Status: 3, Value: (0.171875,-0.234375,9.6484375)}, Rotation: {Time: 4510, Status: 0, Value: (-0.01531982421875,-0.00311279296875,-0.38934326171875, 0.92095947265625)}}
0:00:04.629818 {Acceleration: {Time: 4607, Status: 0, Value: (-0.001953125,0.00390625,0.0)},Gyroscope: {Time: 4616, Status: 3, Value: (-0.01171875,-0.03515625,-0.02734375)},Magnetic: {Time: 4580, Status: 1, Value: (-29.4375,28.8125,-16.3125)},Gravity: {Time: 4612, Status: 3, Value: (0.1640625,-0.234375,9.640625)}, Rotation: {Time: 4609, Status: 0, Value: (-0.0152587890625,-0.00311279296875,-0.3892822265625, 0.92095947265625)}}
0:00:04.727469 {Acceleration: {Time: 4711, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4675, Status: 3, Value: (0.02734375,0.01171875,0.00390625)},Magnetic: {Time: 4678, Status: 1, Value: (-30.1875,30.25,-14.625)},Gravity: {Time: 4713, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 4707, Status: 0, Value: (-0.0152587890625,-0.00311279296875,-0.3892822265625, 0.9210205078125)}}
0:00:04.838424 {Acceleration: {Time: 4822, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4796, Status: 3, Value: (0.02734375,-0.02734375,-0.02734375)},Magnetic: {Time: 4810, Status: 1, Value: (-28.0,27.5,-14.25)},Gravity: {Time: 4793, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 4825, Status: 0, Value: (-0.0152587890625,-0.00311279296875,-0.3892822265625, 0.9210205078125)}}
0:00:04.922980 {Acceleration: {Time: 4901, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 4909, Status: 3, Value: (0.02734375,0.01171875,0.01953125)},Magnetic: {Time: 4848, Status: 1, Value: (-29.625,29.5625,-15.125)},Gravity: {Time: 4907, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 4904, Status: 0, Value: (-0.01531982421875,-0.00311279296875,-0.38922119140625, 0.9210205078125)}}
0:00:05.046902 {Acceleration: {Time: 5024, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 5033, Status: 3, Value: (-0.01171875,0.01171875,-0.01953125)},Magnetic: {Time: 4971, Status: 1, Value: (-29.5,28.5,-15.5625)},Gravity: {Time: 5031, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 5028, Status: 0, Value: (-0.01519775390625,-0.003173828125,-0.38922119140625, 0.9210205078125)}}
0:00:05.131371 {Acceleration: {Time: 5118, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 5086, Status: 3, Value: (-0.01171875,0.05078125,0.01953125)},Magnetic: {Time: 5088, Status: 1, Value: (-30.5,29.625,-15.0625)},Gravity: {Time: 5083, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 5114, Status: 0, Value: (-0.01513671875,-0.003173828125,-0.38922119140625, 0.9210205078125)}}
0:00:05.229608 {Acceleration: {Time: 5216, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 5206, Status: 3, Value: (-0.01171875,0.00390625,0.01171875)},Magnetic: {Time: 5209, Status: 1, Value: (-29.6875,28.9375,-14.3125)},Gravity: {Time: 5203, Status: 3, Value: (0.1640625,-0.234375,9.640625)}, Rotation: {Time: 5212, Status: 0, Value: (-0.01513671875,-0.003173828125,-0.38922119140625, 0.9210205078125)}}
0:00:05.348469 {Acceleration: {Time: 5328, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5335, Status: 3, Value: (-0.01171875,0.01171875,-0.02734375)},Magnetic: {Time: 5268, Status: 1, Value: (-29.0,27.8125,-15.6875)},Gravity: {Time: 5333, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 5331, Status: 0, Value: (-0.01513671875,-0.00311279296875,-0.38922119140625, 0.9210205078125)}}
0:00:05.433963 {Acceleration: {Time: 5421, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5384, Status: 3, Value: (0.02734375,-0.02734375,0.01171875)},Magnetic: {Time: 5388, Status: 1, Value: (-29.6875,28.9375,-14.375)},Gravity: {Time: 5381, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 5416, Status: 0, Value: (-0.01507568359375,-0.00311279296875,-0.38922119140625, 0.9210205078125)}}
0:00:05.532727 {Acceleration: {Time: 5510, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5520, Status: 3, Value: (-0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 5455, Status: 1, Value: (-29.375,27.5,-16.0)},Gravity: {Time: 5517, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 5512, Status: 0, Value: (-0.01507568359375,-0.00311279296875,-0.38922119140625, 0.9210205078125)}}
0:00:05.630681 {Acceleration: {Time: 5610, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5618, Status: 3, Value: (-0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 5551, Status: 1, Value: (-28.6875,28.125,-15.25)},Gravity: {Time: 5614, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 5612, Status: 0, Value: (-0.01507568359375,-0.00311279296875,-0.38922119140625, 0.9210205078125)}}
0:00:05.729103 {Acceleration: {Time: 5714, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5688, Status: 3, Value: (-0.01171875,-0.02734375,-0.02734375)},Magnetic: {Time: 5702, Status: 1, Value: (-29.375,28.75,-16.6875)},Gravity: {Time: 5684, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 5716, Status: 0, Value: (-0.01507568359375,-0.00311279296875,-0.38922119140625, 0.9210205078125)}}
0:00:05.843263 {Acceleration: {Time: 5828, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5803, Status: 3, Value: (-0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 5817, Status: 1, Value: (-29.9375,28.1875,-15.1875)},Gravity: {Time: 5801, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 5830, Status: 0, Value: (-0.01507568359375,-0.00311279296875,-0.38922119140625, 0.9210205078125)}}
