0:00:02.430719: {Acceleration: {Time: 2383, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2392, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 2355, Status: 1, Value: (-29.75,27.8125,-16.375)},Gravity: {Time: 2389, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2385, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.38494873046875, 0.92279052734375)}}
0:00:02.551894: {Acceleration: {Time: 2505, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2474, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 2477, Status: 1, Value: (-28.5,29.0,-17.1875)},Gravity: {Time: 2513, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2508, Status: 0, Value: (-0.0155029296875,-0.0035400390625,-0.38494873046875, 0.92279052734375)}}
0:00:02.650363: {Acceleration: {Time: 2603, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2612, Status: 3, Value: (0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 2571, Status: 1, Value: (-29.5625,28.8125,-15.5625)},Gravity: {Time: 2608, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2605, Status: 0, Value: (-0.0155029296875,-0.0035400390625,-0.38494873046875, 0.92279052734375)}}
0:00:02.742396: {Acceleration: {Time: 2701, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2694, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2697, Status: 1, Value: (-29.0625,28.8125,-15.9375)},Gravity: {Time: 2691, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2704, Status: 0, Value: (-0.0155029296875,-0.0035400390625,-0.38494873046875, 0.92279052734375)}}
0:00:02.852736: {Acceleration: {Time: 2814, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2774, Status: 3, Value: (-0.01953125,-0.01953125,-0.0625)},Magnetic: {Time: 2777, Status: 1, Value: (-29.5625,29.1875,-15.5)},Gravity: {Time: 2771, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2809, Status: 0, Value: (-0.0155029296875,-0.0035400390625,-0.38494873046875, 0.92279052734375)}}
0:00:02.945107: {Acceleration: {Time: 2905, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2873, Status: 3, Value: (-0.01953125,0.01953125,-0.0703125)},Magnetic: {Time: 2846, Status: 1, Value: (-28.0,27.625,-17.25)},Gravity: {Time: 2870, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2898, Status: 0, Value: (-0.0155029296875,-0.0035400390625,-0.38494873046875, 0.92279052734375)}}
0:00:03.030675: {Acceleration: {Time: 2984, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2992, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 2930, Status: 1, Value: (-30.125,28.625,-14.3125)},Gravity: {Time: 2989, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2987, Status: 0, Value: (-0.0155029296875,-0.0035400390625,-0.38494873046875, 0.92279052734375)}}
0:00:03.134331: {Acceleration: {Time: 3094, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3054, Status: 3, Value: (-0.02734375,-0.01953125,0.04296875)},Magnetic: {Time: 3057, Status: 1, Value: (-30.375,28.875,-15.4375)},Gravity: {Time: 3050, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 3096, Status: 0, Value: (-0.0155029296875,-0.0035400390625,-0.38494873046875, 0.92279052734375)}}
0:00:03.248146: {Acceleration: {Time: 3210, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3197, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 3200, Status: 1, Value: (-29.0625,28.4375,-15.625)},Gravity: {Time: 3183, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3207, Status: 0, Value: (-0.0155029296875,-0.0035400390625,-0.38494873046875, 0.92279052734375)}}
0:00:03.354525: {Acceleration: {Time: 3309, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 3317, Status: 3, Value: (-0.01953125,0.01953125,0.04296875)},Magnetic: {Time: 3258, Status: 1, Value: (-29.875,29.1875,-16.25)},Gravity: {Time: 3314, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3311, Status: 0, Value: (-0.01556396484375,-0.0035400390625,-0.3848876953125, 0.9228515625)}}
0:00:03.449897: {Acceleration: {Time: 3409, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 3374, Status: 3, Value: (0.01953125,0.05859375,0.00390625)},Magnetic: {Time: 3350, Status: 1, Value: (-27.75,27.375,-16.1875)},Gravity: {Time: 3370, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3412, Status: 0, Value: (-0.015625,-0.00347900390625,-0.3848876953125, 0.92279052734375)}}
0:00:03.562885: {Acceleration: {Time: 3523, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 3498, Status: 3, Value: (-0.01953125,-0.01953125,0.04296875)},Magnetic: {Time: 3512, Status: 1, Value: (-29.8125,29.3125,-13.9375)},Gravity: {Time: 3496, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3525, Status: 0, Value: (-0.01556396484375,-0.00347900390625,-0.385009765625, 0.92279052734375)}}
0:00:03.649425: {Acceleration: {Time: 3612, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 3599, Status: 3, Value: (0.01171875,-0.01953125,0.04296875)},Magnetic: {Time: 3602, Status: 1, Value: (-28.25,28.75,-15.6875)},Gravity: {Time: 3584, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 3609, Status: 0, Value: (-0.01556396484375,-0.0035400390625,-0.38494873046875, 0.92279052734375)}}
0:00:03.758697: {Acceleration: {Time: 3721, Status: 0, Value: (-0.001953125,0.001953125,-0.00390625)},Gyroscope: {Time: 3708, Status: 3, Value: (-0.06640625,-0.01953125,-0.03515625)},Magnetic: {Time: 3711, Status: 1, Value: (-30.5625,29.0,-14.25)},Gravity: {Time: 3694, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 3718, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.384521484375, 0.9229736328125)}}
0:00:03.866922: {Acceleration: {Time: 3830, Status: 0, Value: (-0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 3815, Status: 3, Value: (-0.05859375,-0.02734375,-0.02734375)},Magnetic: {Time: 3819, Status: 1, Value: (-28.6875,27.8125,-14.9375)},Gravity: {Time: 3801, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3826, Status: 0, Value: (-0.0150146484375,-0.00341796875,-0.384521484375, 0.9229736328125)}}
0:00:03.952527: {Acceleration: {Time: 3915, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 3883, Status: 3, Value: (0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 3886, Status: 1, Value: (-29.25,28.5625,-14.5)},Gravity: {Time: 3881, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3911, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38446044921875, 0.9229736328125)}}
0:00:04.045900: {Acceleration: {Time: 4009, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 3970, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 3974, Status: 1, Value: (-27.75,28.625,-16.875)},Gravity: {Time: 3956, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4005, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.390625, 0.92041015625)}}
