0:00:02.361502: {Acceleration: {Time: 2333, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2307, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 2321, Status: 1, Value: (-29.75,28.8125,-16.875)},Gravity: {Time: 2304, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2336, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:02.447820: {Acceleration: {Time: 2414, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2422, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 2383, Status: 1, Value: (-30.125,28.4375,-17.25)},Gravity: {Time: 2420, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2417, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:02.565300: {Acceleration: {Time: 2531, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2540, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 2524, Status: 1, Value: (-30.3125,29.1875,-16.4375)},Gravity: {Time: 2538, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2533, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:02.647567: {Acceleration: {Time: 2622, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2589, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 2592, Status: 1, Value: (-31.0625,27.9375,-15.6875)},Gravity: {Time: 2587, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2619, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:02.755431: {Acceleration: {Time: 2722, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2730, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 2668, Status: 1, Value: (-30.375,27.4375,-17.3125)},Gravity: {Time: 2728, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2726, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:02.866989: {Acceleration: {Time: 2842, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2807, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 2809, Status: 1, Value: (-29.8125,28.125,-16.1875)},Gravity: {Time: 2803, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2839, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:02.952375: {Acceleration: {Time: 2925, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2917, Status: 3, Value: (-0.05078125,-0.01953125,0.00390625)},Magnetic: {Time: 2920, Status: 1, Value: (-30.4375,28.125,-17.25)},Gravity: {Time: 2914, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2927, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:03.069915: {Acceleration: {Time: 3042, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3015, Status: 3, Value: (-0.05078125,-0.01171875,0.00390625)},Magnetic: {Time: 3029, Status: 1, Value: (-30.25,28.5,-16.5)},Gravity: {Time: 3011, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 3045, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:03.157217: {Acceleration: {Time: 3130, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3101, Status: 3, Value: (-0.00390625,-0.046875,-0.00390625)},Magnetic: {Time: 3103, Status: 1, Value: (-30.8125,27.5,-17.25)},Gravity: {Time: 3098, Status: 3, Value: (0.15625,-0.2578125,9.65625)}, Rotation: {Time: 3132, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:03.270734: {Acceleration: {Time: 3243, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3217, Status: 3, Value: (-0.01171875,0.02734375,-0.04296875)},Magnetic: {Time: 3231, Status: 1, Value: (-29.0,28.0625,-16.25)},Gravity: {Time: 3214, Status: 3, Value: (0.1640625,-0.2578125,9.65625)}, Rotation: {Time: 3246, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:03.355998: {Acceleration: {Time: 3322, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3331, Status: 3, Value: (-0.00390625,0.01953125,0.00390625)},Magnetic: {Time: 3269, Status: 1, Value: (-30.5625,29.875,-14.8125)},Gravity: {Time: 3329, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 3326, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:03.452032: {Acceleration: {Time: 3427, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3397, Status: 3, Value: (-0.00390625,-0.01953125,0.00390625)},Magnetic: {Time: 3411, Status: 1, Value: (-30.8125,28.5,-17.5625)},Gravity: {Time: 3395, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 3422, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:03.577695: {Acceleration: {Time: 3551, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3524, Status: 3, Value: (-0.00390625,0.01953125,-0.03515625)},Magnetic: {Time: 3538, Status: 1, Value: (-30.625,28.875,-16.4375)},Gravity: {Time: 3522, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 3553, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
