0:00:06.688802: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.05116271972656, Phase Shift: 3.0828566215145976e-44, Phase: 27067.1328125
0:00:06.780061: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 89.78113555908203, Phase Shift: 3.0828566215145976e-44, Phase: 27067.70703125
0:00:06.884049: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 88.16561126708984, Phase Shift: 3.0828566215145976e-44, Phase: 27068.36328125
0:00:06.987952: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 85.61551666259766, Phase Shift: 3.0828566215145976e-44, Phase: 27069.01953125
0:00:07.079348: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 83.24232482910156, Phase Shift: 3.0828566215145976e-44, Phase: 27069.599609375
0:00:07.196086: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 80.03638458251953, Phase Shift: 3.0828566215145976e-44, Phase: 27070.337890625
0:00:07.288021: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 77.40200805664062, Phase Shift: 3.0828566215145976e-44, Phase: 27070.912109375
0:00:07.391625: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 74.5079574584961, Phase Shift: 3.0828566215145976e-44, Phase: 27071.57421875
0:00:07.495783: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 70.72049713134766, Phase Shift: 3.0828566215145976e-44, Phase: 27072.23046875
0:00:07.599625: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 67.12556457519531, Phase Shift: 3.0828566215145976e-44, Phase: 27072.88671875
0:00:07.704084: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 63.71337890625, Phase Shift: 3.0828566215145976e-44, Phase: 27073.54296875
0:00:07.795052: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 60.83967590332031, Phase Shift: 3.0828566215145976e-44, Phase: 27074.123046875
0:00:07.899353: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 57.747013092041016, Phase Shift: 3.0828566215145976e-44, Phase: 27074.779296875
0:00:08.002791: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 54.81156921386719, Phase Shift: 3.0828566215145976e-44, Phase: 27075.435546875
0:00:08.094015: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 52.3657112121582, Phase Shift: 3.0828566215145976e-44, Phase: 27076.009765625
0:00:08.210835: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 49.38069152832031, Phase Shift: 3.0828566215145976e-44, Phase: 27076.748046875
0:00:08.314827: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 46.87052536010742, Phase Shift: 3.0828566215145976e-44, Phase: 27077.404296875
0:00:08.406141: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 44.756465911865234, Phase Shift: 3.0828566215145976e-44, Phase: 27077.984375
0:00:08.510220: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 42.481361389160156, Phase Shift: 3.0828566215145976e-44, Phase: 27078.640625
0:00:08.614223: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 40.32190704345703, Phase Shift: 3.0828566215145976e-44, Phase: 27079.296875
0:00:08.718492: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 38.27222442626953, Phase Shift: 3.0828566215145976e-44, Phase: 27079.953125
0:00:08.822135: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 36.32670211791992, Phase Shift: 3.0828566215145976e-44, Phase: 27080.609375
0:00:08.913656: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 34.688209533691406, Phase Shift: 3.0828566215145976e-44, Phase: 27081.189453125
0:00:09.017575: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 32.92490005493164, Phase Shift: 3.0828566215145976e-44, Phase: 27081.845703125
0:00:09.121494: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 31.251230239868164, Phase Shift: 3.0828566215145976e-44, Phase: 27082.501953125
0:00:09.226618: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 29.662614822387695, Phase Shift: 3.0828566215145976e-44, Phase: 27083.158203125
0:00:09.330076: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 28.14059066772461, Phase Shift: 3.0828566215145976e-44, Phase: 27083.8203125
0:00:09.421475: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 26.88487434387207, Phase Shift: 3.0828566215145976e-44, Phase: 27084.39453125
0:00:09.525502: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 25.505380630493164, Phase Shift: 3.0828566215145976e-44, Phase: 27085.056640625
0:00:09.629494: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 24.2088680267334, Phase Shift: 3.0828566215145976e-44, Phase: 27085.712890625
0:00:09.733411: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 22.978260040283203, Phase Shift: 3.0828566215145976e-44, Phase: 27086.369140625
0:00:09.837415: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 21.81020736694336, Phase Shift: 3.0828566215145976e-44, Phase: 27087.025390625
