0:00:02.534828: {Acceleration: {Time: 2512, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 2477, Status: 3, Value: (-0.00390625,-0.02734375,0.00390625)},Magnetic: {Time: 2455, Status: 1, Value: (-31.125,30.1875,-16.4375)},Gravity: {Time: 2474, Status: 3, Value: (0.15625,-0.2421875,9.6484375)}, Rotation: {Time: 2515, Status: 0, Value: (-0.01531982421875,-0.00244140625,-0.39739990234375, 0.91754150390625)}}
0:00:02.637090: {Acceleration: {Time: 2618, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 2544, Status: 3, Value: (-0.00390625,-0.01953125,-0.03515625)},Magnetic: {Time: 2558, Status: 1, Value: (-31.8125,29.4375,-13.8125)},Gravity: {Time: 2542, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 2612, Status: 0, Value: (-0.0152587890625,-0.00244140625,-0.39739990234375, 0.91754150390625)}}
0:00:02.736478: {Acceleration: {Time: 2714, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 2688, Status: 3, Value: (0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 2702, Status: 1, Value: (-30.8125,30.1875,-15.75)},Gravity: {Time: 2685, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2717, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:02.855083: {Acceleration: {Time: 2829, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2773, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 2776, Status: 1, Value: (-29.5,29.125,-16.3125)},Gravity: {Time: 2836, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2832, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:02.951474: {Acceleration: {Time: 2932, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2919, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 2922, Status: 1, Value: (-30.5,29.125,-17.375)},Gravity: {Time: 2905, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2929, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:03.045771: {Acceleration: {Time: 3027, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2998, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 3012, Status: 1, Value: (-30.3125,28.0625,-18.1875)},Gravity: {Time: 2995, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3022, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:03.141387: {Acceleration: {Time: 3120, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3058, Status: 3, Value: (-0.01171875,0.01953125,-0.02734375)},Magnetic: {Time: 3061, Status: 1, Value: (-30.4375,29.125,-17.75)},Gravity: {Time: 2995, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3122, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:03.253857: {Acceleration: {Time: 3235, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3222, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 3225, Status: 1, Value: (-29.4375,27.0625,-18.3125)},Gravity: {Time: 3208, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3232, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:03.362670: {Acceleration: {Time: 3344, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3330, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 3333, Status: 1, Value: (-30.5625,28.1875,-16.25)},Gravity: {Time: 3316, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3341, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:03.448988: {Acceleration: {Time: 3430, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3390, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 3393, Status: 1, Value: (-29.75,28.4375,-17.0625)},Gravity: {Time: 3376, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3427, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:03.562501: {Acceleration: {Time: 3535, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3544, Status: 3, Value: (-0.01171875,0.02734375,0.01171875)},Magnetic: {Time: 3481, Status: 1, Value: (-28.875,28.0625,-16.8125)},Gravity: {Time: 3542, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 3538, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:03.650722: {Acceleration: {Time: 3630, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3622, Status: 3, Value: (-0.01171875,0.02734375,0.00390625)},Magnetic: {Time: 3625, Status: 1, Value: (-30.875,29.5625,-15.0)},Gravity: {Time: 3619, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 3632, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:03.757540: {Acceleration: {Time: 3737, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3729, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 3733, Status: 1, Value: (-30.5625,28.1875,-16.25)},Gravity: {Time: 3726, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3739, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:03.847858: {Acceleration: {Time: 3826, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3814, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 3818, Status: 1, Value: (-29.75,28.125,-16.6875)},Gravity: {Time: 3800, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3830, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:03.964413: {Acceleration: {Time: 3946, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3874, Status: 3, Value: (-0.01171875,-0.01171875,-0.02734375)},Magnetic: {Time: 3878, Status: 1, Value: (-30.3125,27.75,-17.8125)},Gravity: {Time: 3860, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 3943, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:04.051665: {Acceleration: {Time: 4031, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4020, Status: 3, Value: (-0.00390625,-0.01171875,-0.02734375)},Magnetic: {Time: 4024, Status: 1, Value: (-29.25,27.6875,-17.1875)},Gravity: {Time: 4006, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 4034, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:04.159516: {Acceleration: {Time: 4139, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4119, Status: 3, Value: (-0.00390625,-0.01171875,0.01171875)},Magnetic: {Time: 4133, Status: 1, Value: (-30.625,28.5625,-16.1875)},Gravity: {Time: 4116, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 4112, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:04.274098: {Acceleration: {Time: 4254, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4228, Status: 3, Value: (-0.01171875,-0.01171875,0.01171875)},Magnetic: {Time: 4242, Status: 1, Value: (-29.6875,28.75,-17.4375)},Gravity: {Time: 4225, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 4256, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:04.360305: {Acceleration: {Time: 4340, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4313, Status: 3, Value: (0.02734375,-0.01171875,-0.02734375)},Magnetic: {Time: 4327, Status: 1, Value: (-30.0625,27.5,-17.125)},Gravity: {Time: 4311, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 4343, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:04.471480: {Acceleration: {Time: 4443, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4449, Status: 3, Value: (-0.01171875,-0.01171875,0.01171875)},Magnetic: {Time: 4451, Status: 1, Value: (-30.6875,28.5625,-15.8125)},Gravity: {Time: 4446, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 4454, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:04.579261: {Acceleration: {Time: 4562, Status: 0, Value: (0.0,0.0,-0.00390625)},Gyroscope: {Time: 4512, Status: 3, Value: (-0.01171875,-0.01171875,0.01171875)},Magnetic: {Time: 4526, Status: 1, Value: (-30.6875,29.25,-15.8125)},Gravity: {Time: 4510, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 4559, Status: 0, Value: (-0.0152587890625,-0.00244140625,-0.39739990234375, 0.91754150390625)}}
