0:00:02.598663: {Acceleration: {Time: 2559, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2551, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 2554, Status: 1, Value: (-29.25,27.625,-14.0)},Gravity: {Time: 2548, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2561, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.382568359375, 0.92376708984375)}}
0:00:02.681920: {Acceleration: {Time: 2636, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2644, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 2584, Status: 1, Value: (-28.3125,28.75,-15.875)},Gravity: {Time: 2642, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2640, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.382568359375, 0.92376708984375)}}
0:00:02.778798: {Acceleration: {Time: 2741, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2702, Status: 3, Value: (-0.01171875,0.01953125,-0.03515625)},Magnetic: {Time: 2704, Status: 1, Value: (-29.125,28.8125,-15.4375)},Gravity: {Time: 2699, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2736, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.38519287109375, 0.92266845703125)}}
0:00:02.904483: {Acceleration: {Time: 2865, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2839, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 2853, Status: 1, Value: (-28.5,27.8125,-14.0625)},Gravity: {Time: 2836, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2867, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.38519287109375, 0.92266845703125)}}
0:00:02.990027: {Acceleration: {Time: 2950, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2890, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 2893, Status: 1, Value: (-28.75,28.8125,-15.4375)},Gravity: {Time: 2953, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2945, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.38519287109375, 0.92266845703125)}}
0:00:03.115642: {Acceleration: {Time: 3073, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3010, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 2986, Status: 1, Value: (-27.5625,27.75,-14.875)},Gravity: {Time: 3079, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3075, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38934326171875, 0.92095947265625)}}
0:00:03.213956: {Acceleration: {Time: 3177, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3164, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 3167, Status: 1, Value: (-27.0,27.9375,-16.125)},Gravity: {Time: 3150, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3174, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38885498046875, 0.921142578125)}}
0:00:03.290670: {Acceleration: {Time: 3254, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3222, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 3224, Status: 1, Value: (-29.125,29.125,-15.8125)},Gravity: {Time: 3219, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3250, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38885498046875, 0.921142578125)}}
0:00:03.415275: {Acceleration: {Time: 3376, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3350, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 3364, Status: 1, Value: (-29.0,28.75,-16.625)},Gravity: {Time: 3347, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3378, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38885498046875, 0.921142578125)}}
0:00:03.499748: {Acceleration: {Time: 3455, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3463, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 3401, Status: 1, Value: (-28.5625,28.0625,-16.3125)},Gravity: {Time: 3460, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3457, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38885498046875, 0.921142578125)}}
0:00:03.593646: {Acceleration: {Time: 3557, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3521, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 3524, Status: 1, Value: (-27.125,28.6875,-15.3125)},Gravity: {Time: 3517, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3554, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38677978515625, 0.92205810546875)}}
0:00:03.705249: {Acceleration: {Time: 3668, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3633, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 3636, Status: 1, Value: (-28.3125,28.0625,-15.5625)},Gravity: {Time: 3629, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3665, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38665771484375, 0.922119140625)}}
0:00:03.812016: {Acceleration: {Time: 3768, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3776, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 3714, Status: 1, Value: (-29.625,29.1875,-15.0)},Gravity: {Time: 3773, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3771, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38665771484375, 0.922119140625)}}
0:00:03.924814: {Acceleration: {Time: 3881, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3888, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 3826, Status: 1, Value: (-28.8125,29.125,-15.0625)},Gravity: {Time: 3886, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3884, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38665771484375, 0.92205810546875)}}
0:00:04.010701: {Acceleration: {Time: 3975, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3938, Status: 3, Value: (0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 3942, Status: 1, Value: (-28.0,27.8125,-14.5)},Gravity: {Time: 3935, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3970, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38665771484375, 0.92205810546875)}}
