0:00:02.260009 {Acceleration: {Time: 2202, Status: 0, Value: (0.0,0.0078125,0.001953125)},Gyroscope: {Time: 2211, Status: 3, Value: (0.1796875,-0.10546875,0.1328125)},Magnetic: {Time: 2146, Status: 0, Value: (-40.1875,-68.8125,-68.4375)},Gravity: {Time: 2208, Status: 3, Value: (0.5859375,-0.125,9.7109375)}, Rotation: {Time: 2205, Status: 0, Value: (-0.005859375,-0.02960205078125,0.0045166015625, 0.99951171875)}}
0:00:02.354223 {Acceleration: {Time: 2301, Status: 0, Value: (-0.0078125,-0.015625,-0.001953125)},Gyroscope: {Time: 2309, Status: 3, Value: (-0.73828125,0.23828125,-0.01953125)},Magnetic: {Time: 2274, Status: 0, Value: (-39.8125,-69.375,-67.125)},Gravity: {Time: 2307, Status: 3, Value: (0.5859375,-0.125,9.7109375)}, Rotation: {Time: 2303, Status: 0, Value: (-0.0059814453125,-0.0296630859375,0.0045166015625, 0.99951171875)}}
0:00:02.464238 {Acceleration: {Time: 2405, Status: 0, Value: (0.0078125,0.037109375,0.001953125)},Gyroscope: {Time: 2369, Status: 3, Value: (0.5625,-0.2578125,0.05859375)},Magnetic: {Time: 2373, Status: 0, Value: (-38.9375,-67.9375,-67.0)},Gravity: {Time: 2408, Status: 3, Value: (0.5859375,-0.125,9.7109375)}, Rotation: {Time: 2401, Status: 0, Value: (-0.006103515625,-0.0296630859375,0.0045166015625, 0.99951171875)}}
0:00:02.557885 {Acceleration: {Time: 2499, Status: 0, Value: (-0.0078125,-0.0390625,0.001953125)},Gyroscope: {Time: 2494, Status: 3, Value: (0.140625,-0.14453125,-0.32421875)},Magnetic: {Time: 2496, Status: 0, Value: (-37.9375,-68.75,-65.75)},Gravity: {Time: 2490, Status: 3, Value: (0.5859375,-0.125,9.7109375)}, Rotation: {Time: 2502, Status: 0, Value: (-0.006103515625,-0.02960205078125,0.0045166015625, 0.99951171875)}}
0:00:02.620931 {Acceleration: {Time: 2573, Status: 0, Value: (0.013671875,0.033203125,0.0)},Gyroscope: {Time: 2562, Status: 3, Value: (-0.625,0.31640625,-0.25)},Magnetic: {Time: 2537, Status: 0, Value: (-37.5,-67.0,-66.8125)},Gravity: {Time: 2559, Status: 3, Value: (0.5859375,-0.125,9.7109375)}, Rotation: {Time: 2569, Status: 0, Value: (-0.0059814453125,-0.029296875,0.0045166015625, 0.99957275390625)}}
0:00:02.730702 {Acceleration: {Time: 2663, Status: 0, Value: (0.0,0.017578125,-0.001953125)},Gyroscope: {Time: 2672, Status: 3, Value: (0.41015625,0.01171875,0.2109375)},Magnetic: {Time: 2607, Status: 0, Value: (-39.125,-69.0,-67.5)},Gravity: {Time: 2669, Status: 3, Value: (0.5859375,-0.125,9.7109375)}, Rotation: {Time: 2666, Status: 0, Value: (-0.0059814453125,-0.02947998046875,0.0045166015625, 0.99951171875)}}
0:00:02.809724 {Acceleration: {Time: 2762, Status: 0, Value: (-0.001953125,-0.005859375,0.0)},Gyroscope: {Time: 2742, Status: 3, Value: (0.10546875,-0.14453125,0.171875)},Magnetic: {Time: 2756, Status: 0, Value: (-39.375,-68.375,-67.5)},Gravity: {Time: 2739, Status: 3, Value: (0.5859375,-0.125,9.7109375)}, Rotation: {Time: 2736, Status: 0, Value: (-0.00592041015625,-0.029541015625,0.0045166015625, 0.99951171875)}}
0:00:02.904410 {Acceleration: {Time: 2859, Status: 0, Value: (0.00390625,0.0234375,0.001953125)},Gyroscope: {Time: 2822, Status: 3, Value: (0.5234375,-0.21875,0.05859375)},Magnetic: {Time: 2826, Status: 0, Value: (-38.625,-68.25,-66.9375)},Gravity: {Time: 2819, Status: 3, Value: (0.5859375,-0.125,9.7109375)}, Rotation: {Time: 2856, Status: 0, Value: (-0.0062255859375,-0.0301513671875,0.00445556640625, 0.99951171875)}}
0:00:03.013949 {Acceleration: {Time: 2956, Status: 0, Value: (0.005859375,0.037109375,0.00390625)},Gyroscope: {Time: 2917, Status: 3, Value: (0.39453125,0.01953125,0.21875)},Magnetic: {Time: 2920, Status: 0, Value: (-37.375,-69.4375,-66.1875)},Gravity: {Time: 2903, Status: 3, Value: (0.6015625,-0.1328125,9.703125)}, Rotation: {Time: 2959, Status: 0, Value: (-0.00634765625,-0.0301513671875,0.00445556640625, 0.99951171875)}}
0:00:03.108553 {Acceleration: {Time: 3057, Status: 0, Value: (0.0078125,0.0390625,0.0)},Gyroscope: {Time: 3029, Status: 3, Value: (0.34765625,-0.01953125,0.140625)},Magnetic: {Time: 3044, Status: 0, Value: (-37.9375,-68.75,-65.75)},Gravity: {Time: 3027, Status: 3, Value: (0.609375,-0.1328125,9.703125)}, Rotation: {Time: 3060, Status: 0, Value: (-0.00628662109375,-0.0301513671875,0.00445556640625, 0.99951171875)}}
0:00:03.202306 {Acceleration: {Time: 3158, Status: 0, Value: (0.00390625,0.029296875,0.001953125)},Gyroscope: {Time: 3148, Status: 3, Value: (-0.5390625,0.0859375,0.1640625)},Magnetic: {Time: 3150, Status: 0, Value: (-38.8125,-70.0,-67.1875)},Gravity: {Time: 3144, Status: 3, Value: (0.6171875,-0.125,9.71875)}, Rotation: {Time: 3153, Status: 0, Value: (-0.0062255859375,-0.03021240234375,0.00445556640625, 0.99951171875)}}
0:00:03.295922 {Acceleration: {Time: 3249, Status: 0, Value: (0.0,-0.021484375,-0.00390625)},Gyroscope: {Time: 3214, Status: 3, Value: (0.08203125,-0.06640625,0.08984375)},Magnetic: {Time: 3190, Status: 0, Value: (-39.625,-66.25,-68.5625)},Gravity: {Time: 3210, Status: 3, Value: (0.609375,-0.125,9.71875)}, Rotation: {Time: 3252, Status: 0, Value: (-0.0062255859375,-0.0301513671875,0.00445556640625, 0.99951171875)}}
0:00:03.406955 {Acceleration: {Time: 3344, Status: 0, Value: (0.0,-0.005859375,-0.001953125)},Gyroscope: {Time: 3353, Status: 3, Value: (-0.05078125,-0.09765625,0.2109375)},Magnetic: {Time: 3311, Status: 0, Value: (-40.3125,-69.1875,-68.8125)},Gravity: {Time: 3349, Status: 3, Value: (0.625,-0.1328125,9.7109375)}, Rotation: {Time: 3346, Status: 0, Value: (-0.00628662109375,-0.0302734375,0.00433349609375, 0.99951171875)}}
0:00:03.469473 {Acceleration: {Time: 3424, Status: 0, Value: (0.00390625,0.025390625,0.005859375)},Gyroscope: {Time: 3413, Status: 3, Value: (0.37109375,0.09375,0.2109375)},Magnetic: {Time: 3416, Status: 0, Value: (-39.5625,-66.5625,-67.75)},Gravity: {Time: 3410, Status: 3, Value: (0.625,-0.1328125,9.7109375)}, Rotation: {Time: 3419, Status: 0, Value: (-0.00640869140625,-0.0303955078125,0.00439453125, 0.99951171875)}}
0:00:03.596021 {Acceleration: {Time: 3537, Status: 0, Value: (-0.009765625,-0.04296875,-0.001953125)},Gyroscope: {Time: 3505, Status: 3, Value: (-0.73828125,0.36328125,-0.2890625)},Magnetic: {Time: 3508, Status: 0, Value: (-39.5625,-66.9375,-67.375)},Gravity: {Time: 3544, Status: 3, Value: (0.609375,-0.1328125,9.7109375)}, Rotation: {Time: 3539, Status: 0, Value: (-0.00640869140625,-0.02984619140625,0.0045166015625, 0.99951171875)}}
