0:00:02.427541: {Acceleration: {Time: 2387, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2361, Status: 3, Value: (0.02734375,-0.03515625,-0.0703125)},Magnetic: {Time: 2375, Status: 1, Value: (-30.4375,29.25,-15.4375)},Gravity: {Time: 2357, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 2389, Status: 0, Value: (-0.01519775390625,-0.0028076171875,-0.3956298828125, 0.91827392578125)}}
0:00:02.513125: {Acceleration: {Time: 2472, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 2446, Status: 3, Value: (-0.01171875,0.01953125,-0.02734375)},Magnetic: {Time: 2460, Status: 1, Value: (-28.8125,28.1875,-14.5625)},Gravity: {Time: 2444, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2475, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.39569091796875, 0.91827392578125)}}
0:00:02.624709: {Acceleration: {Time: 2579, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 2584, Status: 3, Value: (-0.01171875,-0.02734375,-0.01953125)},Magnetic: {Time: 2586, Status: 1, Value: (-28.5625,27.125,-15.75)},Gravity: {Time: 2582, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 2573, Status: 0, Value: (-0.01531982421875,-0.00274658203125,-0.3956298828125, 0.91827392578125)}}
0:00:02.721011: {Acceleration: {Time: 2683, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 2668, Status: 3, Value: (0.06640625,-0.02734375,0.13671875)},Magnetic: {Time: 2672, Status: 1, Value: (-29.3125,29.5625,-14.375)},Gravity: {Time: 2654, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 2678, Status: 0, Value: (-0.01531982421875,-0.0028076171875,-0.3956298828125, 0.91827392578125)}}
0:00:02.810062: {Acceleration: {Time: 2770, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 2764, Status: 3, Value: (-0.01171875,0.01171875,-0.01953125)},Magnetic: {Time: 2766, Status: 1, Value: (-28.6875,28.4375,-15.6875)},Gravity: {Time: 2761, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 2772, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.39227294921875, 0.91973876953125)}}
0:00:02.921335: {Acceleration: {Time: 2876, Status: 0, Value: (0.00390625,-0.005859375,0.0)},Gyroscope: {Time: 2844, Status: 3, Value: (0.02734375,-0.1015625,0.05859375)},Magnetic: {Time: 2847, Status: 1, Value: (-29.6875,28.9375,-14.3125)},Gravity: {Time: 2883, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2878, Status: 0, Value: (-0.014892578125,-0.0028076171875,-0.39227294921875, 0.91973876953125)}}
0:00:03.019887: {Acceleration: {Time: 2973, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 2982, Status: 3, Value: (-0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 2942, Status: 1, Value: (-28.3125,28.4375,-15.3125)},Gravity: {Time: 2979, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2975, Status: 0, Value: (-0.015625,-0.00262451171875,-0.39227294921875, 0.91973876953125)}}
0:00:03.112979: {Acceleration: {Time: 3073, Status: 0, Value: (-0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 3065, Status: 3, Value: (0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 3069, Status: 1, Value: (-28.5625,28.0625,-16.0625)},Gravity: {Time: 3062, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 3075, Status: 0, Value: (-0.01580810546875,-0.00299072265625,-0.39227294921875, 0.91973876953125)}}
0:00:03.228238: {Acceleration: {Time: 3190, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3135, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 3149, Status: 1, Value: (-29.25,28.875,-14.8125)},Gravity: {Time: 3131, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3187, Status: 0, Value: (-0.01544189453125,-0.00311279296875,-0.39227294921875, 0.91973876953125)}}
0:00:03.335447: {Acceleration: {Time: 3290, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3298, Status: 3, Value: (0.02734375,-0.02734375,0.01171875)},Magnetic: {Time: 3236, Status: 1, Value: (-28.25,28.0625,-15.3125)},Gravity: {Time: 3296, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 3292, Status: 0, Value: (-0.01519775390625,-0.002685546875,-0.39227294921875, 0.91973876953125)}}
0:00:03.431872: {Acceleration: {Time: 3394, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 3356, Status: 3, Value: (-0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 3358, Status: 1, Value: (-28.8125,29.75,-15.125)},Gravity: {Time: 3353, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 3389, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.39227294921875, 0.91973876953125)}}
0:00:03.530497: {Acceleration: {Time: 3493, Status: 0, Value: (0.0,0.001953125,0.001953125)},Gyroscope: {Time: 3479, Status: 3, Value: (0.02734375,0.01171875,0.01171875)},Magnetic: {Time: 3482, Status: 1, Value: (-28.9375,28.375,-16.75)},Gravity: {Time: 3465, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 3489, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.39227294921875, 0.91973876953125)}}
0:00:03.622552: {Acceleration: {Time: 3583, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3575, Status: 3, Value: (-0.01953125,-0.03515625,0.00390625)},Magnetic: {Time: 3579, Status: 1, Value: (-29.4375,28.8125,-16.3125)},Gravity: {Time: 3572, Status: 3, Value: (0.171875,-0.234375,9.6484375)}, Rotation: {Time: 3585, Status: 0, Value: (-0.0146484375,-0.0035400390625,-0.3824462890625, 0.92388916015625)}}
0:00:03.740739: {Acceleration: {Time: 3700, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 3674, Status: 3, Value: (-0.01953125,0.05078125,-0.04296875)},Magnetic: {Time: 3688, Status: 1, Value: (-29.125,28.5,-15.1875)},Gravity: {Time: 3671, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 3703, Status: 0, Value: (-0.01495361328125,-0.00341796875,-0.38238525390625, 0.92388916015625)}}
0:00:03.823238: {Acceleration: {Time: 3778, Status: 0, Value: (-0.001953125,0.001953125,0.005859375)},Gyroscope: {Time: 3786, Status: 3, Value: (0.01953125,0.01171875,-0.0703125)},Magnetic: {Time: 3728, Status: 1, Value: (-28.25,28.75,-15.6875)},Gravity: {Time: 3784, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 3781, Status: 0, Value: (-0.0150146484375,-0.00341796875,-0.38232421875, 0.92388916015625)}}
0:00:03.917659: {Acceleration: {Time: 3881, Status: 0, Value: (0.00390625,0.0,0.001953125)},Gyroscope: {Time: 3843, Status: 3, Value: (-0.05859375,0.04296875,-0.02734375)},Magnetic: {Time: 3847, Status: 1, Value: (-29.25,29.1875,-14.8125)},Gravity: {Time: 3840, Status: 3, Value: (0.171875,-0.234375,9.640625)}, Rotation: {Time: 3877, Status: 0, Value: (-0.0146484375,-0.00360107421875,-0.38226318359375, 0.9239501953125)}}
