0:00:02.375853 {Acceleration: {Time: 2352, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2326, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 2340, Status: 1, Value: (-29.125,28.8125,-15.4375)},Gravity: {Time: 2323, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2355, Status: 0, Value: (-0.0157470703125,-0.003173828125,-0.38037109375, 0.9246826171875)}}
0:00:02.488361 {Acceleration: {Time: 2467, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2456, Status: 3, Value: (-0.05859375,0.02734375,0.00390625)},Magnetic: {Time: 2460, Status: 1, Value: (-28.6875,28.125,-15.5)},Gravity: {Time: 2453, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2462, Status: 0, Value: (-0.0157470703125,-0.003173828125,-0.38037109375, 0.9246826171875)}}
0:00:02.574655 {Acceleration: {Time: 2554, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 2516, Status: 3, Value: (0.05078125,-0.046875,0.10546875)},Magnetic: {Time: 2520, Status: 1, Value: (-28.6875,28.75,-15.8125)},Gravity: {Time: 2513, Status: 3, Value: (0.1796875,-0.2578125,9.6640625)}, Rotation: {Time: 2550, Status: 0, Value: (-0.015869140625,-0.0035400390625,-0.38031005859375, 0.9246826171875)}}
0:00:02.688278 {Acceleration: {Time: 2667, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 2656, Status: 3, Value: (0.01171875,-0.046875,-0.078125)},Magnetic: {Time: 2660, Status: 1, Value: (-29.375,28.4375,-16.5)},Gravity: {Time: 2653, Status: 3, Value: (0.1796875,-0.2578125,9.65625)}, Rotation: {Time: 2662, Status: 0, Value: (-0.015869140625,-0.0035400390625,-0.38037109375, 0.9246826171875)}}
0:00:02.779051 {Acceleration: {Time: 2756, Status: 0, Value: (0.005859375,0.0,0.001953125)},Gyroscope: {Time: 2748, Status: 3, Value: (-0.02734375,-0.01171875,-0.00390625)},Magnetic: {Time: 2752, Status: 1, Value: (-29.4375,29.125,-16.5)},Gravity: {Time: 2745, Status: 3, Value: (0.1796875,-0.2578125,9.65625)}, Rotation: {Time: 2758, Status: 0, Value: (-0.015869140625,-0.0035400390625,-0.38031005859375, 0.9246826171875)}}
0:00:02.888131 {Acceleration: {Time: 2867, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 2817, Status: 3, Value: (-0.02734375,-0.01171875,-0.03515625)},Magnetic: {Time: 2831, Status: 1, Value: (-29.0625,28.125,-15.4375)},Gravity: {Time: 2814, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 2863, Status: 0, Value: (-0.015869140625,-0.0035400390625,-0.38031005859375, 0.9246826171875)}}
0:00:02.988525 {Acceleration: {Time: 2965, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 2922, Status: 3, Value: (-0.02734375,-0.01171875,0.00390625)},Magnetic: {Time: 2926, Status: 1, Value: (-28.8125,30.125,-15.375)},Gravity: {Time: 2968, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2960, Status: 0, Value: (-0.015869140625,-0.0035400390625,-0.38031005859375, 0.92474365234375)}}
0:00:03.091980 {Acceleration: {Time: 3069, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3028, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 3031, Status: 1, Value: (-28.4375,27.6875,-17.0625)},Gravity: {Time: 3071, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3063, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.387451171875, 0.9217529296875)}}
0:00:03.187422 {Acceleration: {Time: 3164, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 3129, Status: 3, Value: (-0.01953125,0.02734375,-0.03515625)},Magnetic: {Time: 3105, Status: 1, Value: (-29.9375,28.5,-15.6875)},Gravity: {Time: 3125, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3167, Status: 0, Value: (-0.015869140625,-0.0030517578125,-0.38726806640625, 0.92181396484375)}}
0:00:03.298986 {Acceleration: {Time: 3276, Status: 0, Value: (-0.00390625,-0.001953125,0.0)},Gyroscope: {Time: 3270, Status: 3, Value: (0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 3273, Status: 1, Value: (-27.375,27.6875,-16.0)},Gravity: {Time: 3266, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3279, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38726806640625, 0.92181396484375)}}
