0:00:02.242550 {Acceleration: {Time: 2205, Status: 0, Value: (0.041015625,0.34375,0.048828125)},Gyroscope: {Time: 2165, Status: 3, Value: (-0.765625,-0.3046875,-0.57421875)},Magnetic: {Time: 2168, Status: 2, Value: (25.875,2.5625,-16.875)},Gravity: {Time: 2151, Status: 3, Value: (-9.5390625,1.109375,0.7265625)}, Rotation: {Time: 2208, Status: 1, Value: (0.45855712890625,0.50775146484375,-0.42303466796875, 0.59405517578125)}}
0:00:02.305043 {Acceleration: {Time: 2275, Status: 0, Value: (-0.76953125,0.24609375,0.1171875)},Gyroscope: {Time: 2165, Status: 3, Value: (-0.765625,-0.3046875,-0.57421875)},Magnetic: {Time: 2243, Status: 2, Value: (26.625,-1.0,-15.5)},Gravity: {Time: 2237, Status: 3, Value: (-9.546875,1.140625,0.6015625)}, Rotation: {Time: 2272, Status: 1, Value: (0.45703125,0.51788330078125,-0.4117431640625, 0.59442138671875)}}
0:00:02.398809 {Acceleration: {Time: 2362, Status: 0, Value: (1.076171875,0.033203125,0.421875)},Gyroscope: {Time: 2371, Status: 3, Value: (0.29296875,-0.1953125,-0.3671875)},Magnetic: {Time: 2311, Status: 2, Value: (26.8125,0.9375,-14.4375)},Gravity: {Time: 2368, Status: 3, Value: (-9.5234375,1.3828125,0.2890625)}, Rotation: {Time: 2364, Status: 1, Value: (0.459228515625,0.52227783203125,-0.39404296875, 0.60089111328125)}}
0:00:02.508270 {Acceleration: {Time: 2461, Status: 0, Value: (0.271484375,0.8203125,0.123046875)},Gyroscope: {Time: 2470, Status: 3, Value: (-0.73828125,0.86328125,0.2265625)},Magnetic: {Time: 2429, Status: 2, Value: (27.3125,-2.625,-13.75)},Gravity: {Time: 2467, Status: 3, Value: (-9.453125,1.7421875,-0.1484375)}, Rotation: {Time: 2463, Status: 1, Value: (0.4898681640625,0.51568603515625,-0.385986328125, 0.58746337890625)}}
0:00:02.601982 {Acceleration: {Time: 2565, Status: 0, Value: (0.341796875,-0.029296875,0.087890625)},Gyroscope: {Time: 2524, Status: 3, Value: (0.18359375,0.3515625,-0.71875)},Magnetic: {Time: 2528, Status: 2, Value: (29.625,-3.375,-11.5)},Gravity: {Time: 2567, Status: 3, Value: (-9.4375,1.640625,-0.796875)}, Rotation: {Time: 2561, Status: 1, Value: (0.50372314453125,0.53399658203125,-0.37725830078125, 0.5645751953125)}}
0:00:02.695575 {Acceleration: {Time: 2667, Status: 0, Value: (-0.091796875,-0.291015625,-0.02734375)},Gyroscope: {Time: 2640, Status: 3, Value: (0.2734375,0.05859375,0.9765625)},Magnetic: {Time: 2654, Status: 2, Value: (28.625,-3.6875,-10.625)},Gravity: {Time: 2636, Status: 3, Value: (-9.4296875,1.7421875,-0.671875)}, Rotation: {Time: 2670, Status: 1, Value: (0.51165771484375,0.5174560546875,-0.38824462890625, 0.5654296875)}}
0:00:02.790088 {Acceleration: {Time: 2762, Status: 0, Value: (-0.83203125,0.0546875,-0.05078125)},Gyroscope: {Time: 2771, Status: 3, Value: (0.328125,0.00390625,-0.60546875)},Magnetic: {Time: 2705, Status: 2, Value: (28.5,-4.0,-12.4375)},Gravity: {Time: 2768, Status: 3, Value: (-9.4453125,1.6796875,-0.4296875)}, Rotation: {Time: 2764, Status: 1, Value: (0.4952392578125,0.52459716796875,-0.383056640625, 0.57684326171875)}}
0:00:02.899458 {Acceleration: {Time: 2861, Status: 0, Value: (0.18359375,0.341796875,-0.072265625)},Gyroscope: {Time: 2826, Status: 3, Value: (-0.40625,-0.28515625,-1.37109375)},Magnetic: {Time: 2829, Status: 2, Value: (27.3125,-0.6875,-11.1875)},Gravity: {Time: 2812, Status: 3, Value: (-9.4375,1.703125,-0.390625)}, Rotation: {Time: 2855, Status: 1, Value: (0.4881591796875,0.5299072265625,-0.3714599609375, 0.5855712890625)}}
0:00:02.993256 {Acceleration: {Time: 2951, Status: 0, Value: (0.61328125,-0.0234375,0.134765625)},Gyroscope: {Time: 2960, Status: 3, Value: (0.13671875,0.2734375,0.91796875)},Magnetic: {Time: 2897, Status: 2, Value: (28.5625,-2.0625,-13.5)},Gravity: {Time: 2957, Status: 3, Value: (-9.40625,1.6796875,-0.7265625)}, Rotation: {Time: 2953, Status: 1, Value: (0.50390625,0.53057861328125,-0.3782958984375, 0.56689453125)}}
0:00:03.071170 {Acceleration: {Time: 3032, Status: 0, Value: (0.212890625,0.142578125,0.044921875)},Gyroscope: {Time: 3016, Status: 3, Value: (-0.59375,-0.5078125,0.44140625)},Magnetic: {Time: 3020, Status: 2, Value: (29.0,-2.6875,-13.5625)},Gravity: {Time: 3002, Status: 3, Value: (-9.40625,1.734375,-0.7109375)}, Rotation: {Time: 3026, Status: 1, Value: (0.514892578125,0.51873779296875,-0.38531494140625, 0.56329345703125)}}
