0:00:09.673784: Frequency: 0.0, Amplitude: 0.005721827037632465, Offset: 89.2708511352539, Phase Shift: 8.409491420025006e-05, Phase: 9689.6533203125
0:00:09.777472: Frequency: 0.0, Amplitude: 0.005158344749361277, Offset: 89.30756378173828, Phase Shift: 7.581329555250704e-05, Phase: 9690.3017578125
0:00:09.881196: Frequency: 0.0, Amplitude: 0.004645633511245251, Offset: 89.34276580810547, Phase Shift: 6.827787001384422e-05, Phase: 9690.9560546875
0:00:09.972400: Frequency: 0.0, Amplitude: 0.004234698601067066, Offset: 89.3724136352539, Phase Shift: 6.223827949725091e-05, Phase: 9691.53515625
0:00:10.076140: Frequency: 0.0, Amplitude: 0.0038176681846380234, Offset: 89.4040298461914, Phase Shift: 5.610909647657536e-05, Phase: 9692.18359375
0:00:10.179822: Frequency: 0.0, Amplitude: 0.0034382129088044167, Offset: 89.434326171875, Phase Shift: 5.053215500083752e-05, Phase: 9692.837890625
0:00:10.283515: Frequency: 0.0, Amplitude: 0.003096482716500759, Offset: 89.46307373046875, Phase Shift: 4.5509666961152107e-05, Phase: 9693.4931640625
0:00:10.374657: Frequency: 0.0, Amplitude: 0.0028254485223442316, Offset: 89.4870376586914, Phase Shift: 4.152622204856016e-05, Phase: 9694.06640625
0:00:10.478348: Frequency: 0.0, Amplitude: 0.0025446140207350254, Offset: 89.51312255859375, Phase Shift: 3.7398738641059026e-05, Phase: 9694.720703125
0:00:10.582128: Frequency: 0.0, Amplitude: 0.0022917003370821476, Offset: 89.53787231445312, Phase Shift: 3.3681611967040226e-05, Phase: 9695.3759765625
0:00:10.685857: Frequency: 0.0, Amplitude: 0.002063923981040716, Offset: 89.56135559082031, Phase Shift: 3.0333931135828607e-05, Phase: 9696.03125
0:00:10.789476: Frequency: 0.0, Amplitude: 0.001858786796219647, Offset: 89.58364868164062, Phase Shift: 2.731898712227121e-05, Phase: 9696.6865234375
0:00:10.880671: Frequency: 0.0, Amplitude: 0.0016960876528173685, Offset: 89.60222625732422, Phase Shift: 2.4927763661253266e-05, Phase: 9697.259765625
0:00:10.984421: Frequency: 0.0, Amplitude: 0.0015275103505700827, Offset: 89.62244415283203, Phase Shift: 2.2450145479524508e-05, Phase: 9697.9150390625
0:00:11.088074: Frequency: 0.0, Amplitude: 0.001375688356347382, Offset: 89.6416244506836, Phase Shift: 2.0218783902237192e-05, Phase: 9698.5703125
0:00:11.191826: Frequency: 0.0, Amplitude: 0.0012402114225551486, Offset: 89.65966796875, Phase Shift: 1.8227648979518563e-05, Phase: 9699.21875
0:00:11.282853: Frequency: 0.0, Amplitude: 0.001130507094785571, Offset: 89.6750259399414, Phase Shift: 1.661530404817313e-05, Phase: 9699.7978515625
0:00:11.386597: Frequency: 0.0, Amplitude: 0.0010191753972321749, Offset: 89.6913833618164, Phase Shift: 1.4979039406171069e-05, Phase: 9700.4462890625
0:00:11.490247: Frequency: 0.0, Amplitude: 0.000917874916922301, Offset: 89.70707702636719, Phase Shift: 1.3490204764821101e-05, Phase: 9701.1005859375
0:00:11.594090: Frequency: 0.0, Amplitude: 0.000826643081381917, Offset: 89.72195434570312, Phase Shift: 1.2149352187407203e-05, Phase: 9701.7548828125
0:00:11.685147: Frequency: 0.0, Amplitude: 0.0007542872917838395, Offset: 89.73435974121094, Phase Shift: 1.1085922778875101e-05, Phase: 9702.328125
0:00:11.788838: Frequency: 0.0, Amplitude: 0.0006793151260353625, Offset: 89.74786376953125, Phase Shift: 9.984040843846742e-06, Phase: 9702.982421875
0:00:11.892527: Frequency: 0.0, Amplitude: 0.0006117968005128205, Offset: 89.76068115234375, Phase Shift: 8.991708455141634e-06, Phase: 9703.6376953125
0:00:11.996295: Frequency: 0.0, Amplitude: 0.0005509892362169921, Offset: 89.77284240722656, Phase Shift: 8.098007128864992e-06, Phase: 9704.29296875
0:00:12.100071: Frequency: 0.0, Amplitude: 0.0004962253733538091, Offset: 89.78438568115234, Phase Shift: 7.293131602637004e-06, Phase: 9704.9482421875
0:00:12.191132: Frequency: 0.0, Amplitude: 0.00045279093319550157, Offset: 89.79400634765625, Phase Shift: 6.654765456914902e-06, Phase: 9705.521484375
0:00:12.294862: Frequency: 0.0, Amplitude: 0.0004077871853951365, Offset: 89.80448913574219, Phase Shift: 5.9933363445452414e-06, Phase: 9706.1767578125
0:00:12.398493: Frequency: 0.0, Amplitude: 0.0003672564635053277, Offset: 89.81442260742188, Phase Shift: 5.397647782956483e-06, Phase: 9706.83203125
0:00:12.502220: Frequency: 0.0, Amplitude: 0.00033108924981206656, Offset: 89.82376098632812, Phase Shift: 4.8660913307685405e-06, Phase: 9707.48046875
0:00:12.593464: Frequency: 0.0, Amplitude: 0.0003018024144694209, Offset: 89.83170318603516, Phase Shift: 4.435656137502519e-06, Phase: 9708.0595703125
0:00:12.697183: Frequency: 0.0, Amplitude: 0.0002718057075981051, Offset: 89.84026336669922, Phase Shift: 3.994788585259812e-06, Phase: 9708.71484375
0:00:12.800862: Frequency: 0.0, Amplitude: 0.0002450384490657598, Offset: 89.84830474853516, Phase Shift: 3.6013843782711774e-06, Phase: 9709.36328125
0:00:12.904533: Frequency: 0.0, Amplitude: 0.00022068293765187263, Offset: 89.85601043701172, Phase Shift: 3.2434261356684146e-06, Phase: 9710.017578125
0:00:13.008299: Frequency: 0.0, Amplitude: 0.00019874883582815528, Offset: 89.86333465576172, Phase Shift: 2.921056193372351e-06, Phase: 9710.6728515625
0:00:13.099427: Frequency: 0.0, Amplitude: 0.00018135239952243865, Offset: 89.86943054199219, Phase Shift: 2.6653769964468665e-06, Phase: 9711.24609375
0:00:13.203264: Frequency: 0.0, Amplitude: 0.0001633269275771454, Offset: 89.8760757446289, Phase Shift: 2.4004530132515356e-06, Phase: 9711.900390625
0:00:13.307049: Frequency: 0.0, Amplitude: 0.00014709311653859913, Offset: 89.88236999511719, Phase Shift: 2.16186094803561e-06, Phase: 9712.5546875
0:00:13.410771: Frequency: 0.0, Amplitude: 0.0001324732875218615, Offset: 89.88835906982422, Phase Shift: 1.9469896415102994e-06, Phase: 9713.2099609375
0:00:13.501793: Frequency: 0.0, Amplitude: 0.00012087795039406046, Offset: 89.89334106445312, Phase Shift: 1.7765703432814917e-06, Phase: 9713.783203125
0:00:13.605477: Frequency: 0.0, Amplitude: 0.00010886367090279236, Offset: 89.89876556396484, Phase Shift: 1.599993879608519e-06, Phase: 9714.4384765625
0:00:13.709213: Frequency: 0.0, Amplitude: 9.804350702324882e-05, Offset: 89.90391540527344, Phase Shift: 1.4409674804483075e-06, Phase: 9715.09375
0:00:13.812917: Frequency: 0.0, Amplitude: 8.82987878867425e-05, Offset: 89.90879821777344, Phase Shift: 1.29774707602337e-06, Phase: 9715.7490234375
0:00:13.903922: Frequency: 0.0, Amplitude: 8.057001832639799e-05, Offset: 89.91287231445312, Phase Shift: 1.1841556215586024e-06, Phase: 9716.322265625
0:00:14.007624: Frequency: 0.0, Amplitude: 7.256200478877872e-05, Offset: 89.91730499267578, Phase Shift: 1.0664601859389222e-06, Phase: 9716.9775390625
0:00:14.111359: Frequency: 0.0, Amplitude: 6.54161412967369e-05, Offset: 89.92147064208984, Phase Shift: 9.614360578780179e-07, Phase: 9717.6259765625
0:00:14.215177: Frequency: 0.0, Amplitude: 5.891413093195297e-05, Offset: 89.92546081542969, Phase Shift: 8.658744263811968e-07, Phase: 9718.2802734375
0:00:14.318865: Frequency: 0.0, Amplitude: 5.3058382036397234e-05, Offset: 89.92924499511719, Phase Shift: 7.798112164891791e-07, Phase: 9718.9345703125
0:00:14.409878: Frequency: 0.0, Amplitude: 4.841418922296725e-05, Offset: 89.93240356445312, Phase Shift: 7.115546054592414e-07, Phase: 9719.5078125
0:00:14.513520: Frequency: 0.0, Amplitude: 4.3602081859717146e-05, Offset: 89.93584442138672, Phase Shift: 6.408299100257864e-07, Phase: 9720.162109375
0:00:14.617312: Frequency: 0.0, Amplitude: 3.926839417545125e-05, Offset: 89.93909454345703, Phase Shift: 5.771366318185756e-07, Phase: 9720.8173828125
0:00:14.721071: Frequency: 0.0, Amplitude: 3.53654359059874e-05, Offset: 89.94219207763672, Phase Shift: 5.197740051698929e-07, Phase: 9721.47265625
0:00:14.812184: Frequency: 0.0, Amplitude: 3.226990520488471e-05, Offset: 89.94477081298828, Phase Shift: 4.7427838012481516e-07, Phase: 9722.0458984375
0:00:14.915888: Frequency: 0.0, Amplitude: 2.9062544854241423e-05, Offset: 89.94758605957031, Phase Shift: 4.2713898551483e-07, Phase: 9722.701171875
0:00:15.019564: Frequency: 0.0, Amplitude: 2.617396239656955e-05, Offset: 89.95025634765625, Phase Shift: 3.846849097044469e-07, Phase: 9723.3564453125
0:00:15.123295: Frequency: 0.0, Amplitude: 2.3572485588374548e-05, Offset: 89.95278930664062, Phase Shift: 3.464504061412299e-07, Phase: 9724.01171875
0:00:15.226955: Frequency: 0.0, Amplitude: 2.1251080397632904e-05, Offset: 89.95516204833984, Phase Shift: 3.123322187548183e-07, Phase: 9724.66015625
0:00:15.317938: Frequency: 0.0, Amplitude: 1.939091998792719e-05, Offset: 89.95716094970703, Phase Shift: 2.8499297854978067e-07, Phase: 9725.232421875
0:00:15.421629: Frequency: 0.0, Amplitude: 1.7463567928643897e-05, Offset: 89.95933532714844, Phase Shift: 2.5666622605058365e-07, Phase: 9725.88671875
0:00:15.525325: Frequency: 0.0, Amplitude: 1.572783185110893e-05, Offset: 89.9614028930664, Phase Shift: 2.3115568126286234e-07, Phase: 9726.5419921875
0:00:15.629179: Frequency: 0.0, Amplitude: 1.4164613276079763e-05, Offset: 89.96336364746094, Phase Shift: 2.0818067980599153e-07, Phase: 9727.197265625
0:00:15.720214: Frequency: 0.0, Amplitude: 1.2924789189128205e-05, Offset: 89.96499633789062, Phase Shift: 1.8995869766058604e-07, Phase: 9727.7705078125
0:00:15.823888: Frequency: 0.0, Amplitude: 1.1640169759630226e-05, Offset: 89.96676635742188, Phase Shift: 1.710783834596441e-07, Phase: 9728.42578125
0:00:15.927526: Frequency: 0.0, Amplitude: 1.0483231562830042e-05, Offset: 89.96846008300781, Phase Shift: 1.5407458420213516e-07, Phase: 9729.0810546875
0:00:16.031316: Frequency: 0.0, Amplitude: 9.441283509659115e-06, Offset: 89.97006225585938, Phase Shift: 1.3876083926334104e-07, Phase: 9729.736328125
0:00:16.135091: Frequency: 0.0, Amplitude: 8.502896889694966e-06, Offset: 89.9715805053711, Phase Shift: 1.2496916212967335e-07, Phase: 9730.3916015625
0:00:16.226199: Frequency: 0.0, Amplitude: 7.758640094834846e-06, Offset: 89.97285461425781, Phase Shift: 1.1403064803516827e-07, Phase: 9730.96484375
0:00:16.329886: Frequency: 0.0, Amplitude: 6.987494543864159e-06, Offset: 89.9742431640625, Phase Shift: 1.0269693007103342e-07, Phase: 9731.6201171875
0:00:16.433552: Frequency: 0.0, Amplitude: 6.299370852502761e-06, Offset: 89.97554016113281, Phase Shift: 9.25833916198826e-08, Phase: 9732.2685546875
0:00:16.537273: Frequency: 0.0, Amplitude: 5.673247414961224e-06, Offset: 89.9767837524414, Phase Shift: 8.338109580563469e-08, Phase: 9732.9228515625
0:00:16.628425: Frequency: 0.0, Amplitude: 5.171413704374572e-06, Offset: 89.97782897949219, Phase Shift: 7.600552720532505e-08, Phase: 9733.501953125
0:00:16.732162: Frequency: 0.0, Amplitude: 4.6621362344012596e-06, Offset: 89.97895050048828, Phase Shift: 6.852055633999043e-08, Phase: 9734.150390625
0:00:16.835885: Frequency: 0.0, Amplitude: 4.1987455006164964e-06, Offset: 89.98001861572266, Phase Shift: 6.17099829014478e-08, Phase: 9734.8046875
0:00:16.939575: Frequency: 0.0, Amplitude: 3.781412942771567e-06, Offset: 89.98103332519531, Phase Shift: 5.5576347079977495e-08, Phase: 9735.458984375
0:00:17.030715: Frequency: 0.0, Amplitude: 3.450427129791933e-06, Offset: 89.98188781738281, Phase Shift: 5.071176545357048e-08, Phase: 9736.0322265625
0:00:17.134418: Frequency: 0.0, Amplitude: 3.1074730486579938e-06, Offset: 89.9828109741211, Phase Shift: 4.567129252563973e-08, Phase: 9736.6865234375
0:00:17.238198: Frequency: 0.0, Amplitude: 2.798615696519846e-06, Offset: 89.98368072509766, Phase Shift: 4.1131944072958504e-08, Phase: 9737.341796875
0:00:17.341857: Frequency: 0.0, Amplitude: 2.5204558369296137e-06, Offset: 89.98451232910156, Phase Shift: 3.704376894120287e-08, Phase: 9737.9970703125
