0:00:03.029841: {Acceleration: {Time: 3016, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2976, Status: 3, Value: (-0.01171875,-0.0546875,0.00390625)},Magnetic: {Time: 2979, Status: 1, Value: (-30.625,30.125,-16.9375)},Gravity: {Time: 2961, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3011, Status: 0, Value: (-0.015625,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:03.128244: {Acceleration: {Time: 3107, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3115, Status: 3, Value: (-0.01171875,0.02734375,0.00390625)},Magnetic: {Time: 3050, Status: 1, Value: (-28.9375,29.3125,-17.1875)},Gravity: {Time: 3112, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 3109, Status: 0, Value: (-0.015625,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:03.228612: {Acceleration: {Time: 3212, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3202, Status: 3, Value: (-0.01171875,-0.01953125,-0.0703125)},Magnetic: {Time: 3205, Status: 1, Value: (-31.0,29.25,-16.625)},Gravity: {Time: 3188, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3215, Status: 0, Value: (-0.015625,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:03.317949: {Acceleration: {Time: 3301, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3275, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 3289, Status: 1, Value: (-31.0625,30.5,-16.875)},Gravity: {Time: 3272, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3305, Status: 0, Value: (-0.015625,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:03.431585: {Acceleration: {Time: 3416, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3389, Status: 3, Value: (-0.01171875,0.02734375,-0.03515625)},Magnetic: {Time: 3403, Status: 1, Value: (-31.9375,30.25,-16.4375)},Gravity: {Time: 3387, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 3418, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:03.518837: {Acceleration: {Time: 3502, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3465, Status: 3, Value: (-0.01171875,-0.01171875,0.04296875)},Magnetic: {Time: 3442, Status: 1, Value: (-31.8125,30.1875,-17.5625)},Gravity: {Time: 3462, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 3506, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:03.629302: {Acceleration: {Time: 3614, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3607, Status: 3, Value: (0.02734375,0.02734375,0.00390625)},Magnetic: {Time: 3610, Status: 1, Value: (-32.3125,30.9375,-17.125)},Gravity: {Time: 3604, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 3616, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:03.718563: {Acceleration: {Time: 3702, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3692, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 3696, Status: 1, Value: (-30.4375,29.8125,-15.875)},Gravity: {Time: 3678, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3706, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:03.825403: {Acceleration: {Time: 3813, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3777, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 3780, Status: 1, Value: (-31.375,30.8125,-17.9375)},Gravity: {Time: 3774, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3809, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:03.939962: {Acceleration: {Time: 3927, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3915, Status: 3, Value: (-0.01171875,-0.01171875,0.01171875)},Magnetic: {Time: 3919, Status: 1, Value: (-30.3125,29.5,-16.25)},Gravity: {Time: 3912, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 3921, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:04.029791: {Acceleration: {Time: 4015, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4007, Status: 3, Value: (0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 4011, Status: 1, Value: (-30.25,29.4375,-17.0625)},Gravity: {Time: 4004, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4017, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:04.139680: {Acceleration: {Time: 4127, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4076, Status: 3, Value: (-0.01171875,-0.01953125,-0.0703125)},Magnetic: {Time: 4090, Status: 1, Value: (-31.0,29.25,-16.625)},Gravity: {Time: 4073, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4122, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:04.237449: {Acceleration: {Time: 4216, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4225, Status: 3, Value: (-0.01171875,0.01953125,-0.02734375)},Magnetic: {Time: 4186, Status: 1, Value: (-31.375,30.125,-17.625)},Gravity: {Time: 4222, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4219, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:04.337994: {Acceleration: {Time: 4317, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4326, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 4285, Status: 1, Value: (-30.0625,28.4375,-17.4375)},Gravity: {Time: 4322, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4319, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
