0:00:02.936114: {Acceleration: {Time: 2903, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2844, Status: 3, Value: (-0.01171875,0.01171875,0.00390625)},Magnetic: {Time: 2858, Status: 1, Value: (-29.125,28.8125,-15.5625)},Gravity: {Time: 2840, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 2897, Status: 0, Value: (-0.01495361328125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:03.028400: {Acceleration: {Time: 2993, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2985, Status: 3, Value: (-0.01171875,0.01171875,0.00390625)},Magnetic: {Time: 2988, Status: 1, Value: (-29.1875,28.1875,-14.875)},Gravity: {Time: 2982, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 2995, Status: 0, Value: (-0.01495361328125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:03.114058: {Acceleration: {Time: 3078, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3052, Status: 3, Value: (-0.01171875,0.01171875,0.00390625)},Magnetic: {Time: 3066, Status: 1, Value: (-29.375,29.5625,-14.3125)},Gravity: {Time: 3049, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 3081, Status: 0, Value: (-0.01495361328125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:03.230906: {Acceleration: {Time: 3195, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3188, Status: 3, Value: (-0.01171875,0.01171875,-0.03515625)},Magnetic: {Time: 3190, Status: 1, Value: (-28.6875,28.125,-15.25)},Gravity: {Time: 3184, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 3198, Status: 0, Value: (-0.01495361328125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:03.313481: {Acceleration: {Time: 3280, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3271, Status: 3, Value: (-0.01171875,0.01171875,-0.03515625)},Magnetic: {Time: 3274, Status: 1, Value: (-29.5625,28.1875,-14.8125)},Gravity: {Time: 3268, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 3277, Status: 0, Value: (-0.01495361328125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:03.419711: {Acceleration: {Time: 3379, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3387, Status: 3, Value: (-0.01171875,-0.02734375,0.00390625)},Magnetic: {Time: 3328, Status: 1, Value: (-29.125,28.125,-15.1875)},Gravity: {Time: 3384, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 3381, Status: 0, Value: (-0.01495361328125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:03.545577: {Acceleration: {Time: 3510, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3484, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 3498, Status: 1, Value: (-29.5,29.75,-16.3125)},Gravity: {Time: 3481, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 3512, Status: 0, Value: (-0.014892578125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:03.624428: {Acceleration: {Time: 3589, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3532, Status: 3, Value: (0.02734375,-0.02734375,0.01171875)},Magnetic: {Time: 3536, Status: 1, Value: (-29.1875,28.1875,-14.5)},Gravity: {Time: 3529, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 3583, Status: 0, Value: (-0.014892578125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:03.731817: {Acceleration: {Time: 3696, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3676, Status: 3, Value: (-0.01953125,0.01953125,0.04296875)},Magnetic: {Time: 3690, Status: 1, Value: (-28.5625,27.4375,-16.0625)},Gravity: {Time: 3674, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3670, Status: 0, Value: (-0.014892578125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:03.821409: {Acceleration: {Time: 3786, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3773, Status: 3, Value: (-0.01171875,-0.02734375,0.00390625)},Magnetic: {Time: 3778, Status: 1, Value: (-28.6875,28.4375,-15.6875)},Gravity: {Time: 3759, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 3789, Status: 0, Value: (-0.01495361328125,-0.0029296875,-0.39892578125, 0.9168701171875)}}
