0:00:02.243555 {Acceleration: {Time: 2176, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 2138, Status: 3, Value: (0.0390625,-0.0078125,0.01171875)},Magnetic: {Time: 2141, Status: 1, Value: (-34.125,23.8125,-13.0625)},Gravity: {Time: 2124, Status: 3, Value: (0.140625,0.0859375,9.7109375)}, Rotation: {Time: 2173, Status: 0, Value: (0.0003662109375,-0.0086669921875,-0.4588623046875, 0.88848876953125)}}
0:00:02.337950 {Acceleration: {Time: 2263, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 2272, Status: 3, Value: (-0.0078125,-0.0078125,0.00390625)},Magnetic: {Time: 2210, Status: 1, Value: (-34.875,24.8125,-12.625)},Gravity: {Time: 2269, Status: 3, Value: (0.1484375,0.0859375,9.71875)}, Rotation: {Time: 2266, Status: 0, Value: (0.00042724609375,-0.0086669921875,-0.45880126953125, 0.88848876953125)}}
0:00:02.432115 {Acceleration: {Time: 2365, Status: 0, Value: (0.001953125,0.00390625,0.001953125)},Gyroscope: {Time: 2272, Status: 3, Value: (-0.0078125,-0.0078125,0.00390625)},Magnetic: {Time: 2306, Status: 1, Value: (-35.375,24.5625,-13.3125)},Gravity: {Time: 2368, Status: 3, Value: (0.1484375,0.0859375,9.71875)}, Rotation: {Time: 2362, Status: 0, Value: (0.00042724609375,-0.0086669921875,-0.4588623046875, 0.88848876953125)}}
0:00:02.526300 {Acceleration: {Time: 2457, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 2433, Status: 3, Value: (-0.0078125,0.0,-0.03515625)},Magnetic: {Time: 2447, Status: 1, Value: (-35.0625,23.3125,-14.125)},Gravity: {Time: 2465, Status: 3, Value: (0.1484375,0.078125,9.71875)}, Rotation: {Time: 2459, Status: 0, Value: (0.00042724609375,-0.0086669921875,-0.45880126953125, 0.88848876953125)}}
0:00:02.620305 {Acceleration: {Time: 2564, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2552, Status: 3, Value: (0.03125,0.0390625,-0.03515625)},Magnetic: {Time: 2556, Status: 1, Value: (-34.75,22.8125,-12.9375)},Gravity: {Time: 2549, Status: 3, Value: (0.1484375,0.078125,9.71875)}, Rotation: {Time: 2558, Status: 0, Value: (0.00042724609375,-0.0086669921875,-0.45880126953125, 0.88848876953125)}}
0:00:02.698776 {Acceleration: {Time: 2652, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2645, Status: 3, Value: (-0.046875,-0.0390625,0.00390625)},Magnetic: {Time: 2648, Status: 1, Value: (-34.375,23.5,-12.625)},Gravity: {Time: 2641, Status: 3, Value: (0.1484375,0.078125,9.71875)}, Rotation: {Time: 2655, Status: 0, Value: (0.0003662109375,-0.0086669921875,-0.45880126953125, 0.88848876953125)}}
0:00:02.871151 {Acceleration: {Time: 2804, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2778, Status: 3, Value: (-0.0078125,0.0,0.04296875)},Magnetic: {Time: 2792, Status: 1, Value: (-34.9375,23.6875,-12.5625)},Gravity: {Time: 2776, Status: 3, Value: (0.1484375,0.078125,9.71875)}, Rotation: {Time: 2806, Status: 0, Value: (0.0003662109375,-0.0086669921875,-0.45880126953125, 0.88848876953125)}}
0:00:02.965392 {Acceleration: {Time: 2902, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2865, Status: 3, Value: (0.03125,-0.0390625,0.00390625)},Magnetic: {Time: 2868, Status: 1, Value: (-34.75,23.9375,-12.5625)},Gravity: {Time: 2862, Status: 3, Value: (0.1484375,0.078125,9.71875)}, Rotation: {Time: 2898, Status: 0, Value: (0.0003662109375,-0.0086669921875,-0.45880126953125, 0.88848876953125)}}
0:00:03.059464 {Acceleration: {Time: 2993, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2985, Status: 3, Value: (0.03125,0.0,0.01171875)},Magnetic: {Time: 2987, Status: 1, Value: (-34.3125,22.25,-13.375)},Gravity: {Time: 2982, Status: 3, Value: (0.1484375,0.078125,9.7109375)}, Rotation: {Time: 2995, Status: 0, Value: (0.0003662109375,-0.0086669921875,-0.45880126953125, 0.88848876953125)}}
0:00:03.153729 {Acceleration: {Time: 3092, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3054, Status: 3, Value: (-0.0078125,0.0,0.01171875)},Magnetic: {Time: 3058, Status: 1, Value: (-34.9375,23.25,-12.125)},Gravity: {Time: 3051, Status: 3, Value: (0.1484375,0.078125,9.7109375)}, Rotation: {Time: 3088, Status: 0, Value: (0.0003662109375,-0.0086669921875,-0.45880126953125, 0.88848876953125)}}
