0:00:02.927092: {Acceleration: {Time: 2865, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2830, Status: 3, Value: (0.01171875,0.01171875,-0.015625)},Magnetic: {Time: 2833, Status: 2, Value: (-24.0625,-12.375,-31.5625)},Gravity: {Time: 2816, Status: 3, Value: (-0.078125,0.3359375,9.8671875)}, Rotation: {Time: 2859, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:03.010519: {Acceleration: {Time: 2951, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2892, Status: 3, Value: (0.01171875,0.01171875,-0.015625)},Magnetic: {Time: 2894, Status: 2, Value: (-23.875,-12.875,-29.9375)},Gravity: {Time: 2888, Status: 3, Value: (-0.078125,0.3359375,9.8671875)}, Rotation: {Time: 2953, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:03.127268: {Acceleration: {Time: 3065, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3038, Status: 3, Value: (0.01171875,0.00390625,0.03125)},Magnetic: {Time: 3052, Status: 2, Value: (-23.3125,-12.0,-29.3125)},Gravity: {Time: 3036, Status: 3, Value: (-0.078125,0.34375,9.859375)}, Rotation: {Time: 3067, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:03.210662: {Acceleration: {Time: 3150, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3123, Status: 3, Value: (0.01171875,0.01171875,-0.015625)},Magnetic: {Time: 3137, Status: 2, Value: (-23.75,-12.375,-30.25)},Gravity: {Time: 3121, Status: 3, Value: (-0.078125,0.3359375,9.8671875)}, Rotation: {Time: 3152, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:03.293931: {Acceleration: {Time: 3231, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3239, Status: 3, Value: (0.01171875,0.00390625,-0.0078125)},Magnetic: {Time: 3176, Status: 2, Value: (-23.875,-12.8125,-30.875)},Gravity: {Time: 3236, Status: 3, Value: (-0.078125,0.34375,9.859375)}, Rotation: {Time: 3233, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:03.393756: {Acceleration: {Time: 3333, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3296, Status: 3, Value: (0.01171875,0.00390625,-0.0078125)},Magnetic: {Time: 3272, Status: 2, Value: (-24.3125,-13.5,-29.5625)},Gravity: {Time: 3292, Status: 3, Value: (-0.078125,0.34375,9.859375)}, Rotation: {Time: 3336, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:03.510497: {Acceleration: {Time: 3453, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3418, Status: 3, Value: (0.01171875,0.00390625,-0.0078125)},Magnetic: {Time: 3420, Status: 2, Value: (-24.0625,-12.5,-30.5625)},Gravity: {Time: 3415, Status: 3, Value: (-0.078125,0.34375,9.859375)}, Rotation: {Time: 3450, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:03.576851: {Acceleration: {Time: 3517, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3486, Status: 3, Value: (-0.0234375,0.00390625,-0.0078125)},Magnetic: {Time: 3420, Status: 2, Value: (-24.0625,-12.5,-30.5625)},Gravity: {Time: 3415, Status: 3, Value: (-0.078125,0.34375,9.859375)}, Rotation: {Time: 3511, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:03.677254: {Acceleration: {Time: 3617, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3576, Status: 3, Value: (0.01171875,-0.02734375,-0.015625)},Magnetic: {Time: 3580, Status: 2, Value: (-23.5625,-12.8125,-29.25)},Gravity: {Time: 3573, Status: 3, Value: (-0.078125,0.3359375,9.8671875)}, Rotation: {Time: 3611, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:03.777169: {Acceleration: {Time: 3707, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3716, Status: 3, Value: (0.01171875,0.01171875,-0.0546875)},Magnetic: {Time: 3676, Status: 2, Value: (-24.6875,-13.4375,-31.5)},Gravity: {Time: 3713, Status: 3, Value: (-0.078125,0.3359375,9.8671875)}, Rotation: {Time: 3709, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:03.877170: {Acceleration: {Time: 3813, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3787, Status: 3, Value: (0.00390625,0.00390625,-0.0546875)},Magnetic: {Time: 3801, Status: 2, Value: (-25.0,-13.75,-29.5625)},Gravity: {Time: 3783, Status: 3, Value: (-0.0703125,0.34375,9.8671875)}, Rotation: {Time: 3816, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:03.977251: {Acceleration: {Time: 3910, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3900, Status: 3, Value: (-0.03125,0.00390625,-0.0078125)},Magnetic: {Time: 3904, Status: 2, Value: (-25.0,-13.625,-30.5625)},Gravity: {Time: 3886, Status: 3, Value: (-0.0703125,0.34375,9.859375)}, Rotation: {Time: 3913, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:04.052137: {Acceleration: {Time: 3998, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3991, Status: 3, Value: (-0.03125,0.00390625,-0.0078125)},Magnetic: {Time: 3993, Status: 2, Value: (-24.6875,-13.5625,-30.1875)},Gravity: {Time: 3988, Status: 3, Value: (-0.0703125,0.34375,9.859375)}, Rotation: {Time: 4001, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:04.153371: {Acceleration: {Time: 4097, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4033, Status: 3, Value: (-0.03125,0.00390625,-0.0078125)},Magnetic: {Time: 4037, Status: 2, Value: (-23.5625,-12.75,-30.25)},Gravity: {Time: 4099, Status: 3, Value: (-0.0703125,0.3515625,9.859375)}, Rotation: {Time: 4093, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:04.260674: {Acceleration: {Time: 4189, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4197, Status: 3, Value: (0.00390625,-0.04296875,-0.0078125)},Magnetic: {Time: 4132, Status: 2, Value: (-23.1875,-12.625,-30.25)},Gravity: {Time: 4194, Status: 3, Value: (-0.0703125,0.3515625,9.859375)}, Rotation: {Time: 4191, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:04.327247: {Acceleration: {Time: 4267, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4256, Status: 3, Value: (0.00390625,0.0390625,-0.0078125)},Magnetic: {Time: 4260, Status: 2, Value: (-23.875,-12.75,-31.1875)},Gravity: {Time: 4253, Status: 3, Value: (-0.0703125,0.34375,9.859375)}, Rotation: {Time: 4262, Status: 0, Value: (0.01165771484375,-0.0133056640625,-0.87420654296875, 0.48516845703125)}}
0:00:04.429911: {Acceleration: {Time: 4381, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4374, Status: 3, Value: (0.00390625,0.00390625,0.0)},Magnetic: {Time: 4378, Status: 2, Value: (-23.875,-12.875,-29.5625)},Gravity: {Time: 4371, Status: 3, Value: (-0.0703125,0.34375,9.8515625)}, Rotation: {Time: 4383, Status: 0, Value: (0.01165771484375,-0.0133056640625,-0.87420654296875, 0.48516845703125)}}
0:00:04.527524: {Acceleration: {Time: 4467, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4441, Status: 3, Value: (0.00390625,-0.00390625,0.0)},Magnetic: {Time: 4455, Status: 2, Value: (-23.5,-11.5,-30.3125)},Gravity: {Time: 4439, Status: 3, Value: (-0.0703125,0.3515625,9.8515625)}, Rotation: {Time: 4469, Status: 0, Value: (0.01165771484375,-0.0133056640625,-0.87420654296875, 0.48516845703125)}}
0:00:04.606134: {Acceleration: {Time: 4552, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4545, Status: 3, Value: (0.00390625,0.03125,0.0)},Magnetic: {Time: 4549, Status: 2, Value: (-24.25,-14.1875,-30.4375)},Gravity: {Time: 4542, Status: 3, Value: (-0.0703125,0.3515625,9.8515625)}, Rotation: {Time: 4554, Status: 0, Value: (0.01165771484375,-0.0133056640625,-0.87420654296875, 0.48516845703125)}}
0:00:04.693764: {Acceleration: {Time: 4640, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4584, Status: 3, Value: (0.00390625,-0.00390625,0.03125)},Magnetic: {Time: 4598, Status: 2, Value: (-24.1875,-14.3125,-29.5)},Gravity: {Time: 4581, Status: 3, Value: (-0.0703125,0.3515625,9.859375)}, Rotation: {Time: 4642, Status: 0, Value: (0.01165771484375,-0.0133056640625,-0.87420654296875, 0.48516845703125)}}
0:00:04.793905: {Acceleration: {Time: 4736, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4699, Status: 3, Value: (-0.03125,0.00390625,-0.0078125)},Magnetic: {Time: 4701, Status: 2, Value: (-23.3125,-11.9375,-29.9375)},Gravity: {Time: 4696, Status: 3, Value: (-0.0703125,0.34375,9.859375)}, Rotation: {Time: 4732, Status: 0, Value: (0.01165771484375,-0.01336669921875,-0.87420654296875, 0.48516845703125)}}
0:00:04.893915: {Acceleration: {Time: 4824, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4832, Status: 3, Value: (0.01171875,0.00390625,-0.0078125)},Magnetic: {Time: 4771, Status: 2, Value: (-25.0,-13.75,-29.25)},Gravity: {Time: 4830, Status: 3, Value: (-0.078125,0.34375,9.859375)}, Rotation: {Time: 4828, Status: 0, Value: (0.01165771484375,-0.01336669921875,-0.87420654296875, 0.48516845703125)}}
0:00:05.015941: {Acceleration: {Time: 4954, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4913, Status: 3, Value: (-0.0234375,0.00390625,-0.0078125)},Magnetic: {Time: 4917, Status: 2, Value: (-23.4375,-12.25,-30.5625)},Gravity: {Time: 4957, Status: 3, Value: (-0.078125,0.34375,9.859375)}, Rotation: {Time: 4949, Status: 0, Value: (0.01165771484375,-0.01336669921875,-0.87420654296875, 0.48516845703125)}}
0:00:05.063888: {Acceleration: {Time: 5025, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4984, Status: 3, Value: (0.01171875,0.0390625,-0.0078125)},Magnetic: {Time: 4991, Status: 2, Value: (-23.3125,-11.75,-31.5625)},Gravity: {Time: 4957, Status: 3, Value: (-0.078125,0.34375,9.859375)}, Rotation: {Time: 5022, Status: 0, Value: (0.01171875,-0.01336669921875,-0.87420654296875, 0.48516845703125)}}
