0:00:02.760016 {Acceleration: {Time: 2719, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2709, Status: 3, Value: (-0.01953125,-0.02734375,-0.03515625)},Magnetic: {Time: 2712, Status: 1, Value: (-28.875,29.1875,-14.5)},Gravity: {Time: 2695, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2721, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.398681640625, 0.91693115234375)}}
0:00:02.902183 {Acceleration: {Time: 2863, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2854, Status: 3, Value: (-0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 2857, Status: 1, Value: (-30.125,28.9375,-14.375)},Gravity: {Time: 2850, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2859, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.398681640625, 0.91693115234375)}}
0:00:03.008789 {Acceleration: {Time: 2961, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2970, Status: 3, Value: (0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 2911, Status: 1, Value: (-28.5,27.4375,-16.5)},Gravity: {Time: 2968, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 2963, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.398681640625, 0.91693115234375)}}
0:00:03.130066 {Acceleration: {Time: 3090, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3030, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 3033, Status: 1, Value: (-29.9375,28.875,-15.5)},Gravity: {Time: 3092, Status: 3, Value: (0.171875,-0.25,9.6328125)}, Rotation: {Time: 3086, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38714599609375, 0.921875)}}
0:00:03.246704 {Acceleration: {Time: 3197, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3207, Status: 3, Value: (-0.01953125,-0.01953125,0.01953125)},Magnetic: {Time: 3191, Status: 1, Value: (-29.5625,28.5,-15.1875)},Gravity: {Time: 3204, Status: 3, Value: (0.171875,-0.25,9.6328125)}, Rotation: {Time: 3199, Status: 0, Value: (-0.01544189453125,-0.003173828125,-0.38714599609375, 0.921875)}}
0:00:03.343525 {Acceleration: {Time: 3297, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3306, Status: 3, Value: (-0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 3240, Status: 1, Value: (-29.375,28.4375,-16.6875)},Gravity: {Time: 3303, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3299, Status: 0, Value: (-0.01544189453125,-0.003173828125,-0.38714599609375, 0.921875)}}
0:00:03.464798 {Acceleration: {Time: 3425, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3417, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 3421, Status: 1, Value: (-30.3125,28.875,-16.25)},Gravity: {Time: 3414, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3427, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38714599609375, 0.921875)}}
0:00:03.575283 {Acceleration: {Time: 3538, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3487, Status: 3, Value: (0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 3501, Status: 1, Value: (-29.375,27.75,-16.375)},Gravity: {Time: 3483, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3533, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38714599609375, 0.921875)}}
0:00:03.700962 {Acceleration: {Time: 3656, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3636, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 3650, Status: 1, Value: (-28.125,28.375,-16.5)},Gravity: {Time: 3633, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3629, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38714599609375, 0.921875)}}
0:00:03.899092 {Acceleration: {Time: 3779, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3718, Status: 3, Value: (0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 3732, Status: 1, Value: (-29.25,29.1875,-14.8125)},Gravity: {Time: 3715, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3772, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38714599609375, 0.921875)}}
0:00:03.914754 {Acceleration: {Time: 3868, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3877, Status: 3, Value: (0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 3811, Status: 1, Value: (-29.4375,27.5,-15.625)},Gravity: {Time: 3874, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3871, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38714599609375, 0.921875)}}
0:00:04.010888 {Acceleration: {Time: 3969, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3974, Status: 3, Value: (-0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 3908, Status: 1, Value: (-29.5,28.8125,-15.9375)},Gravity: {Time: 3972, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 3965, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38714599609375, 0.921875)}}
0:00:04.243917 {Acceleration: {Time: 4118, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4080, Status: 3, Value: (0.01953125,-0.01953125,0.04296875)},Magnetic: {Time: 4082, Status: 1, Value: (-29.125,28.5,-15.25)},Gravity: {Time: 4077, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4113, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38714599609375, 0.921875)}}
0:00:04.253331 {Acceleration: {Time: 4214, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4172, Status: 3, Value: (0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 4176, Status: 1, Value: (-30.4375,29.875,-15.75)},Gravity: {Time: 4216, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 4210, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38714599609375, 0.921875)}}
0:00:04.386850 {Acceleration: {Time: 4338, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4298, Status: 3, Value: (-0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 4302, Status: 1, Value: (-29.1875,28.1875,-14.5)},Gravity: {Time: 4295, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 4333, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38714599609375, 0.921875)}}
0:00:04.504868 {Acceleration: {Time: 4456, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4449, Status: 3, Value: (-0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 4452, Status: 1, Value: (-29.5625,28.1875,-15.1875)},Gravity: {Time: 4446, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 4458, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38714599609375, 0.921875)}}
0:00:04.616396 {Acceleration: {Time: 4574, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4518, Status: 3, Value: (0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 4532, Status: 1, Value: (-29.0625,28.4375,-15.625)},Gravity: {Time: 4514, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 4571, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38714599609375, 0.921875)}}
0:00:04.699068 {Acceleration: {Time: 4659, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4651, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 4653, Status: 1, Value: (-28.0625,27.6875,-16.5625)},Gravity: {Time: 4648, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4661, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38714599609375, 0.921875)}}
0:00:04.813802 {Acceleration: {Time: 4774, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 4747, Status: 3, Value: (-0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 4761, Status: 1, Value: (-28.5625,28.0625,-16.0625)},Gravity: {Time: 4743, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 4777, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38714599609375, 0.921875)}}
0:00:04.926596 {Acceleration: {Time: 4888, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 4861, Status: 3, Value: (-0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 4875, Status: 1, Value: (-30.0625,27.6875,-14.0)},Gravity: {Time: 4858, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 4890, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3870849609375, 0.92193603515625)}}
0:00:05.346207 {Acceleration: {Time: 5310, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 5258, Status: 3, Value: (-0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 5272, Status: 1, Value: (-29.5,27.25,-14.875)},Gravity: {Time: 5254, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 5305, Status: 0, Value: (-0.0152587890625,-0.003173828125,-0.3870849609375, 0.92193603515625)}}
0:00:05.475273 {Acceleration: {Time: 5436, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5410, Status: 3, Value: (0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 5424, Status: 1, Value: (-29.5,29.125,-15.9375)},Gravity: {Time: 5406, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 5439, Status: 0, Value: (-0.01531982421875,-0.003173828125,-0.3870849609375, 0.921875)}}
0:00:05.590697 {Acceleration: {Time: 5551, Status: 0, Value: (0.00390625,-0.001953125,0.0)},Gyroscope: {Time: 5544, Status: 3, Value: (0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 5547, Status: 1, Value: (-29.1875,28.8125,-15.25)},Gravity: {Time: 5541, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 5553, Status: 0, Value: (-0.01531982421875,-0.003173828125,-0.3870849609375, 0.921875)}}
0:00:05.709600 {Acceleration: {Time: 5660, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 5670, Status: 3, Value: (0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 5654, Status: 1, Value: (-28.875,29.1875,-14.5)},Gravity: {Time: 5668, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 5663, Status: 0, Value: (-0.01531982421875,-0.003173828125,-0.3870849609375, 0.921875)}}
0:00:05.806003 {Acceleration: {Time: 5761, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5770, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 5702, Status: 1, Value: (-28.375,28.8125,-14.9375)},Gravity: {Time: 5766, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5763, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3870849609375, 0.92193603515625)}}
0:00:05.926211 {Acceleration: {Time: 5888, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5881, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 5884, Status: 1, Value: (-30.0,28.875,-15.125)},Gravity: {Time: 5877, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5891, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3870849609375, 0.92193603515625)}}
0:00:06.040968 {Acceleration: {Time: 6006, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 5949, Status: 3, Value: (-0.01171875,0.01953125,-0.02734375)},Magnetic: {Time: 5963, Status: 1, Value: (-28.75,29.4375,-15.625)},Gravity: {Time: 5946, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 6003, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3870849609375, 0.92193603515625)}}
0:00:06.128572 {Acceleration: {Time: 6091, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 6084, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 6086, Status: 1, Value: (-29.375,29.875,-14.375)},Gravity: {Time: 6080, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 6094, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.3870849609375, 0.92193603515625)}}
0:00:06.368361 {Acceleration: {Time: 6234, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 6207, Status: 3, Value: (0.02734375,0.01953125,-0.03515625)},Magnetic: {Time: 6222, Status: 1, Value: (-30.0,29.5625,-15.4375)},Gravity: {Time: 6205, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 6236, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.3870849609375, 0.92193603515625)}}
