0:00:02.414034: {Acceleration: {Time: 2384, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2393, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2353, Status: 1, Value: (-29.4375,28.8125,-16.125)},Gravity: {Time: 2390, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2387, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.385009765625, 0.92279052734375)}}
0:00:02.499105: {Acceleration: {Time: 2479, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2443, Status: 3, Value: (0.01953125,-0.01171875,-0.02734375)},Magnetic: {Time: 2446, Status: 1, Value: (-29.25,29.1875,-14.6875)},Gravity: {Time: 2440, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 2475, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.385009765625, 0.92279052734375)}}
0:00:02.611746: {Acceleration: {Time: 2591, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2581, Status: 3, Value: (-0.05859375,0.02734375,-0.1796875)},Magnetic: {Time: 2585, Status: 1, Value: (-30.1875,28.125,-16.5)},Gravity: {Time: 2578, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 2587, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.385009765625, 0.92279052734375)}}
0:00:02.718668: {Acceleration: {Time: 2698, Status: 0, Value: (-0.005859375,-0.001953125,0.0)},Gyroscope: {Time: 2685, Status: 3, Value: (-0.05859375,0.05859375,0.01171875)},Magnetic: {Time: 2688, Status: 1, Value: (-29.4375,28.4375,-16.25)},Gravity: {Time: 2671, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2695, Status: 0, Value: (-0.01580810546875,-0.0030517578125,-0.385009765625, 0.92279052734375)}}
0:00:02.814659: {Acceleration: {Time: 2785, Status: 0, Value: (-0.00390625,-0.00390625,-0.001953125)},Gyroscope: {Time: 2794, Status: 3, Value: (-0.06640625,0.10546875,-0.0625)},Magnetic: {Time: 2730, Status: 1, Value: (-28.5,28.6875,-17.0)},Gravity: {Time: 2791, Status: 3, Value: (0.1796875,-0.2578125,9.640625)}, Rotation: {Time: 2788, Status: 0, Value: (-0.015869140625,-0.0030517578125,-0.385009765625, 0.92279052734375)}}
0:00:02.921479: {Acceleration: {Time: 2899, Status: 0, Value: (0.00390625,0.00390625,0.0)},Gyroscope: {Time: 2873, Status: 3, Value: (-0.06640625,0.06640625,0.01171875)},Magnetic: {Time: 2887, Status: 1, Value: (-28.5,28.6875,-17.0625)},Gravity: {Time: 2870, Status: 3, Value: (0.1796875,-0.2578125,9.640625)}, Rotation: {Time: 2901, Status: 0, Value: (-0.0159912109375,-0.00341796875,-0.38592529296875, 0.92236328125)}}
0:00:03.004774: {Acceleration: {Time: 2977, Status: 0, Value: (-0.001953125,-0.00390625,0.0)},Gyroscope: {Time: 2985, Status: 3, Value: (0.05859375,-0.0546875,0.01171875)},Magnetic: {Time: 2927, Status: 1, Value: (-29.125,29.4375,-15.875)},Gravity: {Time: 2982, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2979, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38592529296875, 0.92236328125)}}
0:00:03.121723: {Acceleration: {Time: 3102, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 3065, Status: 3, Value: (0.02734375,-0.01953125,0.05859375)},Magnetic: {Time: 3068, Status: 1, Value: (-27.6875,28.625,-17.5625)},Gravity: {Time: 3062, Status: 3, Value: (0.1640625,-0.25,9.6328125)}, Rotation: {Time: 3098, Status: 0, Value: (-0.0152587890625,-0.00286865234375,-0.38592529296875, 0.92236328125)}}
0:00:03.229521: {Acceleration: {Time: 3207, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 3144, Status: 3, Value: (0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 3146, Status: 1, Value: (-29.8125,28.4375,-16.5625)},Gravity: {Time: 3141, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3210, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.385986328125, 0.92236328125)}}
0:00:03.315799: {Acceleration: {Time: 3287, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 3296, Status: 3, Value: (0.01953125,0.01953125,0.05078125)},Magnetic: {Time: 3232, Status: 1, Value: (-29.0,28.75,-16.625)},Gravity: {Time: 3294, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3290, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.385986328125, 0.92236328125)}}
0:00:03.414014: {Acceleration: {Time: 3386, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 3394, Status: 3, Value: (0.05859375,-0.01953125,-0.02734375)},Magnetic: {Time: 3330, Status: 1, Value: (-29.125,29.75,-16.125)},Gravity: {Time: 3391, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3389, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38592529296875, 0.92236328125)}}
0:00:03.535006: {Acceleration: {Time: 3515, Status: 0, Value: (0.001953125,0.00390625,0.001953125)},Gyroscope: {Time: 3477, Status: 3, Value: (-0.05859375,-0.01953125,-0.02734375)},Magnetic: {Time: 3480, Status: 1, Value: (-27.75,28.0,-16.8125)},Gravity: {Time: 3474, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3511, Status: 0, Value: (-0.01544189453125,-0.00323486328125,-0.38592529296875, 0.92236328125)}}
0:00:03.634308: {Acceleration: {Time: 3606, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 3615, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 3574, Status: 1, Value: (-29.5625,29.1875,-15.75)},Gravity: {Time: 3612, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3608, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38592529296875, 0.92242431640625)}}
0:00:03.726488: {Acceleration: {Time: 3705, Status: 0, Value: (0.001953125,0.005859375,0.0)},Gyroscope: {Time: 3697, Status: 3, Value: (0.01953125,-0.01171875,-0.09375)},Magnetic: {Time: 3699, Status: 1, Value: (-29.4375,29.125,-16.5625)},Gravity: {Time: 3694, Status: 3, Value: (0.171875,-0.2578125,9.6328125)}, Rotation: {Time: 3707, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38592529296875, 0.92236328125)}}
0:00:03.837114: {Acceleration: {Time: 3815, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 3809, Status: 3, Value: (-0.01953125,0.02734375,0.02734375)},Magnetic: {Time: 3811, Status: 1, Value: (-28.625,29.3125,-16.625)},Gravity: {Time: 3805, Status: 3, Value: (0.171875,-0.2578125,9.625)}, Rotation: {Time: 3818, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38592529296875, 0.92242431640625)}}
0:00:03.946001: {Acceleration: {Time: 3927, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 3876, Status: 3, Value: (-0.01953125,-0.01171875,0.02734375)},Magnetic: {Time: 3890, Status: 1, Value: (-29.4375,29.375,-16.9375)},Gravity: {Time: 3873, Status: 3, Value: (0.171875,-0.2578125,9.625)}, Rotation: {Time: 3921, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3858642578125, 0.92242431640625)}}
0:00:04.043807: {Acceleration: {Time: 4016, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4025, Status: 3, Value: (-0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 3958, Status: 1, Value: (-28.75,28.3125,-18.125)},Gravity: {Time: 4021, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4018, Status: 0, Value: (-0.01544189453125,-0.00323486328125,-0.3858642578125, 0.92242431640625)}}
0:00:04.144173: {Acceleration: {Time: 4116, Status: 0, Value: (-0.001953125,0.0,-0.00390625)},Gyroscope: {Time: 4125, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 4085, Status: 1, Value: (-28.75,28.8125,-15.125)},Gravity: {Time: 4122, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4119, Status: 0, Value: (-0.01519775390625,-0.0028076171875,-0.3880615234375, 0.9215087890625)}}
0:00:04.250905: {Acceleration: {Time: 4230, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4203, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 4217, Status: 1, Value: (-28.25,28.0625,-15.9375)},Gravity: {Time: 4201, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4232, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.3880615234375, 0.9215087890625)}}
0:00:04.335234: {Acceleration: {Time: 4308, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 4316, Status: 3, Value: (0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 4255, Status: 1, Value: (-28.1875,28.375,-16.75)},Gravity: {Time: 4313, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4311, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.3880615234375, 0.9215087890625)}}
0:00:04.434545: {Acceleration: {Time: 4412, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 4386, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 4400, Status: 1, Value: (-29.375,27.5,-15.9375)},Gravity: {Time: 4383, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4416, Status: 0, Value: (-0.01544189453125,-0.003173828125,-0.38800048828125, 0.9215087890625)}}
0:00:04.551066: {Acceleration: {Time: 4530, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4523, Status: 3, Value: (0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 4527, Status: 1, Value: (-29.125,29.4375,-15.8125)},Gravity: {Time: 4520, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4532, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.3880615234375, 0.9215087890625)}}
0:00:04.637393: {Acceleration: {Time: 4616, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 4591, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4604, Status: 1, Value: (-29.5625,28.5625,-15.0)},Gravity: {Time: 4588, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4619, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38812255859375, 0.92144775390625)}}
0:00:04.753923: {Acceleration: {Time: 4732, Status: 0, Value: (0.00390625,0.001953125,-0.001953125)},Gyroscope: {Time: 4694, Status: 3, Value: (0.01953125,-0.01953125,0.05078125)},Magnetic: {Time: 4697, Status: 1, Value: (-29.5,28.5,-15.8125)},Gravity: {Time: 4735, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4728, Status: 0, Value: (-0.01544189453125,-0.003173828125,-0.38818359375, 0.92144775390625)}}
0:00:04.847206: {Acceleration: {Time: 4829, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4803, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 4817, Status: 1, Value: (-28.625,28.0625,-15.9375)},Gravity: {Time: 4800, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4826, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38189697265625, 0.924072265625)}}
0:00:04.943702: {Acceleration: {Time: 4923, Status: 0, Value: (0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 4886, Status: 3, Value: (0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 4862, Status: 1, Value: (-28.4375,29.125,-15.125)},Gravity: {Time: 4883, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4926, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38189697265625, 0.924072265625)}}
0:00:05.028938: {Acceleration: {Time: 5009, Status: 0, Value: (0.00390625,0.0,0.001953125)},Gyroscope: {Time: 4945, Status: 3, Value: (0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 4949, Status: 1, Value: (-28.6875,29.125,-15.875)},Gravity: {Time: 5011, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 5005, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38189697265625, 0.924072265625)}}
0:00:05.150718: {Acceleration: {Time: 5128, Status: 0, Value: (0.005859375,0.0,-0.001953125)},Gyroscope: {Time: 5133, Status: 3, Value: (0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 5044, Status: 1, Value: (-28.125,28.0,-16.75)},Gravity: {Time: 5130, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 5124, Status: 0, Value: (-0.01593017578125,-0.00347900390625,-0.38189697265625, 0.924072265625)}}
0:00:05.232234: {Acceleration: {Time: 5214, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5133, Status: 3, Value: (0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 5149, Status: 1, Value: (-29.9375,28.1875,-15.4375)},Gravity: {Time: 5130, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 5211, Status: 0, Value: (-0.01568603515625,-0.00311279296875,-0.38189697265625, 0.924072265625)}}
0:00:05.345738: {Acceleration: {Time: 5328, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5318, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 5321, Status: 1, Value: (-29.125,29.4375,-15.8125)},Gravity: {Time: 5315, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 5324, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38189697265625, 0.924072265625)}}
