0:00:03.337327: {Acceleration: {Time: 3297, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 3290, Status: 3, Value: (-0.01171875,-0.02734375,-0.03515625)},Magnetic: {Time: 3292, Status: 1, Value: (-29.25,28.5625,-14.5)},Gravity: {Time: 3287, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 3299, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.3973388671875, 0.91754150390625)}}
0:00:03.444461: {Acceleration: {Time: 3404, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 3384, Status: 3, Value: (-0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 3398, Status: 1, Value: (-28.1875,27.4375,-15.75)},Gravity: {Time: 3381, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 3379, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.39727783203125, 0.91754150390625)}}
0:00:03.558838: {Acceleration: {Time: 3520, Status: 0, Value: (-0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 3482, Status: 3, Value: (-0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 3484, Status: 1, Value: (-31.1875,28.9375,-15.375)},Gravity: {Time: 3479, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 3515, Status: 0, Value: (-0.01483154296875,-0.00286865234375,-0.3973388671875, 0.91754150390625)}}
0:00:03.657179: {Acceleration: {Time: 3611, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 3619, Status: 3, Value: (-0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 3553, Status: 1, Value: (-28.625,28.4375,-16.0)},Gravity: {Time: 3616, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 3614, Status: 0, Value: (-0.014892578125,-0.00286865234375,-0.39727783203125, 0.9176025390625)}}
0:00:03.748931: {Acceleration: {Time: 3709, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 3701, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 3704, Status: 1, Value: (-30.5,28.9375,-14.6875)},Gravity: {Time: 3698, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3711, Status: 0, Value: (-0.014892578125,-0.00286865234375,-0.39727783203125, 0.91754150390625)}}
0:00:03.858206: {Acceleration: {Time: 3821, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 3769, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 3783, Status: 1, Value: (-29.125,28.125,-15.25)},Gravity: {Time: 3766, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3815, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.397216796875, 0.9176025390625)}}
0:00:03.956394: {Acceleration: {Time: 3910, Status: 0, Value: (0.0,0.0,-0.00390625)},Gyroscope: {Time: 3919, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 3852, Status: 1, Value: (-29.9375,29.8125,-16.1875)},Gravity: {Time: 3915, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 3912, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.39727783203125, 0.9176025390625)}}
0:00:04.055061: {Acceleration: {Time: 4015, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3975, Status: 3, Value: (-0.01171875,-0.02734375,0.05078125)},Magnetic: {Time: 3978, Status: 1, Value: (-28.0625,28.3125,-16.9375)},Gravity: {Time: 3961, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 4018, Status: 0, Value: (-0.014892578125,-0.00286865234375,-0.397216796875, 0.9176025390625)}}
0:00:04.167975: {Acceleration: {Time: 4127, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4121, Status: 3, Value: (-0.05078125,-0.01953125,-0.02734375)},Magnetic: {Time: 4124, Status: 1, Value: (-29.1875,28.5,-14.8125)},Gravity: {Time: 4117, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4131, Status: 0, Value: (-0.014892578125,-0.00286865234375,-0.397216796875, 0.9176025390625)}}
0:00:04.251587: {Acceleration: {Time: 4206, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4214, Status: 3, Value: (-0.01171875,0.01953125,-0.02734375)},Magnetic: {Time: 4154, Status: 1, Value: (-27.9375,29.0625,-16.0625)},Gravity: {Time: 4212, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4210, Status: 0, Value: (-0.014892578125,-0.00286865234375,-0.397216796875, 0.9176025390625)}}
