0:00:05.567858: Frequency: 0.0, Amplitude: 63.07121276855469, Offset: 92.4188232421875, Phase Shift: 1.5414283107572988e-44, Phase: 127920.828125
0:00:05.665228: Frequency: 0.0, Amplitude: 63.62831497192383, Offset: 92.30335235595703, Phase Shift: 1.5414283107572988e-44, Phase: 127921.4453125
0:00:05.779259: Frequency: 0.0, Amplitude: 64.21500396728516, Offset: 92.17483520507812, Phase Shift: 1.5414283107572988e-44, Phase: 127922.1640625
0:00:05.864640: Frequency: 0.0, Amplitude: 64.61483764648438, Offset: 92.08264923095703, Phase Shift: 1.5414283107572988e-44, Phase: 127922.703125
0:00:05.970998: Frequency: 0.0, Amplitude: 65.06151580810547, Offset: 91.97444152832031, Phase Shift: 1.5414283107572988e-44, Phase: 127923.375
0:00:06.083847: Frequency: 0.0, Amplitude: 65.48806762695312, Offset: 91.86522674560547, Phase Shift: 1.5414283107572988e-44, Phase: 127924.0859375
0:00:06.189102: Frequency: 0.0, Amplitude: 65.84580993652344, Offset: 91.76831817626953, Phase Shift: 1.5414283107572988e-44, Phase: 127924.75
0:00:06.286520: Frequency: 0.0, Amplitude: 66.14212036132812, Offset: 91.68391418457031, Phase Shift: 1.5414283107572988e-44, Phase: 127925.359375
0:00:06.383520: Frequency: 0.0, Amplitude: 66.41062927246094, Offset: 91.60353088378906, Phase Shift: 1.5414283107572988e-44, Phase: 127925.96875
0:00:06.468004: Frequency: 0.0, Amplitude: 66.62455749511719, Offset: 91.53633880615234, Phase Shift: 1.5414283107572988e-44, Phase: 127926.5078125
0:00:06.583117: Frequency: 0.0, Amplitude: 66.88619232177734, Offset: 91.44989013671875, Phase Shift: 1.5414283107572988e-44, Phase: 127927.234375
0:00:06.668467: Frequency: 0.0, Amplitude: 67.06283569335938, Offset: 91.388427734375, Phase Shift: 1.5414283107572988e-44, Phase: 127927.78125
0:00:06.794708: Frequency: 0.0, Amplitude: 67.29576873779297, Offset: 91.302978515625, Phase Shift: 1.5414283107572988e-44, Phase: 127928.578125
0:00:06.882482: Frequency: 0.0, Amplitude: 67.44139099121094, Offset: 91.2464828491211, Phase Shift: 1.5414283107572988e-44, Phase: 127929.1328125
0:00:06.987687: Frequency: 0.0, Amplitude: 67.5987319946289, Offset: 91.18231201171875, Phase Shift: 1.5414283107572988e-44, Phase: 127929.796875
0:00:07.097079: Frequency: 0.0, Amplitude: 67.745361328125, Offset: 91.11917877197266, Phase Shift: 1.5414283107572988e-44, Phase: 127930.484375
0:00:07.189639: Frequency: 0.0, Amplitude: 67.85858154296875, Offset: 91.06790924072266, Phase Shift: 1.5414283107572988e-44, Phase: 127931.0703125
0:00:07.273024: Frequency: 0.0, Amplitude: 67.95179748535156, Offset: 91.023681640625, Phase Shift: 1.5414283107572988e-44, Phase: 127931.6015625
0:00:07.387223: Frequency: 0.0, Amplitude: 68.0662841796875, Offset: 90.96656799316406, Phase Shift: 1.5414283107572988e-44, Phase: 127932.328125
0:00:07.489648: Frequency: 0.0, Amplitude: 68.15925598144531, Offset: 90.91761779785156, Phase Shift: 1.5414283107572988e-44, Phase: 127932.9765625
0:00:07.581453: Frequency: 0.0, Amplitude: 68.23352813720703, Offset: 90.87648010253906, Phase Shift: 1.5414283107572988e-44, Phase: 127933.546875
0:00:07.678203: Frequency: 0.0, Amplitude: 68.30553436279297, Offset: 90.83464050292969, Phase Shift: 1.5414283107572988e-44, Phase: 127934.15625
0:00:07.792143: Frequency: 0.0, Amplitude: 68.38138580322266, Offset: 90.78807830810547, Phase Shift: 1.5414283107572988e-44, Phase: 127934.875
0:00:07.907052: Frequency: 0.0, Amplitude: 68.44952392578125, Offset: 90.74372863769531, Phase Shift: 1.5414283107572988e-44, Phase: 127935.609375
0:00:07.996782: Frequency: 0.0, Amplitude: 68.49760437011719, Offset: 90.71076202392578, Phase Shift: 1.5414283107572988e-44, Phase: 127936.1796875
0:00:08.084215: Frequency: 0.0, Amplitude: 68.54053497314453, Offset: 90.67994689941406, Phase Shift: 1.5414283107572988e-44, Phase: 127936.734375
0:00:08.197202: Frequency: 0.0, Amplitude: 68.59029388427734, Offset: 90.642333984375, Phase Shift: 1.5414283107572988e-44, Phase: 127937.453125
0:00:08.308149: Frequency: 0.0, Amplitude: 68.63391876220703, Offset: 90.60741424560547, Phase Shift: 1.5414283107572988e-44, Phase: 127938.15625
0:00:08.389957: Frequency: 0.0, Amplitude: 68.66312408447266, Offset: 90.58284759521484, Phase Shift: 1.5414283107572988e-44, Phase: 127938.6640625
0:00:08.501943: Frequency: 0.0, Amplitude: 68.69930267333984, Offset: 90.55088806152344, Phase Shift: 1.5414283107572988e-44, Phase: 127939.3671875
0:00:08.598503: Frequency: 0.0, Amplitude: 68.72727966308594, Offset: 90.52485656738281, Phase Shift: 1.5414283107572988e-44, Phase: 127939.96875
0:00:08.696717: Frequency: 0.0, Amplitude: 68.75341033935547, Offset: 90.4992904663086, Phase Shift: 1.5414283107572988e-44, Phase: 127940.59375
0:00:08.791810: Frequency: 0.0, Amplitude: 68.77613067626953, Offset: 90.47593688964844, Phase Shift: 1.5414283107572988e-44, Phase: 127941.1953125
0:00:08.914501: Frequency: 0.0, Amplitude: 68.80243682861328, Offset: 90.44732666015625, Phase Shift: 1.5414283107572988e-44, Phase: 127941.96875
0:00:09.002040: Frequency: 0.0, Amplitude: 68.81913757324219, Offset: 90.42814636230469, Phase Shift: 1.5414283107572988e-44, Phase: 127942.5234375
0:00:09.099872: Frequency: 0.0, Amplitude: 68.8363037109375, Offset: 90.40750122070312, Phase Shift: 1.5414283107572988e-44, Phase: 127943.140625
0:00:09.198373: Frequency: 0.0, Amplitude: 68.85198974609375, Offset: 90.38764953613281, Phase Shift: 1.5414283107572988e-44, Phase: 127943.7578125
0:00:09.298867: Frequency: 0.05000000074505806, Amplitude: 68.8663101196289, Offset: 90.36858367919922, Phase Shift: 1.5414283107572988e-44, Phase: 127944.3828125
