0:00:02.410431: {Acceleration: {Time: 2394, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2359, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 2335, Status: 1, Value: (-29.4375,28.4375,-16.1875)},Gravity: {Time: 2355, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2390, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.39178466796875, 0.919921875)}}
0:00:02.535102: {Acceleration: {Time: 2515, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2509, Status: 3, Value: (-0.01953125,-0.02734375,0.03515625)},Magnetic: {Time: 2512, Status: 1, Value: (-29.125,28.8125,-15.75)},Gravity: {Time: 2505, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 2519, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.39178466796875, 0.919921875)}}
0:00:02.615721: {Acceleration: {Time: 2597, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2590, Status: 3, Value: (-0.01953125,-0.02734375,-0.04296875)},Magnetic: {Time: 2593, Status: 1, Value: (-28.625,29.375,-16.5625)},Gravity: {Time: 2587, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 2599, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.39178466796875, 0.919921875)}}
0:00:02.731293: {Acceleration: {Time: 2713, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2685, Status: 3, Value: (0.01953125,-0.01953125,-0.00390625)},Magnetic: {Time: 2698, Status: 1, Value: (-28.25,27.4375,-15.5625)},Gravity: {Time: 2715, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 2708, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.39178466796875, 0.919921875)}}
0:00:02.810928: {Acceleration: {Time: 2792, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2732, Status: 3, Value: (-0.01953125,-0.01953125,-0.04296875)},Magnetic: {Time: 2736, Status: 1, Value: (-29.8125,29.75,-17.1875)},Gravity: {Time: 2715, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 2786, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.39178466796875, 0.919921875)}}
0:00:02.925446: {Acceleration: {Time: 2906, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2879, Status: 3, Value: (-0.01953125,-0.01953125,-0.04296875)},Magnetic: {Time: 2893, Status: 1, Value: (-30.0,28.875,-15.3125)},Gravity: {Time: 2876, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 2909, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.39178466796875, 0.919921875)}}
0:00:03.014683: {Acceleration: {Time: 2995, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2968, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 2982, Status: 1, Value: (-28.4375,28.5,-14.8125)},Gravity: {Time: 2965, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2999, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.39178466796875, 0.919921875)}}
0:00:03.119514: {Acceleration: {Time: 3101, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3094, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 3096, Status: 1, Value: (-28.5625,28.375,-16.25)},Gravity: {Time: 3090, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3104, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.39178466796875, 0.919921875)}}
0:00:03.227392: {Acceleration: {Time: 3209, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3203, Status: 3, Value: (0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 3205, Status: 1, Value: (-28.25,28.0625,-15.9375)},Gravity: {Time: 3198, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3211, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38739013671875, 0.9217529296875)}}
0:00:03.315603: {Acceleration: {Time: 3297, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3255, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 3259, Status: 1, Value: (-29.0625,28.75,-16.1875)},Gravity: {Time: 3300, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 3292, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38739013671875, 0.9217529296875)}}
0:00:03.439399: {Acceleration: {Time: 3424, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3355, Status: 3, Value: (-0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 3358, Status: 1, Value: (-29.0,29.0625,-16.5625)},Gravity: {Time: 3341, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 3420, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38739013671875, 0.9217529296875)}}
0:00:03.536846: {Acceleration: {Time: 3511, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3521, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 3457, Status: 1, Value: (-28.6875,29.375,-16.1875)},Gravity: {Time: 3518, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3514, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38739013671875, 0.9217529296875)}}
0:00:03.632927: {Acceleration: {Time: 3609, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3617, Status: 3, Value: (-0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 3583, Status: 1, Value: (-28.5,29.0,-17.3125)},Gravity: {Time: 3615, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3612, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38739013671875, 0.9217529296875)}}
0:00:03.749582: {Acceleration: {Time: 3725, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3734, Status: 3, Value: (0.01953125,-0.00390625,0.00390625)},Magnetic: {Time: 3719, Status: 1, Value: (-27.875,27.6875,-15.625)},Gravity: {Time: 3732, Status: 3, Value: (0.171875,-0.265625,9.6484375)}, Rotation: {Time: 3727, Status: 0, Value: (-0.01629638671875,-0.00323486328125,-0.38739013671875, 0.9217529296875)}}
0:00:03.845620: {Acceleration: {Time: 3821, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 3830, Status: 3, Value: (-0.01953125,-0.00390625,-0.03515625)},Magnetic: {Time: 3767, Status: 1, Value: (-28.1875,28.0,-16.6875)},Gravity: {Time: 3827, Status: 3, Value: (0.171875,-0.265625,9.6484375)}, Rotation: {Time: 3824, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.385498046875, 0.92254638671875)}}
0:00:03.934954: {Acceleration: {Time: 3920, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 3904, Status: 3, Value: (-0.01953125,0.03515625,0.01171875)},Magnetic: {Time: 3908, Status: 1, Value: (-28.25,28.375,-16.3125)},Gravity: {Time: 3890, Status: 3, Value: (0.171875,-0.265625,9.640625)}, Rotation: {Time: 3915, Status: 0, Value: (-0.01611328125,-0.0029296875,-0.385498046875, 0.92254638671875)}}
0:00:04.032583: {Acceleration: {Time: 4015, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 3976, Status: 3, Value: (0.01953125,-0.01171875,-0.00390625)},Magnetic: {Time: 3979, Status: 1, Value: (-27.25,27.3125,-16.8125)},Gravity: {Time: 3962, Status: 3, Value: (0.171875,-0.2578125,9.65625)}, Rotation: {Time: 4017, Status: 0, Value: (-0.01568603515625,-0.00311279296875,-0.3792724609375, 0.9251708984375)}}
0:00:04.146161: {Acceleration: {Time: 4128, Status: 0, Value: (0.00390625,0.001953125,0.001953125)},Gyroscope: {Time: 4121, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 4124, Status: 1, Value: (-27.375,27.625,-16.0625)},Gravity: {Time: 4118, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4131, Status: 0, Value: (-0.0157470703125,-0.003173828125,-0.37921142578125, 0.9251708984375)}}
