0:00:02.931770: {Acceleration: {Time: 2874, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2866, Status: 3, Value: (-0.0234375,-0.0078125,-0.01953125)},Magnetic: {Time: 2870, Status: 2, Value: (0.125,-16.5,-36.6875)},Gravity: {Time: 2863, Status: 3, Value: (0.3671875,0.0859375,9.7109375)}, Rotation: {Time: 2876, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.0191650390625)}}
0:00:03.025894: {Acceleration: {Time: 2976, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2937, Status: 3, Value: (0.015625,-0.0078125,0.05859375)},Magnetic: {Time: 2939, Status: 2, Value: (-1.3125,-16.6875,-37.25)},Gravity: {Time: 2934, Status: 3, Value: (0.3671875,0.0859375,9.7109375)}, Rotation: {Time: 2971, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.0191650390625)}}
0:00:03.088984: {Acceleration: {Time: 3037, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3045, Status: 3, Value: (-0.0234375,-0.0078125,0.01953125)},Magnetic: {Time: 2939, Status: 2, Value: (-1.3125,-16.6875,-37.25)},Gravity: {Time: 3042, Status: 3, Value: (0.3671875,0.0859375,9.7109375)}, Rotation: {Time: 3039, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.0191650390625)}}
0:00:03.198177: {Acceleration: {Time: 3143, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3116, Status: 3, Value: (0.015625,-0.0078125,0.01953125)},Magnetic: {Time: 3131, Status: 2, Value: (-0.5,-14.5625,-38.25)},Gravity: {Time: 3113, Status: 3, Value: (0.3671875,0.0859375,9.7109375)}, Rotation: {Time: 3146, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.01922607421875)}}
0:00:03.292759: {Acceleration: {Time: 3237, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3246, Status: 3, Value: (0.015625,0.0,0.01953125)},Magnetic: {Time: 3180, Status: 2, Value: (-0.625,-16.25,-37.5625)},Gravity: {Time: 3242, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 3239, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.01922607421875)}}
0:00:03.402815: {Acceleration: {Time: 3343, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3316, Status: 3, Value: (-0.0234375,-0.0078125,-0.01953125)},Magnetic: {Time: 3331, Status: 2, Value: (-0.75,-15.4375,-35.8125)},Gravity: {Time: 3313, Status: 3, Value: (0.3671875,0.0859375,9.7109375)}, Rotation: {Time: 3346, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.01922607421875)}}
0:00:03.496872: {Acceleration: {Time: 3438, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3448, Status: 3, Value: (-0.015625,0.0,0.02734375)},Magnetic: {Time: 3416, Status: 2, Value: (-0.125,-15.4375,-36.625)},Gravity: {Time: 3446, Status: 3, Value: (0.359375,0.078125,9.703125)}, Rotation: {Time: 3441, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.019287109375)}}
0:00:03.575587: {Acceleration: {Time: 3512, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3507, Status: 3, Value: (-0.015625,0.0,0.02734375)},Magnetic: {Time: 3481, Status: 2, Value: (-1.1875,-16.1875,-35.875)},Gravity: {Time: 3518, Status: 3, Value: (0.359375,0.078125,9.703125)}, Rotation: {Time: 3514, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.019287109375)}}
0:00:03.669715: {Acceleration: {Time: 3608, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3617, Status: 3, Value: (-0.015625,0.0,-0.01171875)},Magnetic: {Time: 3550, Status: 2, Value: (-0.1875,-16.5,-36.6875)},Gravity: {Time: 3614, Status: 3, Value: (0.359375,0.078125,9.703125)}, Rotation: {Time: 3610, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.019287109375)}}
0:00:03.763679: {Acceleration: {Time: 3707, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3700, Status: 3, Value: (-0.015625,-0.0078125,-0.01171875)},Magnetic: {Time: 3702, Status: 2, Value: (-0.875,-16.25,-36.75)},Gravity: {Time: 3697, Status: 3, Value: (0.359375,0.0859375,9.703125)}, Rotation: {Time: 3709, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.019287109375)}}
0:00:03.857741: {Acceleration: {Time: 3809, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3794, Status: 3, Value: (0.0234375,-0.046875,0.02734375)},Magnetic: {Time: 3797, Status: 2, Value: (-1.25,-16.625,-36.375)},Gravity: {Time: 3779, Status: 3, Value: (0.359375,0.0859375,9.703125)}, Rotation: {Time: 3804, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.01934814453125)}}
0:00:03.951878: {Acceleration: {Time: 3904, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3867, Status: 3, Value: (0.0234375,-0.0078125,0.02734375)},Magnetic: {Time: 3842, Status: 2, Value: (-0.5625,-16.1875,-36.6875)},Gravity: {Time: 3907, Status: 3, Value: (0.359375,0.078125,9.7109375)}, Rotation: {Time: 3899, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.01934814453125)}}
0:00:04.061824: {Acceleration: {Time: 3998, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4007, Status: 3, Value: (0.0234375,0.0,-0.01953125)},Magnetic: {Time: 3966, Status: 2, Value: (-0.625,-16.9375,-36.75)},Gravity: {Time: 4004, Status: 3, Value: (0.359375,0.078125,9.7109375)}, Rotation: {Time: 4000, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.01934814453125)}}
0:00:04.155931: {Acceleration: {Time: 4104, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4078, Status: 3, Value: (0.0234375,0.0,-0.01953125)},Magnetic: {Time: 4092, Status: 2, Value: (-0.3125,-15.0,-35.3125)},Gravity: {Time: 4074, Status: 3, Value: (0.359375,0.078125,9.7109375)}, Rotation: {Time: 4108, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.0194091796875)}}
0:00:04.234686: {Acceleration: {Time: 4170, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4178, Status: 3, Value: (0.015625,0.0,0.01953125)},Magnetic: {Time: 4092, Status: 2, Value: (-0.3125,-15.0,-35.3125)},Gravity: {Time: 4175, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 4172, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.0194091796875)}}
0:00:04.328781: {Acceleration: {Time: 4268, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4278, Status: 3, Value: (0.015625,0.0,-0.01953125)},Magnetic: {Time: 4238, Status: 2, Value: (-0.875,-15.875,-36.6875)},Gravity: {Time: 4274, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 4271, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.01947021484375)}}
0:00:04.423034: {Acceleration: {Time: 4369, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4378, Status: 3, Value: (0.015625,0.0,0.01953125)},Magnetic: {Time: 4341, Status: 2, Value: (-0.8125,-15.4375,-36.25)},Gravity: {Time: 4375, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 4371, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.01953125)}}
0:00:04.533037: {Acceleration: {Time: 4475, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4448, Status: 3, Value: (0.015625,0.0,-0.01953125)},Magnetic: {Time: 4463, Status: 2, Value: (-1.25,-15.9375,-37.1875)},Gravity: {Time: 4445, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 4478, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.01959228515625)}}
0:00:04.627161: {Acceleration: {Time: 4569, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4578, Status: 3, Value: (0.015625,0.0,0.01953125)},Magnetic: {Time: 4513, Status: 2, Value: (-0.875,-16.1875,-36.3125)},Gravity: {Time: 4575, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 4572, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.0196533203125)}}
0:00:04.705770: {Acceleration: {Time: 4650, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4639, Status: 3, Value: (0.015625,0.0,-0.01953125)},Magnetic: {Time: 4642, Status: 2, Value: (-1.0,-14.125,-36.5625)},Gravity: {Time: 4636, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 4645, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.01971435546875)}}
0:00:04.800033: {Acceleration: {Time: 4745, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4709, Status: 3, Value: (-0.0234375,0.0,-0.01953125)},Magnetic: {Time: 4683, Status: 2, Value: (-1.5,-15.5625,-36.6875)},Gravity: {Time: 4706, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 4748, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.01971435546875)}}
0:00:04.894143: {Acceleration: {Time: 4849, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4818, Status: 3, Value: (0.015625,0.0,-0.05859375)},Magnetic: {Time: 4820, Status: 2, Value: (-0.8125,-15.4375,-36.25)},Gravity: {Time: 4816, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 4851, Status: 2, Value: (0.018798828125,0.0037841796875,0.9996337890625, 0.019775390625)}}
0:00:04.988356: {Acceleration: {Time: 4941, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4950, Status: 3, Value: (-0.0234375,0.0,-0.01953125)},Magnetic: {Time: 4884, Status: 2, Value: (-1.0,-17.0,-37.25)},Gravity: {Time: 4946, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 4943, Status: 2, Value: (0.018798828125,0.0037841796875,0.9996337890625, 0.01983642578125)}}
0:00:05.082447: {Acceleration: {Time: 5040, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5032, Status: 3, Value: (0.015625,0.0,0.01953125)},Magnetic: {Time: 5035, Status: 2, Value: (-1.1875,-15.5625,-36.6875)},Gravity: {Time: 5029, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 5042, Status: 2, Value: (0.018798828125,0.0037841796875,0.9996337890625, 0.0198974609375)}}
0:00:05.192148: {Acceleration: {Time: 5140, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5112, Status: 3, Value: (-0.0234375,0.0,-0.01953125)},Magnetic: {Time: 5127, Status: 2, Value: (0.25,-15.4375,-37.0)},Gravity: {Time: 5110, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 5137, Status: 2, Value: (0.018798828125,0.0037841796875,0.9996337890625, 0.01995849609375)}}
0:00:05.286816: {Acceleration: {Time: 5230, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5222, Status: 3, Value: (-0.0234375,0.0,-0.01953125)},Magnetic: {Time: 5226, Status: 2, Value: (-0.8125,-15.8125,-36.3125)},Gravity: {Time: 5219, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 5232, Status: 2, Value: (0.018798828125,0.0037841796875,0.9996337890625, 0.02001953125)}}
0:00:05.381220: {Acceleration: {Time: 5328, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5322, Status: 3, Value: (-0.015625,0.0,-0.01953125)},Magnetic: {Time: 5324, Status: 2, Value: (-1.625,-16.625,-36.4375)},Gravity: {Time: 5319, Status: 3, Value: (0.359375,0.078125,9.7109375)}, Rotation: {Time: 5331, Status: 2, Value: (0.018798828125,0.0037841796875,0.9996337890625, 0.02001953125)}}
0:00:05.443750: {Acceleration: {Time: 5402, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5391, Status: 3, Value: (-0.015625,0.0,0.01953125)},Magnetic: {Time: 5364, Status: 2, Value: (-0.75,-15.0625,-36.25)},Gravity: {Time: 5388, Status: 3, Value: (0.359375,0.078125,9.7109375)}, Rotation: {Time: 5398, Status: 2, Value: (0.018798828125,0.0037841796875,0.9996337890625, 0.02001953125)}}
