0:00:03.078570 {Acceleration: {Time: 3005, Status: 0, Value: (-0.013671875,-0.005859375,0.009765625)},Gyroscope: {Time: 2997, Status: 3, Value: (-0.0546875,0.0546875,-0.3125)},Magnetic: {Time: 3002, Status: 1, Value: (8.0,2.4375,-27.375)},Gravity: {Time: 2964, Status: 3, Value: (-0.0234375,0.1640625,9.8359375)}, Rotation: {Time: 3007, Status: 0, Value: (0.005615234375,0.00677490234375,0.62127685546875, 0.78350830078125)}}
0:00:03.172749 {Acceleration: {Time: 3094, Status: 0, Value: (0.01953125,0.021484375,-0.001953125)},Gyroscope: {Time: 3078, Status: 3, Value: (-0.5546875,0.171875,0.875)},Magnetic: {Time: 3082, Status: 1, Value: (9.75,3.9375,-28.125)},Gravity: {Time: 3051, Status: 3, Value: (-0.0234375,0.1640625,9.84375)}, Rotation: {Time: 3089, Status: 0, Value: (0.00555419921875,0.0067138671875,0.621337890625, 0.78350830078125)}}
0:00:03.235327 {Acceleration: {Time: 3168, Status: 0, Value: (0.00390625,-0.02734375,-0.001953125)},Gyroscope: {Time: 3078, Status: 3, Value: (-0.5546875,0.171875,0.875)},Magnetic: {Time: 3132, Status: 1, Value: (8.0625,4.3125,-27.625)},Gravity: {Time: 3124, Status: 3, Value: (-0.0234375,0.1640625,9.8359375)}, Rotation: {Time: 3165, Status: 0, Value: (0.0054931640625,0.0068359375,0.621337890625, 0.78350830078125)}}
0:00:03.329560 {Acceleration: {Time: 3251, Status: 0, Value: (0.0390625,0.033203125,0.001953125)},Gyroscope: {Time: 3244, Status: 3, Value: (0.01953125,0.0078125,0.23828125)},Magnetic: {Time: 3247, Status: 1, Value: (8.0,3.9375,-27.75)},Gravity: {Time: 3124, Status: 3, Value: (-0.0234375,0.1640625,9.8359375)}, Rotation: {Time: 3254, Status: 0, Value: (0.00543212890625,0.00689697265625,0.62127685546875, 0.78350830078125)}}
0:00:03.455505 {Acceleration: {Time: 3373, Status: 0, Value: (-0.001953125,0.009765625,-0.00390625)},Gyroscope: {Time: 3326, Status: 3, Value: (0.21875,-0.02734375,-0.640625)},Magnetic: {Time: 3371, Status: 1, Value: (8.6875,2.375,-28.5625)},Gravity: {Time: 3363, Status: 3, Value: (-0.03125,0.171875,9.828125)}, Rotation: {Time: 3375, Status: 0, Value: (0.0057373046875,0.0072021484375,0.62127685546875, 0.78350830078125)}}
0:00:03.518356 {Acceleration: {Time: 3447, Status: 0, Value: (0.025390625,0.009765625,0.0)},Gyroscope: {Time: 3440, Status: 3, Value: (-0.46875,0.046875,0.73828125)},Magnetic: {Time: 3444, Status: 1, Value: (8.3125,4.0625,-25.6875)},Gravity: {Time: 3437, Status: 3, Value: (-0.03125,0.171875,9.828125)}, Rotation: {Time: 3449, Status: 0, Value: (0.005615234375,0.00701904296875,0.6212158203125, 0.7835693359375)}}
0:00:03.643894 {Acceleration: {Time: 3571, Status: 0, Value: (-0.0390625,-0.04296875,0.0078125)},Gyroscope: {Time: 3524, Status: 3, Value: (0.3359375,-0.10546875,0.0390625)},Magnetic: {Time: 3567, Status: 1, Value: (6.9375,1.5,-28.625)},Gravity: {Time: 3562, Status: 3, Value: (-0.0234375,0.171875,9.828125)}, Rotation: {Time: 3574, Status: 0, Value: (0.005859375,0.00677490234375,0.62127685546875, 0.7835693359375)}}
0:00:03.738318 {Acceleration: {Time: 3658, Status: 0, Value: (-0.01171875,-0.029296875,-0.009765625)},Gyroscope: {Time: 3652, Status: 3, Value: (-0.1796875,0.0859375,0.23828125)},Magnetic: {Time: 3655, Status: 1, Value: (8.0,3.5625,-27.6875)},Gravity: {Time: 3606, Status: 3, Value: (-0.0234375,0.1796875,9.828125)}, Rotation: {Time: 3661, Status: 0, Value: (0.00592041015625,0.00634765625,0.62127685546875, 0.7835693359375)}}
0:00:03.816113 {Acceleration: {Time: 3744, Status: 0, Value: (0.04296875,0.037109375,-0.001953125)},Gyroscope: {Time: 3738, Status: 3, Value: (0.08984375,-0.02734375,0.0390625)},Magnetic: {Time: 3741, Status: 1, Value: (8.625,1.125,-29.125)},Gravity: {Time: 3693, Status: 3, Value: (-0.015625,0.171875,9.8359375)}, Rotation: {Time: 3747, Status: 0, Value: (0.005859375,0.00640869140625,0.62127685546875, 0.78350830078125)}}
0:00:03.910434 {Acceleration: {Time: 3834, Status: 0, Value: (0.0,-0.0234375,0.00390625)},Gyroscope: {Time: 3824, Status: 3, Value: (0.17578125,-0.10546875,-0.87890625)},Magnetic: {Time: 3782, Status: 1, Value: (8.6875,3.875,-28.5)},Gravity: {Time: 3779, Status: 3, Value: (-0.015625,0.171875,9.828125)}, Rotation: {Time: 3830, Status: 0, Value: (0.00579833984375,0.00653076171875,0.62127685546875, 0.7835693359375)}}
0:00:03.988881 {Acceleration: {Time: 3919, Status: 0, Value: (-0.01171875,-0.017578125,-0.005859375)},Gyroscope: {Time: 3913, Status: 3, Value: (-0.28515625,0.125,0.4609375)},Magnetic: {Time: 3916, Status: 1, Value: (7.6875,5.125,-28.0)},Gravity: {Time: 3779, Status: 3, Value: (-0.015625,0.171875,9.828125)}, Rotation: {Time: 3923, Status: 0, Value: (0.005859375,0.006591796875,0.6212158203125, 0.7835693359375)}}
0:00:04.083405 {Acceleration: {Time: 4005, Status: 0, Value: (0.005859375,-0.02734375,0.0)},Gyroscope: {Time: 3913, Status: 3, Value: (-0.28515625,0.125,0.4609375)},Magnetic: {Time: 4000, Status: 1, Value: (7.625,1.1875,-28.3125)},Gravity: {Time: 3995, Status: 3, Value: (-0.0234375,0.1796875,9.8359375)}, Rotation: {Time: 4007, Status: 0, Value: (0.00579833984375,0.00634765625,0.62127685546875, 0.78350830078125)}}
0:00:04.208976 {Acceleration: {Time: 4135, Status: 0, Value: (0.03125,0.021484375,0.0)},Gyroscope: {Time: 4125, Status: 3, Value: (-0.5625,0.046875,1.19140625)},Magnetic: {Time: 4046, Status: 1, Value: (8.3125,3.125,-28.1875)},Gravity: {Time: 4038, Status: 3, Value: (-0.0234375,0.1640625,9.8359375)}, Rotation: {Time: 4131, Status: 0, Value: (0.0059814453125,0.00616455078125,0.621337890625, 0.78350830078125)}}
0:00:04.303405 {Acceleration: {Time: 4218, Status: 0, Value: (0.029296875,0.029296875,0.00390625)},Gyroscope: {Time: 4214, Status: 3, Value: (0.44140625,-0.14453125,-0.6015625)},Magnetic: {Time: 4175, Status: 1, Value: (9.375,3.625,-26.9375)},Gravity: {Time: 4225, Status: 3, Value: (-0.0234375,0.171875,9.8359375)}, Rotation: {Time: 4220, Status: 0, Value: (0.00604248046875,0.00640869140625,0.621337890625, 0.783447265625)}}
0:00:04.381585 {Acceleration: {Time: 4308, Status: 0, Value: (-0.001953125,-0.02734375,-0.00390625)},Gyroscope: {Time: 4301, Status: 3, Value: (-0.46875,0.0859375,0.5390625)},Magnetic: {Time: 4305, Status: 1, Value: (8.3125,4.0,-26.9375)},Gravity: {Time: 4225, Status: 3, Value: (-0.0234375,0.171875,9.8359375)}, Rotation: {Time: 4311, Status: 0, Value: (0.00604248046875,0.00640869140625,0.621337890625, 0.783447265625)}}
0:00:04.459739 {Acceleration: {Time: 4394, Status: 0, Value: (0.021484375,0.009765625,0.00390625)},Gyroscope: {Time: 4387, Status: 3, Value: (0.328125,-0.14453125,-0.02734375)},Magnetic: {Time: 4390, Status: 1, Value: (8.6875,2.6875,-29.0)},Gravity: {Time: 4342, Status: 3, Value: (-0.0234375,0.171875,9.8359375)}, Rotation: {Time: 4397, Status: 0, Value: (0.0059814453125,0.0064697265625,0.62139892578125, 0.783447265625)}}
0:00:04.569471 {Acceleration: {Time: 4496, Status: 0, Value: (-0.01171875,-0.001953125,0.0)},Gyroscope: {Time: 4500, Status: 3, Value: (0.328125,-0.10546875,-0.3046875)},Magnetic: {Time: 4463, Status: 1, Value: (7.625,2.375,-27.75)},Gravity: {Time: 4498, Status: 3, Value: (-0.0234375,0.171875,9.8359375)}, Rotation: {Time: 4491, Status: 0, Value: (0.00604248046875,0.00640869140625,0.62139892578125, 0.783447265625)}}
0:00:04.663555 {Acceleration: {Time: 4585, Status: 0, Value: (0.01171875,0.044921875,0.001953125)},Gyroscope: {Time: 4534, Status: 3, Value: (0.2890625,-0.06640625,-1.0703125)},Magnetic: {Time: 4580, Status: 1, Value: (8.3125,3.9375,-27.6875)},Gravity: {Time: 4573, Status: 3, Value: (-0.03125,0.1796875,9.8359375)}, Rotation: {Time: 4587, Status: 0, Value: (0.00579833984375,0.0064697265625,0.62139892578125, 0.783447265625)}}
0:00:04.773759 {Acceleration: {Time: 4697, Status: 0, Value: (-0.013671875,-0.048828125,-0.00390625)},Gyroscope: {Time: 4691, Status: 3, Value: (0.19140625,-0.10546875,-0.80078125)},Magnetic: {Time: 4694, Status: 1, Value: (8.0,1.25,-27.5)},Gravity: {Time: 4648, Status: 3, Value: (-0.0390625,0.1796875,9.8359375)}, Rotation: {Time: 4700, Status: 0, Value: (0.00567626953125,0.006591796875,0.6214599609375, 0.78338623046875)}}
0:00:04.852092 {Acceleration: {Time: 4786, Status: 0, Value: (0.015625,0.029296875,0.0)},Gyroscope: {Time: 4774, Status: 3, Value: (-0.32421875,0.125,0.578125)},Magnetic: {Time: 4733, Status: 1, Value: (9.0,2.4375,-27.4375)},Gravity: {Time: 4742, Status: 3, Value: (-0.0234375,0.171875,9.8359375)}, Rotation: {Time: 4780, Status: 0, Value: (0.00579833984375,0.00634765625,0.62139892578125, 0.783447265625)}}
0:00:04.930576 {Acceleration: {Time: 4866, Status: 0, Value: (0.0,0.0234375,0.0)},Gyroscope: {Time: 4856, Status: 3, Value: (0.375,-0.14453125,-0.42578125)},Magnetic: {Time: 4862, Status: 1, Value: (8.3125,3.5,-28.5)},Gravity: {Time: 4829, Status: 3, Value: (-0.03125,0.171875,9.84375)}, Rotation: {Time: 4868, Status: 0, Value: (0.00579833984375,0.0064697265625,0.62139892578125, 0.783447265625)}}
0:00:05.056307 {Acceleration: {Time: 4981, Status: 0, Value: (-0.0078125,-0.0078125,-0.00390625)},Gyroscope: {Time: 4974, Status: 3, Value: (-0.0078125,-0.02734375,0.26171875)},Magnetic: {Time: 4978, Status: 1, Value: (9.0,4.4375,-26.0625)},Gravity: {Time: 4940, Status: 3, Value: (-0.03125,0.171875,9.8359375)}, Rotation: {Time: 4984, Status: 0, Value: (0.0057373046875,0.00640869140625,0.62139892578125, 0.783447265625)}}
0:00:05.119039 {Acceleration: {Time: 5067, Status: 0, Value: (-0.0234375,-0.044921875,0.009765625)},Gyroscope: {Time: 5055, Status: 3, Value: (0.48828125,-0.14453125,-0.95703125)},Magnetic: {Time: 5061, Status: 1, Value: (6.9375,0.8125,-27.5)},Gravity: {Time: 5027, Status: 3, Value: (-0.03125,0.171875,9.8359375)}, Rotation: {Time: 5070, Status: 0, Value: (0.0057373046875,0.00628662109375,0.6214599609375, 0.78338623046875)}}
0:00:05.213184 {Acceleration: {Time: 5149, Status: 0, Value: (-0.048828125,-0.05859375,0.00390625)},Gyroscope: {Time: 5055, Status: 3, Value: (0.48828125,-0.14453125,-0.95703125)},Magnetic: {Time: 5145, Status: 1, Value: (7.625,2.0,-27.4375)},Gravity: {Time: 5139, Status: 3, Value: (-0.03125,0.1640625,9.8359375)}, Rotation: {Time: 5151, Status: 0, Value: (0.00592041015625,0.00579833984375,0.62152099609375, 0.78338623046875)}}
0:00:05.338856 {Acceleration: {Time: 5261, Status: 0, Value: (0.013671875,0.037109375,0.0)},Gyroscope: {Time: 5257, Status: 3, Value: (0.00390625,0.0625,-0.265625)},Magnetic: {Time: 5189, Status: 1, Value: (8.0,3.125,-28.125)},Gravity: {Time: 5268, Status: 3, Value: (-0.0078125,0.15625,9.8359375)}, Rotation: {Time: 5264, Status: 0, Value: (0.005859375,0.00531005859375,0.62152099609375, 0.7833251953125)}}
0:00:05.417209 {Acceleration: {Time: 5349, Status: 0, Value: (-0.025390625,-0.025390625,-0.00390625)},Gyroscope: {Time: 5342, Status: 3, Value: (-0.140625,0.1796875,-0.1796875)},Magnetic: {Time: 5345, Status: 1, Value: (7.9375,0.0625,-27.1875)},Gravity: {Time: 5268, Status: 3, Value: (-0.0078125,0.15625,9.8359375)}, Rotation: {Time: 5351, Status: 0, Value: (0.00592041015625,0.0052490234375,0.6214599609375, 0.78338623046875)}}
0:00:05.511456 {Acceleration: {Time: 5431, Status: 0, Value: (-0.0234375,-0.015625,-0.00390625)},Gyroscope: {Time: 5423, Status: 3, Value: (0.3203125,-0.05078125,-0.94921875)},Magnetic: {Time: 5426, Status: 1, Value: (9.6875,2.4375,-27.4375)},Gravity: {Time: 5438, Status: 3, Value: (-0.0078125,0.1484375,9.828125)}, Rotation: {Time: 5433, Status: 0, Value: (0.005859375,0.00518798828125,0.6214599609375, 0.78338623046875)}}
