0:00:02.449997: {Acceleration: {Time: 2422, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2415, Status: 3, Value: (0.02734375,-0.02734375,0.01171875)},Magnetic: {Time: 2418, Status: 1, Value: (-29.5,28.8125,-15.9375)},Gravity: {Time: 2412, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 2425, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38836669921875, 0.92138671875)}}
0:00:02.530825: {Acceleration: {Time: 2504, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2497, Status: 3, Value: (-0.01171875,0.01171875,-0.02734375)},Magnetic: {Time: 2499, Status: 1, Value: (-30.25,28.5,-16.25)},Gravity: {Time: 2494, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 2506, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38836669921875, 0.92138671875)}}
0:00:02.646897: {Acceleration: {Time: 2620, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2592, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 2607, Status: 1, Value: (-28.625,28.125,-15.6875)},Gravity: {Time: 2589, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 2622, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38836669921875, 0.92138671875)}}
0:00:02.730290: {Acceleration: {Time: 2698, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2706, Status: 3, Value: (0.01953125,0.01171875,0.01953125)},Magnetic: {Time: 2645, Status: 1, Value: (-29.375,28.75,-16.75)},Gravity: {Time: 2702, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 2700, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38836669921875, 0.92138671875)}}
0:00:02.850434: {Acceleration: {Time: 2822, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2816, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 2819, Status: 1, Value: (-30.625,28.5625,-16.1875)},Gravity: {Time: 2812, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 2826, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38836669921875, 0.92138671875)}}
0:00:02.939984: {Acceleration: {Time: 2912, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2900, Status: 3, Value: (0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 2903, Status: 1, Value: (-28.5625,27.4375,-16.0625)},Gravity: {Time: 2886, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 2916, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38836669921875, 0.92138671875)}}
0:00:03.047265: {Acceleration: {Time: 3023, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2987, Status: 3, Value: (0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 2990, Status: 1, Value: (-29.1875,28.5,-14.8125)},Gravity: {Time: 2983, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3020, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38836669921875, 0.92138671875)}}
0:00:03.161377: {Acceleration: {Time: 3130, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3137, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 3068, Status: 1, Value: (-28.5,27.4375,-16.5)},Gravity: {Time: 3135, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3132, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38836669921875, 0.92138671875)}}
0:00:03.255705: {Acceleration: {Time: 3229, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3137, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 3171, Status: 1, Value: (-28.5,27.4375,-16.5)},Gravity: {Time: 3135, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3232, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38836669921875, 0.92138671875)}}
0:00:03.347973: {Acceleration: {Time: 3324, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3289, Status: 3, Value: (0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 3291, Status: 1, Value: (-29.25,27.6875,-17.1875)},Gravity: {Time: 3285, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3321, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38836669921875, 0.92138671875)}}
0:00:03.461950: {Acceleration: {Time: 3438, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3401, Status: 3, Value: (0.02734375,0.05859375,-0.02734375)},Magnetic: {Time: 3403, Status: 1, Value: (-28.625,27.125,-15.375)},Gravity: {Time: 3397, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3434, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38946533203125, 0.9208984375)}}
0:00:03.561256: {Acceleration: {Time: 3528, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3537, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 3474, Status: 1, Value: (-28.75,28.5,-14.875)},Gravity: {Time: 3535, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3531, Status: 0, Value: (-0.01556396484375,-0.0035400390625,-0.3892822265625, 0.92095947265625)}}
0:00:03.653091: {Acceleration: {Time: 3627, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3592, Status: 3, Value: (0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 3595, Status: 1, Value: (-28.9375,28.0625,-16.4375)},Gravity: {Time: 3578, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3621, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3892822265625, 0.92095947265625)}}
0:00:03.738625: {Acceleration: {Time: 3715, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3702, Status: 3, Value: (-0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 3705, Status: 1, Value: (-28.5625,28.375,-16.4375)},Gravity: {Time: 3687, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3712, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:03.844920: {Acceleration: {Time: 3819, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3761, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 3763, Status: 1, Value: (-28.75,29.75,-16.0)},Gravity: {Time: 3757, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3821, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:03.960700: {Acceleration: {Time: 3937, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3925, Status: 3, Value: (-0.01953125,-0.0625,0.01171875)},Magnetic: {Time: 3929, Status: 1, Value: (-30.1875,29.9375,-14.3125)},Gravity: {Time: 3922, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3931, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:04.064585: {Acceleration: {Time: 4039, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3998, Status: 3, Value: (-0.01953125,0.05078125,0.01171875)},Magnetic: {Time: 4001, Status: 1, Value: (-28.6875,29.125,-16.0)},Gravity: {Time: 4041, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4033, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:04.160280: {Acceleration: {Time: 4134, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4099, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 4075, Status: 1, Value: (-28.9375,28.375,-16.75)},Gravity: {Time: 4095, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4137, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:04.269064: {Acceleration: {Time: 4234, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4241, Status: 3, Value: (-0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 4243, Status: 1, Value: (-28.3125,27.5,-14.625)},Gravity: {Time: 4237, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4245, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
