0:00:02.333255: {Acceleration: {Time: 2283, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2292, Status: 3, Value: (0.0,-0.015625,0.00390625)},Magnetic: {Time: 2250, Status: 0, Value: (-4.375,1.4375,-35.1875)},Gravity: {Time: 2288, Status: 3, Value: (0.34375,-0.4453125,9.7265625)}, Rotation: {Time: 2285, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:02.444440: {Acceleration: {Time: 2388, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2348, Status: 3, Value: (0.0,-0.015625,0.00390625)},Magnetic: {Time: 2351, Status: 0, Value: (-3.25,2.5625,-33.625)},Gravity: {Time: 2334, Status: 3, Value: (0.34375,-0.4453125,9.7265625)}, Rotation: {Time: 2392, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:02.539647: {Acceleration: {Time: 2484, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2475, Status: 3, Value: (0.0,0.03125,0.00390625)},Magnetic: {Time: 2477, Status: 0, Value: (-2.5625,3.25,-34.0)},Gravity: {Time: 2472, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 2486, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:02.634839: {Acceleration: {Time: 2580, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2573, Status: 3, Value: (0.0,0.03125,0.01171875)},Magnetic: {Time: 2576, Status: 0, Value: (-3.25,1.4375,-33.625)},Gravity: {Time: 2570, Status: 3, Value: (0.34375,-0.453125,9.71875)}, Rotation: {Time: 2583, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:02.697026: {Acceleration: {Time: 2654, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2643, Status: 3, Value: (0.0,-0.0078125,-0.02734375)},Magnetic: {Time: 2618, Status: 0, Value: (-3.625,1.8125,-33.1875)},Gravity: {Time: 2640, Status: 3, Value: (0.34375,-0.453125,9.71875)}, Rotation: {Time: 2650, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:02.792266: {Acceleration: {Time: 2743, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2752, Status: 3, Value: (0.0,-0.0078125,-0.03515625)},Magnetic: {Time: 2688, Status: 0, Value: (-3.25,2.5625,-32.8125)},Gravity: {Time: 2749, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 2745, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:02.887772: {Acceleration: {Time: 2843, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2809, Status: 3, Value: (0.0,0.03125,0.00390625)},Magnetic: {Time: 2812, Status: 0, Value: (-2.875,2.875,-32.4375)},Gravity: {Time: 2795, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 2837, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:02.996679: {Acceleration: {Time: 2935, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2945, Status: 3, Value: (0.0,-0.0078125,0.00390625)},Magnetic: {Time: 2881, Status: 0, Value: (-3.25,2.5625,-34.8125)},Gravity: {Time: 2943, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 2937, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:03.091250: {Acceleration: {Time: 3036, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3003, Status: 3, Value: (0.0,-0.0078125,0.00390625)},Magnetic: {Time: 2978, Status: 0, Value: (-4.0,2.1875,-34.75)},Gravity: {Time: 3000, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 3029, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:03.184794: {Acceleration: {Time: 3134, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3003, Status: 3, Value: (0.0,-0.0078125,0.00390625)},Magnetic: {Time: 3074, Status: 0, Value: (-3.25,2.1875,-35.1875)},Gravity: {Time: 3136, Status: 3, Value: (0.34375,-0.4453125,9.7265625)}, Rotation: {Time: 3129, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
