0:00:02.405708: {Acceleration: {Time: 2378, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2352, Status: 3, Value: (0.125,-0.1328125,0.2734375)},Magnetic: {Time: 2366, Status: 1, Value: (-27.75,27.0625,-16.0625)},Gravity: {Time: 2349, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 2380, Status: 0, Value: (-0.0155029296875,-0.0037841796875,-0.37591552734375, 0.926513671875)}}
0:00:02.509299: {Acceleration: {Time: 2483, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 2447, Status: 3, Value: (-0.05859375,0.02734375,-0.03515625)},Magnetic: {Time: 2449, Status: 1, Value: (-29.625,29.8125,-15.6875)},Gravity: {Time: 2444, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2480, Status: 0, Value: (-0.0157470703125,-0.00323486328125,-0.37591552734375, 0.926513671875)}}
0:00:02.587102: {Acceleration: {Time: 2561, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 2526, Status: 3, Value: (0.01953125,-0.046875,0.12109375)},Magnetic: {Time: 2528, Status: 1, Value: (-27.9375,28.0625,-15.25)},Gravity: {Time: 2523, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2558, Status: 0, Value: (-0.01568603515625,-0.00323486328125,-0.3759765625, 0.926513671875)}}
0:00:02.710316: {Acceleration: {Time: 2682, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 2643, Status: 3, Value: (-0.01953125,0.02734375,-0.00390625)},Magnetic: {Time: 2646, Status: 1, Value: (-28.1875,28.8125,-14.0)},Gravity: {Time: 2629, Status: 3, Value: (0.171875,-0.2578125,9.65625)}, Rotation: {Time: 2685, Status: 0, Value: (-0.0157470703125,-0.0029296875,-0.39154052734375, 0.91998291015625)}}
0:00:02.814242: {Acceleration: {Time: 2777, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 2783, Status: 3, Value: (-0.0859375,0.02734375,-0.078125)},Magnetic: {Time: 2786, Status: 1, Value: (-28.375,29.125,-15.5)},Gravity: {Time: 2781, Status: 3, Value: (0.1640625,-0.2578125,9.65625)}, Rotation: {Time: 2789, Status: 0, Value: (-0.015625,-0.0025634765625,-0.39154052734375, 0.9200439453125)}}
0:00:02.893724: {Acceleration: {Time: 2866, Status: 0, Value: (-0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 2858, Status: 3, Value: (-0.05859375,0.01953125,-0.03515625)},Magnetic: {Time: 2862, Status: 1, Value: (-29.5,27.5625,-15.0625)},Gravity: {Time: 2855, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2868, Status: 0, Value: (-0.01544189453125,-0.00311279296875,-0.39154052734375, 0.9200439453125)}}
0:00:03.007467: {Acceleration: {Time: 2982, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 2926, Status: 3, Value: (-0.01171875,0.01953125,-0.03515625)},Magnetic: {Time: 2940, Status: 1, Value: (-28.875,27.875,-13.5625)},Gravity: {Time: 2923, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2979, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39154052734375, 0.9200439453125)}}
0:00:03.105003: {Acceleration: {Time: 3080, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 3040, Status: 3, Value: (0.05859375,-0.02734375,0.01171875)},Magnetic: {Time: 3043, Status: 1, Value: (-29.1875,28.875,-15.0625)},Gravity: {Time: 3037, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3074, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.39154052734375, 0.9200439453125)}}
0:00:03.202589: {Acceleration: {Time: 3177, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 3163, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 3166, Status: 1, Value: (-27.4375,27.375,-15.6875)},Gravity: {Time: 3149, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 3173, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.39154052734375, 0.9200439453125)}}
0:00:03.322562: {Acceleration: {Time: 3298, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 3259, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 3263, Status: 1, Value: (-27.5,29.0,-15.9375)},Gravity: {Time: 3256, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3293, Status: 0, Value: (-0.01544189453125,-0.00323486328125,-0.385498046875, 0.922607421875)}}
