0:00:02.655437 {Acceleration: {Time: 2617, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 2626, Status: 3, Value: (0.10546875,-0.0546875,-0.0625)},Magnetic: {Time: 2564, Status: 1, Value: (-30.5625,28.875,-16.6875)},Gravity: {Time: 2624, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2621, Status: 0, Value: (-0.015380859375,-0.0025634765625,-0.38885498046875, 0.921142578125)}}
0:00:02.750683 {Acceleration: {Time: 2722, Status: 0, Value: (0.005859375,-0.00390625,0.0)},Gyroscope: {Time: 2706, Status: 3, Value: (-0.01171875,-0.01953125,0.05078125)},Magnetic: {Time: 2710, Status: 1, Value: (-31.5625,29.875,-16.125)},Gravity: {Time: 2692, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2716, Status: 0, Value: (-0.015380859375,-0.0025634765625,-0.388916015625, 0.921142578125)}}
0:00:02.850036 {Acceleration: {Time: 2812, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 2821, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 2781, Status: 1, Value: (-30.3125,29.1875,-16.3125)},Gravity: {Time: 2818, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2815, Status: 0, Value: (-0.01531982421875,-0.00262451171875,-0.388916015625, 0.921142578125)}}
0:00:02.950502 {Acceleration: {Time: 2918, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 2892, Status: 3, Value: (-0.05078125,0.01953125,-0.02734375)},Magnetic: {Time: 2906, Status: 1, Value: (-30.4375,28.125,-17.125)},Gravity: {Time: 2889, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2922, Status: 0, Value: (-0.015380859375,-0.00262451171875,-0.388916015625, 0.921142578125)}}
0:00:03.063953 {Acceleration: {Time: 3025, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 3031, Status: 3, Value: (0.03515625,-0.01171875,0.01171875)},Magnetic: {Time: 3033, Status: 1, Value: (-30.875,30.25,-15.0625)},Gravity: {Time: 3028, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 3035, Status: 0, Value: (-0.01544189453125,-0.00262451171875,-0.388916015625, 0.921142578125)}}
0:00:03.167859 {Acceleration: {Time: 3139, Status: 0, Value: (-0.005859375,-0.001953125,-0.001953125)},Gyroscope: {Time: 3108, Status: 3, Value: (0.03515625,-0.01171875,0.01171875)},Magnetic: {Time: 3111, Status: 1, Value: (-31.0625,28.25,-15.5625)},Gravity: {Time: 3106, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 3137, Status: 0, Value: (-0.01544189453125,-0.00262451171875,-0.388916015625, 0.921142578125)}}
0:00:03.255140 {Acceleration: {Time: 3224, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3217, Status: 3, Value: (-0.00390625,-0.0546875,0.01171875)},Magnetic: {Time: 3219, Status: 1, Value: (-29.875,28.1875,-15.75)},Gravity: {Time: 3213, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 3227, Status: 0, Value: (-0.01544189453125,-0.002685546875,-0.38897705078125, 0.921142578125)}}
0:00:03.362713 {Acceleration: {Time: 3332, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 3306, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 3320, Status: 1, Value: (-29.3125,29.3125,-17.625)},Gravity: {Time: 3304, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3334, Status: 0, Value: (-0.01544189453125,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
0:00:03.475337 {Acceleration: {Time: 3445, Status: 0, Value: (0.0,-0.001953125,-0.001953125)},Gyroscope: {Time: 3419, Status: 3, Value: (-0.01171875,-0.01171875,-0.02734375)},Magnetic: {Time: 3433, Status: 1, Value: (-31.125,29.5,-16.1875)},Gravity: {Time: 3416, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 3447, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.388916015625, 0.921142578125)}}
0:00:03.559500 {Acceleration: {Time: 3522, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 3531, Status: 3, Value: (-0.01171875,-0.01171875,-0.0703125)},Magnetic: {Time: 3471, Status: 1, Value: (-29.4375,29.375,-16.8125)},Gravity: {Time: 3528, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 3525, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.388916015625, 0.921142578125)}}
