0:00:02.367395: {Acceleration: {Time: 2329, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2321, Status: 3, Value: (-0.01171875,-0.01953125,0.05078125)},Magnetic: {Time: 2325, Status: 1, Value: (-30.0,28.5625,-15.1875)},Gravity: {Time: 2318, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2331, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39093017578125, 0.9202880859375)}}
0:00:02.455984: {Acceleration: {Time: 2417, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2391, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 2405, Status: 1, Value: (-29.5,28.1875,-15.5625)},Gravity: {Time: 2387, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2420, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39093017578125, 0.9202880859375)}}
0:00:02.571013: {Acceleration: {Time: 2533, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2525, Status: 3, Value: (-0.01171875,0.01171875,-0.01953125)},Magnetic: {Time: 2527, Status: 1, Value: (-30.0,28.875,-15.125)},Gravity: {Time: 2522, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 2535, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39093017578125, 0.9202880859375)}}
0:00:02.677242: {Acceleration: {Time: 2636, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 2605, Status: 3, Value: (-0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 2607, Status: 1, Value: (-29.5625,29.1875,-15.5)},Gravity: {Time: 2642, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 2638, Status: 0, Value: (-0.01519775390625,-0.0028076171875,-0.39093017578125, 0.9202880859375)}}
0:00:02.763946: {Acceleration: {Time: 2726, Status: 0, Value: (-0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 2700, Status: 3, Value: (0.02734375,-0.02734375,0.01953125)},Magnetic: {Time: 2714, Status: 1, Value: (-29.125,27.8125,-14.875)},Gravity: {Time: 2696, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 2728, Status: 0, Value: (-0.01519775390625,-0.0028076171875,-0.39093017578125, 0.9202880859375)}}
0:00:02.871108: {Acceleration: {Time: 2833, Status: 0, Value: (-0.00390625,-0.001953125,0.0)},Gyroscope: {Time: 2813, Status: 3, Value: (-0.01953125,-0.02734375,-0.03515625)},Magnetic: {Time: 2827, Status: 1, Value: (-29.75,28.125,-16.6875)},Gravity: {Time: 2811, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2807, Status: 0, Value: (-0.01513671875,-0.00286865234375,-0.390869140625, 0.9202880859375)}}
0:00:02.985194: {Acceleration: {Time: 2950, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 2912, Status: 3, Value: (0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 2916, Status: 1, Value: (-29.5625,29.1875,-15.5)},Gravity: {Time: 2909, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2945, Status: 0, Value: (-0.01507568359375,-0.00286865234375,-0.390869140625, 0.9202880859375)}}
0:00:03.081290: {Acceleration: {Time: 3043, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 2981, Status: 3, Value: (-0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 2984, Status: 1, Value: (-29.0625,28.4375,-15.625)},Gravity: {Time: 2909, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 3046, Status: 0, Value: (-0.01507568359375,-0.00286865234375,-0.39093017578125, 0.9202880859375)}}
0:00:03.166671: {Acceleration: {Time: 3131, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 3120, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 3123, Status: 1, Value: (-28.6875,28.4375,-15.3125)},Gravity: {Time: 3117, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 3125, Status: 0, Value: (-0.01507568359375,-0.0029296875,-0.390869140625, 0.9202880859375)}}
0:00:03.288302: {Acceleration: {Time: 3253, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 3201, Status: 3, Value: (-0.00390625,-0.01953125,-0.02734375)},Magnetic: {Time: 3215, Status: 1, Value: (-30.125,29.625,-14.75)},Gravity: {Time: 3199, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 3248, Status: 0, Value: (-0.01507568359375,-0.0029296875,-0.39093017578125, 0.9202880859375)}}
0:00:03.387032: {Acceleration: {Time: 3343, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 3352, Status: 3, Value: (-0.00390625,0.01953125,-0.02734375)},Magnetic: {Time: 3287, Status: 1, Value: (-29.875,27.875,-15.5625)},Gravity: {Time: 3350, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 3345, Status: 0, Value: (-0.01507568359375,-0.00286865234375,-0.390869140625, 0.92034912109375)}}
0:00:03.486455: {Acceleration: {Time: 3448, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 3422, Status: 3, Value: (-0.00390625,-0.02734375,0.01171875)},Magnetic: {Time: 3436, Status: 1, Value: (-30.125,28.9375,-14.375)},Gravity: {Time: 3419, Status: 3, Value: (0.15625,-0.2421875,9.640625)}, Rotation: {Time: 3451, Status: 0, Value: (-0.0150146484375,-0.0028076171875,-0.390869140625, 0.92034912109375)}}
0:00:03.573887: {Acceleration: {Time: 3537, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 3507, Status: 3, Value: (-0.00390625,0.01171875,0.01171875)},Magnetic: {Time: 3511, Status: 1, Value: (-29.625,29.1875,-15.1875)},Gravity: {Time: 3505, Status: 3, Value: (0.15625,-0.2421875,9.640625)}, Rotation: {Time: 3539, Status: 0, Value: (-0.0150146484375,-0.0028076171875,-0.390869140625, 0.9202880859375)}}
0:00:03.687828: {Acceleration: {Time: 3651, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3640, Status: 3, Value: (-0.01171875,0.01171875,0.00390625)},Magnetic: {Time: 3643, Status: 1, Value: (-28.75,27.5625,-14.5625)},Gravity: {Time: 3626, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 3653, Status: 0, Value: (-0.0150146484375,-0.00286865234375,-0.390869140625, 0.9202880859375)}}
0:00:03.795155: {Acceleration: {Time: 3760, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3710, Status: 3, Value: (0.02734375,0.01171875,0.00390625)},Magnetic: {Time: 3724, Status: 1, Value: (-29.0,27.1875,-15.6875)},Gravity: {Time: 3707, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 3756, Status: 0, Value: (-0.0150146484375,-0.00286865234375,-0.390869140625, 0.9202880859375)}}
0:00:03.896248: {Acceleration: {Time: 3854, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3862, Status: 3, Value: (-0.01171875,0.01171875,0.00390625)},Magnetic: {Time: 3796, Status: 1, Value: (-30.3125,28.875,-15.8125)},Gravity: {Time: 3858, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 3856, Status: 0, Value: (-0.0150146484375,-0.003173828125,-0.3966064453125, 0.9178466796875)}}
0:00:03.990976: {Acceleration: {Time: 3954, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3922, Status: 3, Value: (0.02734375,-0.02734375,-0.03515625)},Magnetic: {Time: 3925, Status: 1, Value: (-29.5,29.125,-15.9375)},Gravity: {Time: 3918, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 3948, Status: 0, Value: (-0.014892578125,-0.0028076171875,-0.3966064453125, 0.9178466796875)}}
0:00:04.078390: {Acceleration: {Time: 4044, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4029, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 4032, Status: 1, Value: (-29.0625,28.125,-15.625)},Gravity: {Time: 4015, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4040, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.3966064453125, 0.9178466796875)}}
