0:00:03.288075 {Acceleration: {Time: 3252, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3226, Status: 3, Value: (0.01953125,0.01953125,0.0078125)},Magnetic: {Time: 3240, Status: 2, Value: (-2.4375,-26.5625,-36.6875)},Gravity: {Time: 3222, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 3255, Status: 0, Value: (0.02642822265625,0.029296875,0.9932861328125, 0.108642578125)}}
0:00:03.372185 {Acceleration: {Time: 3335, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3311, Status: 3, Value: (-0.01953125,0.01953125,0.0078125)},Magnetic: {Time: 3315, Status: 2, Value: (-1.875,-25.75,-35.125)},Gravity: {Time: 3309, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 3329, Status: 0, Value: (0.02642822265625,0.029296875,0.9932861328125, 0.108642578125)}}
0:00:03.516206 {Acceleration: {Time: 3455, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3462, Status: 3, Value: (0.01953125,0.05859375,0.0078125)},Magnetic: {Time: 3400, Status: 2, Value: (-2.5625,-27.125,-35.375)},Gravity: {Time: 3460, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 3458, Status: 0, Value: (0.02642822265625,0.029296875,0.9932861328125, 0.108642578125)}}
0:00:03.570154 {Acceleration: {Time: 3528, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3521, Status: 3, Value: (-0.01953125,-0.05859375,-0.03125)},Magnetic: {Time: 3523, Status: 2, Value: (-3.25,-27.375,-35.625)},Gravity: {Time: 3518, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 3530, Status: 0, Value: (0.02642822265625,0.029296875,0.9932861328125, 0.108642578125)}}
0:00:03.659720 {Acceleration: {Time: 3609, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3617, Status: 3, Value: (0.0546875,-0.01953125,-0.03125)},Magnetic: {Time: 3580, Status: 2, Value: (-2.5625,-27.125,-35.625)},Gravity: {Time: 3615, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 3611, Status: 0, Value: (0.02642822265625,0.029296875,0.9932861328125, 0.108642578125)}}
0:00:03.759720 {Acceleration: {Time: 3707, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3716, Status: 3, Value: (-0.01953125,0.01171875,-0.03125)},Magnetic: {Time: 3674, Status: 2, Value: (-3.25,-24.9375,-35.1875)},Gravity: {Time: 3713, Status: 3, Value: (0.453125,0.640625,9.84375)}, Rotation: {Time: 3709, Status: 0, Value: (0.02642822265625,0.029296875,0.9932861328125, 0.108642578125)}}
0:00:03.842500 {Acceleration: {Time: 3808, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3776, Status: 3, Value: (-0.01953125,-0.02734375,0.0078125)},Magnetic: {Time: 3779, Status: 2, Value: (-2.625,-26.25,-36.0625)},Gravity: {Time: 3772, Status: 3, Value: (0.453125,0.640625,9.84375)}, Rotation: {Time: 3802, Status: 0, Value: (0.02642822265625,0.02935791015625,0.9932861328125, 0.108642578125)}}
0:00:03.927581 {Acceleration: {Time: 3888, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3896, Status: 3, Value: (0.01953125,0.01953125,0.0078125)},Magnetic: {Time: 3834, Status: 2, Value: (-3.25,-27.375,-35.0625)},Gravity: {Time: 3892, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 3890, Status: 0, Value: (0.02642822265625,0.02935791015625,0.9932861328125, 0.108642578125)}}
0:00:04.059519 {Acceleration: {Time: 4022, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3996, Status: 3, Value: (0.02734375,0.01953125,0.0)},Magnetic: {Time: 4010, Status: 2, Value: (-3.5,-27.125,-34.6875)},Gravity: {Time: 3993, Status: 3, Value: (0.4453125,0.6328125,9.8515625)}, Rotation: {Time: 4024, Status: 0, Value: (0.0263671875,0.02935791015625,0.9932861328125, 0.108642578125)}}
0:00:04.127214 {Acceleration: {Time: 4081, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4049, Status: 3, Value: (0.01953125,0.01953125,0.0078125)},Magnetic: {Time: 4051, Status: 2, Value: (-2.625,-26.25,-36.375)},Gravity: {Time: 4045, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 4077, Status: 0, Value: (0.0263671875,0.02935791015625,0.9932861328125, 0.108642578125)}}
0:00:04.242943 {Acceleration: {Time: 4193, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4198, Status: 3, Value: (-0.01953125,0.01171875,0.046875)},Magnetic: {Time: 4113, Status: 2, Value: (-2.4375,-25.5,-35.4375)},Gravity: {Time: 4196, Status: 3, Value: (0.453125,0.640625,9.84375)}, Rotation: {Time: 4190, Status: 0, Value: (0.0263671875,0.02935791015625,0.9932861328125, 0.108642578125)}}
0:00:04.327003 {Acceleration: {Time: 4289, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4256, Status: 3, Value: (0.01953125,-0.02734375,-0.03125)},Magnetic: {Time: 4232, Status: 2, Value: (-3.625,-26.3125,-35.125)},Gravity: {Time: 4253, Status: 3, Value: (0.453125,0.640625,9.84375)}, Rotation: {Time: 4282, Status: 0, Value: (0.0263671875,0.02935791015625,0.9932861328125, 0.108642578125)}}
0:00:04.433417 {Acceleration: {Time: 4385, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4349, Status: 3, Value: (0.01953125,0.01171875,0.0078125)},Magnetic: {Time: 4325, Status: 2, Value: (-2.6875,-27.4375,-37.0)},Gravity: {Time: 4388, Status: 3, Value: (0.453125,0.640625,9.84375)}, Rotation: {Time: 4380, Status: 0, Value: (0.0263671875,0.0294189453125,0.9932861328125, 0.108642578125)}}
0:00:04.497617 {Acceleration: {Time: 4449, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4458, Status: 3, Value: (0.01953125,-0.02734375,-0.0390625)},Magnetic: {Time: 4418, Status: 2, Value: (-3.875,-28.375,-35.9375)},Gravity: {Time: 4454, Status: 3, Value: (0.453125,0.640625,9.8515625)}, Rotation: {Time: 4451, Status: 0, Value: (0.0263671875,0.0294189453125,0.9932861328125, 0.108642578125)}}
0:00:04.595702 {Acceleration: {Time: 4554, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4528, Status: 3, Value: (-0.01953125,-0.02734375,0.0)},Magnetic: {Time: 4542, Status: 2, Value: (-3.125,-25.625,-36.4375)},Gravity: {Time: 4525, Status: 3, Value: (0.453125,0.640625,9.8515625)}, Rotation: {Time: 4557, Status: 0, Value: (0.0263671875,0.0294189453125,0.9932861328125, 0.108642578125)}}
0:00:04.687078 {Acceleration: {Time: 4647, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4639, Status: 3, Value: (-0.05859375,-0.02734375,0.0)},Magnetic: {Time: 4643, Status: 2, Value: (-2.3125,-25.0,-35.5)},Gravity: {Time: 4636, Status: 3, Value: (0.453125,0.640625,9.8515625)}, Rotation: {Time: 4649, Status: 0, Value: (0.0263671875,0.0294189453125,0.9932861328125, 0.108642578125)}}
0:00:04.809751 {Acceleration: {Time: 4763, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4771, Status: 3, Value: (0.01953125,0.01953125,0.0)},Magnetic: {Time: 4709, Status: 2, Value: (-2.75,-25.6875,-34.8125)},Gravity: {Time: 4769, Status: 3, Value: (0.453125,0.6328125,9.8515625)}, Rotation: {Time: 4765, Status: 0, Value: (0.0263671875,0.0294189453125,0.9932861328125, 0.108642578125)}}
0:00:04.876198 {Acceleration: {Time: 4834, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4828, Status: 3, Value: (0.01953125,-0.01953125,0.0)},Magnetic: {Time: 4831, Status: 2, Value: (-2.3125,-25.0,-35.8125)},Gravity: {Time: 4824, Status: 3, Value: (0.453125,0.6328125,9.8515625)}, Rotation: {Time: 4838, Status: 0, Value: (0.0263671875,0.0294189453125,0.9932861328125, 0.108642578125)}}
0:00:04.994146 {Acceleration: {Time: 4954, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4898, Status: 3, Value: (-0.01953125,0.01953125,0.0)},Magnetic: {Time: 4912, Status: 2, Value: (-2.875,-26.0,-35.8125)},Gravity: {Time: 4894, Status: 3, Value: (0.453125,0.6328125,9.8515625)}, Rotation: {Time: 4951, Status: 0, Value: (0.0263671875,0.0294189453125,0.9932861328125, 0.108642578125)}}
0:00:05.173997 {Acceleration: {Time: 5137, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5129, Status: 3, Value: (-0.01953125,0.01953125,0.0078125)},Magnetic: {Time: 5133, Status: 2, Value: (-2.75,-26.75,-35.75)},Gravity: {Time: 5126, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 5139, Status: 0, Value: (0.0263671875,0.0294189453125,0.9932861328125, 0.108642578125)}}
0:00:05.296247 {Acceleration: {Time: 5251, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5245, Status: 3, Value: (-0.01953125,-0.01953125,0.0078125)},Magnetic: {Time: 5247, Status: 2, Value: (-2.75,-26.75,-36.0625)},Gravity: {Time: 5242, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 5253, Status: 0, Value: (0.0263671875,0.0294189453125,0.9932861328125, 0.108642578125)}}
0:00:05.379742 {Acceleration: {Time: 5342, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5314, Status: 3, Value: (-0.01953125,-0.02734375,0.0)},Magnetic: {Time: 5329, Status: 2, Value: (-2.3125,-26.125,-36.0625)},Gravity: {Time: 5312, Status: 3, Value: (0.453125,0.640625,9.8515625)}, Rotation: {Time: 5344, Status: 0, Value: (0.0263671875,0.0294189453125,0.9932861328125, 0.108642578125)}}
