0:00:02.706358 {Acceleration: {Time: 2690, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2674, Status: 3, Value: (0.02734375,-0.01171875,-0.02734375)},Magnetic: {Time: 2678, Status: 1, Value: (-30.6875,29.25,-16.0625)},Gravity: {Time: 2661, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 2684, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:02.804799 {Acceleration: {Time: 2779, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2788, Status: 3, Value: (-0.01171875,-0.01171875,-0.02734375)},Magnetic: {Time: 2748, Status: 1, Value: (-30.875,30.0625,-18.1875)},Gravity: {Time: 2785, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 2782, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:02.911705 {Acceleration: {Time: 2893, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2866, Status: 3, Value: (-0.01171875,-0.01171875,0.01953125)},Magnetic: {Time: 2880, Status: 1, Value: (-30.5625,30.4375,-17.875)},Gravity: {Time: 2864, Status: 3, Value: (0.1640625,-0.2578125,9.6328125)}, Rotation: {Time: 2895, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:02.996911 {Acceleration: {Time: 2973, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2981, Status: 3, Value: (-0.00390625,0.02734375,0.01953125)},Magnetic: {Time: 2917, Status: 1, Value: (-30.6875,29.5,-16.375)},Gravity: {Time: 2978, Status: 3, Value: (0.15625,-0.2578125,9.6328125)}, Rotation: {Time: 2975, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:03.096024 {Acceleration: {Time: 3071, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3080, Status: 3, Value: (-0.00390625,-0.01953125,0.01171875)},Magnetic: {Time: 3015, Status: 1, Value: (-30.5,28.5,-16.8125)},Gravity: {Time: 3077, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 3073, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:03.205971 {Acceleration: {Time: 3188, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3178, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 3181, Status: 1, Value: (-31.4375,29.5,-16.6875)},Gravity: {Time: 3164, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3190, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:03.320530 {Acceleration: {Time: 3305, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3265, Status: 3, Value: (-0.01171875,-0.01171875,0.01171875)},Magnetic: {Time: 3268, Status: 1, Value: (-29.8125,28.8125,-16.5)},Gravity: {Time: 3251, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 3301, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:03.412975 {Acceleration: {Time: 3397, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3364, Status: 3, Value: (-0.00390625,-0.01171875,0.01171875)},Magnetic: {Time: 3366, Status: 1, Value: (-30.5625,29.4375,-17.1875)},Gravity: {Time: 3362, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 3394, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:03.521923 {Acceleration: {Time: 3504, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3447, Status: 3, Value: (-0.00390625,-0.01171875,0.01171875)},Magnetic: {Time: 3451, Status: 1, Value: (-31.4375,29.5,-16.6875)},Gravity: {Time: 3444, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 3498, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:03.626731 {Acceleration: {Time: 3609, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3602, Status: 3, Value: (-0.00390625,-0.01171875,0.01171875)},Magnetic: {Time: 3604, Status: 1, Value: (-31.5,30.875,-17.0)},Gravity: {Time: 3599, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 3611, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:03.713017 {Acceleration: {Time: 3695, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 3668, Status: 3, Value: (-0.00390625,-0.01171875,-0.02734375)},Magnetic: {Time: 3682, Status: 1, Value: (-31.0625,29.5,-16.3125)},Gravity: {Time: 3666, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 3698, Status: 0, Value: (-0.015380859375,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:03.825694 {Acceleration: {Time: 3807, Status: 0, Value: (0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 3781, Status: 3, Value: (-0.00390625,-0.01171875,-0.02734375)},Magnetic: {Time: 3795, Status: 1, Value: (-30.5625,28.8125,-16.875)},Gravity: {Time: 3778, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 3810, Status: 0, Value: (-0.01544189453125,-0.00244140625,-0.3895263671875, 0.9208984375)}}
0:00:03.909992 {Acceleration: {Time: 3886, Status: 0, Value: (0.0,0.001953125,-0.00390625)},Gyroscope: {Time: 3895, Status: 3, Value: (0.03515625,0.01953125,0.01171875)},Magnetic: {Time: 3860, Status: 1, Value: (-31.3125,29.5,-17.5)},Gravity: {Time: 3892, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 3888, Status: 0, Value: (-0.015380859375,-0.00244140625,-0.3895263671875, 0.9208984375)}}
0:00:04.003005 {Acceleration: {Time: 3988, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3951, Status: 3, Value: (-0.00390625,-0.01953125,0.01171875)},Magnetic: {Time: 3955, Status: 1, Value: (-30.125,28.4375,-17.25)},Gravity: {Time: 3948, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 3984, Status: 0, Value: (-0.015380859375,-0.00244140625,-0.38946533203125, 0.9208984375)}}
0:00:04.115621 {Acceleration: {Time: 4100, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 4071, Status: 3, Value: (-0.01171875,0.01953125,-0.03515625)},Magnetic: {Time: 4085, Status: 1, Value: (-31.4375,30.8125,-17.375)},Gravity: {Time: 4069, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4096, Status: 0, Value: (-0.01531982421875,-0.00244140625,-0.38946533203125, 0.9208984375)}}
0:00:04.213240 {Acceleration: {Time: 4190, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4198, Status: 3, Value: (-0.01171875,0.02734375,0.00390625)},Magnetic: {Time: 4159, Status: 1, Value: (-31.0,29.8125,-17.125)},Gravity: {Time: 4196, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 4193, Status: 0, Value: (-0.015380859375,-0.00244140625,-0.38946533203125, 0.9208984375)}}
0:00:04.321164 {Acceleration: {Time: 4304, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4278, Status: 3, Value: (-0.00390625,-0.01171875,0.00390625)},Magnetic: {Time: 4292, Status: 1, Value: (-30.5,29.75,-17.5625)},Gravity: {Time: 4276, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 4306, Status: 0, Value: (-0.015380859375,-0.00244140625,-0.3895263671875, 0.9208984375)}}
0:00:04.435681 {Acceleration: {Time: 4417, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4406, Status: 3, Value: (-0.00390625,-0.01171875,0.01171875)},Magnetic: {Time: 4410, Status: 1, Value: (-31.9375,30.25,-16.625)},Gravity: {Time: 4393, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 4421, Status: 0, Value: (-0.01531982421875,-0.00244140625,-0.38946533203125, 0.9208984375)}}
0:00:04.524004 {Acceleration: {Time: 4507, Status: 0, Value: (0.0,-0.001953125,0.00390625)},Gyroscope: {Time: 4481, Status: 3, Value: (-0.00390625,-0.01171875,0.00390625)},Magnetic: {Time: 4495, Status: 1, Value: (-30.25,29.1875,-16.5)},Gravity: {Time: 4478, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 4509, Status: 0, Value: (-0.01531982421875,-0.00244140625,-0.389404296875, 0.9208984375)}}
0:00:04.637570 {Acceleration: {Time: 4620, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 4594, Status: 3, Value: (-0.00390625,-0.01171875,-0.03515625)},Magnetic: {Time: 4608, Status: 1, Value: (-30.8125,30.5625,-15.9375)},Gravity: {Time: 4591, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 4623, Status: 0, Value: (-0.01531982421875,-0.00244140625,-0.38946533203125, 0.9208984375)}}
0:00:04.726027 {Acceleration: {Time: 4702, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4711, Status: 3, Value: (-0.00390625,-0.01171875,-0.03515625)},Magnetic: {Time: 4670, Status: 1, Value: (-30.125,29.125,-17.5625)},Gravity: {Time: 4708, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 4705, Status: 0, Value: (-0.01531982421875,-0.00244140625,-0.38946533203125, 0.9208984375)}}
0:00:04.824370 {Acceleration: {Time: 4807, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4782, Status: 3, Value: (-0.00390625,-0.01171875,-0.02734375)},Magnetic: {Time: 4795, Status: 1, Value: (-32.25,29.875,-17.3125)},Gravity: {Time: 4778, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 4810, Status: 0, Value: (-0.01531982421875,-0.00238037109375,-0.38946533203125, 0.9208984375)}}
0:00:04.930245 {Acceleration: {Time: 4913, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 4893, Status: 3, Value: (-0.00390625,-0.01171875,0.01171875)},Magnetic: {Time: 4907, Status: 1, Value: (-30.5,28.8125,-17.25)},Gravity: {Time: 4891, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 4888, Status: 0, Value: (-0.0152587890625,-0.00244140625,-0.38946533203125, 0.9208984375)}}
0:00:05.018563 {Acceleration: {Time: 5004, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 4989, Status: 3, Value: (0.03515625,-0.01171875,0.01171875)},Magnetic: {Time: 4992, Status: 1, Value: (-31.0,30.8125,-17.75)},Gravity: {Time: 4975, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 4999, Status: 0, Value: (-0.01531982421875,-0.00238037109375,-0.38946533203125, 0.9208984375)}}
0:00:05.115979 {Acceleration: {Time: 5098, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 5061, Status: 3, Value: (-0.00390625,-0.01171875,0.01171875)},Magnetic: {Time: 5037, Status: 1, Value: (-29.25,28.375,-17.75)},Gravity: {Time: 5058, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 5102, Status: 0, Value: (-0.0152587890625,-0.00238037109375,-0.389404296875, 0.9208984375)}}
0:00:05.227647 {Acceleration: {Time: 5211, Status: 0, Value: (0.0,-0.001953125,0.001953125)},Gyroscope: {Time: 5204, Status: 3, Value: (-0.00390625,-0.01953125,0.00390625)},Magnetic: {Time: 5207, Status: 1, Value: (-32.25,29.5625,-17.0625)},Gravity: {Time: 5201, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 5213, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.389404296875, 0.92095947265625)}}
0:00:05.334376 {Acceleration: {Time: 5309, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 5316, Status: 3, Value: (-0.00390625,-0.01953125,-0.0625)},Magnetic: {Time: 5318, Status: 1, Value: (-30.4375,30.1875,-15.6875)},Gravity: {Time: 5312, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 5320, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.389404296875, 0.92095947265625)}}
0:00:05.420694 {Acceleration: {Time: 5404, Status: 0, Value: (0.0,0.0,-0.00390625)},Gyroscope: {Time: 5366, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 5369, Status: 1, Value: (-30.5625,28.8125,-16.875)},Gravity: {Time: 5352, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5407, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.38934326171875, 0.92095947265625)}}
0:00:05.532304 {Acceleration: {Time: 5516, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 5490, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 5504, Status: 1, Value: (-31.25,30.25,-15.5625)},Gravity: {Time: 5488, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5518, Status: 0, Value: (-0.01513671875,-0.0023193359375,-0.38934326171875, 0.92095947265625)}}
0:00:05.645916 {Acceleration: {Time: 5629, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 5622, Status: 3, Value: (-0.01171875,0.01953125,-0.02734375)},Magnetic: {Time: 5625, Status: 1, Value: (-30.625,29.8125,-16.8125)},Gravity: {Time: 5619, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5632, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.389404296875, 0.92095947265625)}}
0:00:05.732213 {Acceleration: {Time: 5716, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 5706, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 5709, Status: 1, Value: (-29.8125,28.8125,-16.5625)},Gravity: {Time: 5692, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5718, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.389404296875, 0.92095947265625)}}
0:00:05.847688 {Acceleration: {Time: 5834, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5790, Status: 3, Value: (-0.01171875,-0.02734375,-0.02734375)},Magnetic: {Time: 5794, Status: 1, Value: (-31.0625,29.8125,-16.75)},Gravity: {Time: 5777, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 5829, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.389404296875, 0.92095947265625)}}
